file_name	lowest_ESS
extant_misspec_R0_sim130.log.ess	184
extant_misspec_R0_sim165.log.ess	251.8
extant_misspec_R0_sim21.log.ess	272.2
extant_misspec_R0_sim191.log.ess	275.1
extant_misspec_R0_sim181.log.ess	283.4
extant_misspec_R0_sim136.log.ess	289.4
extant_misspec_R0_sim260.log.ess	308.2
extant_misspec_R0_sim83.log.ess	315.3
extant_misspec_R0_sim317.log.ess	318.6
extant_misspec_R0_sim223.log.ess	321.2
extant_misspec_R0_sim330.log.ess	321.2
extant_misspec_R0_sim11.log.ess	322.4
extant_misspec_R0_sim343.log.ess	325.1
extant_misspec_R0_sim313.log.ess	325.3
extant_misspec_R0_sim14.log.ess	334
extant_misspec_R0_sim169.log.ess	337.4
extant_misspec_R0_sim246.log.ess	337.6
extant_misspec_R0_sim353.log.ess	344
extant_misspec_R0_sim312.log.ess	351.9
extant_misspec_R0_sim341.log.ess	353.6
extant_misspec_R0_sim301.log.ess	362.1
extant_misspec_R0_sim429.log.ess	362.4
extant_misspec_R0_sim268.log.ess	364.8
extant_misspec_R0_sim417.log.ess	365.5
extant_misspec_R0_sim334.log.ess	369.3
extant_misspec_R0_sim206.log.ess	372
extant_misspec_R0_sim149.log.ess	373.1
extant_misspec_R0_sim376.log.ess	373.3
extant_misspec_R0_sim175.log.ess	377.2
extant_misspec_R0_sim288.log.ess	377.3
extant_misspec_R0_sim77.log.ess	379.9
extant_misspec_R0_sim384.log.ess	381.2
extant_misspec_R0_sim211.log.ess	381.9
extant_misspec_R0_sim307.log.ess	382.1
extant_misspec_R0_sim167.log.ess	387.6
extant_misspec_R0_sim308.log.ess	388.5
extant_misspec_R0_sim393.log.ess	389.3
extant_misspec_R0_sim108.log.ess	390.8
extant_misspec_R0_sim101.log.ess	391.1
extant_misspec_R0_sim5.log.ess	391.1
extant_misspec_R0_sim88.log.ess	391.3
extant_misspec_R0_sim184.log.ess	391.7
extant_misspec_R0_sim293.log.ess	392.1
extant_misspec_R0_sim316.log.ess	392.9
extant_misspec_R0_sim261.log.ess	395.5
extant_misspec_R0_sim20.log.ess	401.8
extant_misspec_R0_sim351.log.ess	403.2
extant_misspec_R0_sim183.log.ess	403.9
extant_misspec_R0_sim12.log.ess	405.1
extant_misspec_R0_sim395.log.ess	407.5
extant_misspec_R0_sim182.log.ess	407.6
extant_misspec_R0_sim322.log.ess	408.6
extant_misspec_R0_sim239.log.ess	414.5
extant_misspec_R0_sim46.log.ess	419.2
extant_misspec_R0_sim284.log.ess	420
extant_misspec_R0_sim339.log.ess	420.1
extant_misspec_R0_sim194.log.ess	421.1
extant_misspec_R0_sim185.log.ess	421.4
extant_misspec_R0_sim388.log.ess	422.7
extant_misspec_R0_sim105.log.ess	426.2
extant_misspec_R0_sim235.log.ess	426.2
extant_misspec_R0_sim400.log.ess	426.9
extant_misspec_R0_sim87.log.ess	427.2
extant_misspec_R0_sim227.log.ess	427.4
extant_misspec_R0_sim84.log.ess	429
extant_misspec_R0_sim216.log.ess	431.5
extant_misspec_R0_sim422.log.ess	431.5
extant_misspec_R0_sim168.log.ess	433
extant_misspec_R0_sim225.log.ess	436.8
extant_misspec_R0_sim26.log.ess	438.9
extant_misspec_R0_sim266.log.ess	439.6
extant_misspec_R0_sim373.log.ess	439.9
extant_misspec_R0_sim290.log.ess	440.5
extant_misspec_R0_sim275.log.ess	442.3
extant_misspec_R0_sim201.log.ess	443.5
extant_misspec_R0_sim126.log.ess	445.3
extant_misspec_R0_sim72.log.ess	447.5
extant_misspec_R0_sim31.log.ess	448.1
extant_misspec_R0_sim228.log.ess	449
extant_misspec_R0_sim81.log.ess	455.3
extant_misspec_R0_sim42.log.ess	456.3
extant_misspec_R0_sim153.log.ess	460.6
extant_misspec_R0_sim372.log.ess	464
extant_misspec_R0_sim389.log.ess	468.4
extant_misspec_R0_sim244.log.ess	471.3
extant_misspec_R0_sim411.log.ess	473.5
extant_misspec_R0_sim34.log.ess	477.5
extant_misspec_R0_sim279.log.ess	482
extant_misspec_R0_sim220.log.ess	486.9
extant_misspec_R0_sim243.log.ess	496.7
extant_misspec_R0_sim102.log.ess	497.3
extant_misspec_R0_sim162.log.ess	501.7
extant_misspec_R0_sim114.log.ess	539.3
