sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim5	0,0,0,1,0	2.49566,7.46732,6.35966,3.20888,3.25298	1000000,1000000,1000000,1000000,1000000	0.000000085301,0.000000255232,0.000000217373,0.000000109679,0.000000111186	.03367	.00051,.00051,.00051,.00051,.00051	499	.00199	100.00000999	196	9.94018279	0,0.00011,3e-05,1e-05,0:0,0,3e-05,1e-05,0:0,0.00012,0,1e-05,0:0,1e-04,3e-05,0,0:0,0.00011,2e-05,0,0	9.4e-05,0.014739,0.003544,0.000419,0.000117	57.55336022,62.11384587,61.40654719,0,73.78706321	1	100	100	16197	154
sim11	0,1,0,0,0	4.69682,5.38700,2.23328,4.67942,3.09698	1000000,1000000,1000000,1000000,1000000	0.000000121506,0.000000139361,0.000000057774,0.000000121056,0.000000080118	.02225	.00362,.00362,.00362,.00362,.00362	499	.00392	100.00000997	499	12.92004288	0,0.00028,3e-05,6e-05,3e-05:5e-05,0,2e-05,5e-05,3e-05:4e-05,0.00032,0,4e-05,2e-05:4e-05,0.00028,2e-05,0,2e-05:4e-05,0.00029,2e-05,6e-05,0	0.001303,0.010237,0.000268,0.001923,0.000542	34.57933502,0,14.61983814,38.1473247,13.7302684	0.96332	100	100	11370	118
sim12	0,0,0,1,0	6.44264,5.11706,4.99934,7.82984,2.98160	1000000,1000000,1000000,1000000,1000000	0.000000099087,0.000000078700,0.000000076889,0.000000120422,0.000000045857	.01278	.00260,.00260,.00260,.00260,.00260	499	.00419	100.00000997	499	19.04533143	0,1e-04,0.00012,0.00105,8e-05:0.00021,0,0.00012,0.00105,1e-04:0.00019,0.00012,0,0.00107,8e-05:0.00016,0.00014,0.00013,0,1e-04:0.00021,0.00013,0.00013,0.00102,0	0.00457,0.002254,0.002252,0.02984,0.000999	17.89230881,32.22217338,21.92068619,0,32.46998977	0.388025	100	100	34227	137
sim14	0,0,1,0,0	5.76308,5.32946,5.98832,3.30062,7.27886	1000000,1000000,1000000,1000000,1000000	0.000000158311,0.000000146400,0.000000164499,0.000000090668,0.000000199950	.02699	.00048,.00048,.00048,.00048,.00048	499	.00255	100.00000990	370	15.08132267	0,7e-05,0.00031,1e-05,7e-05:6e-05,0,3e-04,1e-05,7e-05:6e-05,7e-05,0,1e-05,7e-05:7e-05,8e-05,0.00028,0,8e-05:8e-05,6e-05,0.00031,2e-05,0	0.004487,0.004161,0.018645,0.00056,0.00491	48.22816085,39.19689448,0,63.72919735,52.54750761	1	100	100	27196	275
sim20	0,0,0,0,1	6.26078,3.80582,2.17226,6.06428,5.79422	1000000,1000000,1000000,1000000,1000000	0.000000118015,0.000000071739,0.000000040947,0.000000114311,0.000000109221	.01817	.00068,.00068,.00068,.00068,.00068	499	.00416	100.00000975	75	20.72842481	0,1e-05,2e-05,6e-05,1e-04:3e-05,0,1e-05,7e-05,1e-04:4e-05,1e-05,0,8e-05,1e-04:4e-05,2e-05,1e-05,0,9e-05:4e-05,1e-05,1e-05,6e-05,0	0.001128,0.000214,0.000111,0.001736,0.002443	46.3772337,38.74627537,51.46252945,36.6529389,0	1	100	100	4663	41
sim21	0,0,0,0,1	4.14638,2.45024,4.59812,4.22000,7.56488	1000000,1000000,1000000,1000000,1000000	0.000000065305,0.000000038591,0.000000072420,0.000000066465,0.000000119146	.01165	.00410,.00410,.00410,.00410,.00410	499	.00050	100.00000987	499	17.21092243	0,0,0,0,0.00016:0,0,0,0,0.00016:0,0,0,0,0.00015:0,0,0,0,0.00014:0,0,0,0,0	0.000201,9.4e-05,0.000303,0.000166,0.036483	48.97623482,40.97856372,34.37156429,49.47906676,0	0.302058	100	100	32169	100
sim26	0,0,1,0,0	5.91836,6.68306,7.48010,4.07534,6.98864	1000000,1000000,1000000,1000000,1000000	0.000000089308,0.000000100847,0.000000112874,0.000000061496,0.000000105458	.01302	.00207,.00207,.00207,.00207,.00207	499	.00362	100.00000990	144	15.27531126	0,1e-05,8e-05,1e-05,3e-05:2e-05,0,7e-05,1e-05,4e-05:2e-05,1e-05,0,1e-05,4e-05:3e-05,1e-05,1e-04,0,3e-05:2e-05,1e-05,1e-04,1e-05,0	0.000442,0.000379,0.003049,0.000183,0.001222	32.07865349,60.83947798,0,46.08174377,41.44326112	1	100	100	4565	46
sim31	1,0,0,0,0	3.47036,6.02678,5.79002,3.52034,4.48256	1000000,1000000,1000000,1000000,1000000	0.000000065832,0.000000114328,0.000000109836,0.000000066780,0.000000085034	.01398	.00499,.00499,.00499,.00499,.00499	499	.00410	100.00000999	392	13.27885477	0,1e-04,1e-04,3e-05,3e-05:2e-05,0,0.00011,1e-05,3e-05:2e-05,0.00011,0,2e-05,3e-05:1e-05,0.00011,9e-05,0,3e-05:2e-05,0.00013,0.00012,2e-05,0	0.000359,0.002896,0.002708,0.00037,0.000632	0,13.18025823,10.02537889,32.87635664,49.00367024	1	100	100	5693	55
sim34	0,0,0,1,0	6.77204,2.03900,6.56456,4.54922,2.91350	1000000,1000000,1000000,1000000,1000000	0.000000142957,0.000000043043,0.000000138577,0.000000096034,0.000000061503	.01833	.00278,.00278,.00278,.00278,.00278	499	.00474	100.00000989	499	14.27353898	0,5e-05,0.00048,9e-05,4e-05:2e-04,0,0.00056,8e-05,3e-05:0.00023,5e-05,0,8e-05,3e-05:0.00024,4e-05,5e-04,0,4e-05:2e-04,4e-05,0.00052,8e-05,0	0.006669,0.000414,0.01578,0.001748,0.000525	41.06321781,17.3298957,12.82090712,0,37.12312331	0.61834	100	100	20881	134
sim42	0,1,0,0,0	6.07802,4.10576,6.41714,4.44800,2.75528	1000000,1000000,1000000,1000000,1000000	0.000000154928,0.000000104655,0.000000163572,0.000000113379,0.000000070232	.02112	.00437,.00437,.00437,.00437,.00437	499	.00041	100.00000991	127	13.16388393	0,1e-05,0,0,0:0,0,0,0,0:0,1e-05,0,0,0:0,0,0,0,0:0,1e-05,0,0,0	2.3e-05,0.002183,0.000146,9.4e-05,8e-06	77.77550837,0,67.24786229,63.31034805,63.41447792	1	100	100	1895	24
sim46	1,0,0,0,0	6.10166,5.13812,3.49052,5.60156,4.90466	1000000,1000000,1000000,1000000,1000000	0.000000109524,0.000000092229,0.000000062654,0.000000100548,0.000000088038	.01629	.00166,.00166,.00166,.00166,.00166	499	.00219	100.00000991	295	17.27153165	0,3e-05,1e-05,1e-05,3e-05:0.00015,0,1e-05,1e-05,2e-05:0.00014,1e-05,0,1e-05,3e-05:0.00015,2e-05,2e-05,0,3e-05:0.00016,2e-05,1e-05,1e-05,0	0.00795,0.000978,0.000283,0.000709,0.001055	0,23.63344054,20.33248204,51.25500236,22.64265239	1	100	100	9004	103
sim72	0,1,0,0,0	4.23410,2.95838,5.12000,4.44542,6.34376	1000000,1000000,1000000,1000000,1000000	0.000000108519,0.000000075823,0.000000131225,0.000000113936,0.000000162590	.02322	.00241,.00241,.00241,.00241,.00241	499	.00224	100.00000982	318	14.25006683	0,1e-05,5e-05,3e-05,8e-05:2e-05,0,4e-05,4e-05,1e-04:0,2e-05,0,4e-05,8e-05:1e-05,3e-05,4e-05,0,9e-05:1e-05,2e-05,5e-05,4e-05,0	0.000445,0.000754,0.002757,0.001912,0.006378	36.7131314,0,15.05317689,15.87598996,45.07938216	1	100	100	9807	99
sim77	0,0,1,0,0	5.46350,7.48454,4.96838,5.97896,4.05116	1000000,1000000,1000000,1000000,1000000	0.000000095392,0.000000130680,0.000000086747,0.000000104392,0.000000070733	.01423	.00323,.00323,.00323,.00323,.00323	499	.00174	100.00000985	499	14.23848300	0,0.00014,3e-05,2e-05,1e-05:1e-05,0,5e-05,3e-05,2e-05:1e-05,0.00014,0,2e-05,1e-05:1e-05,0.00013,5e-05,0,1e-05:1e-05,0.00016,6e-05,2e-05,0	0.000615,0.010708,0.002414,0.001428,0.00052	38.60322329,4.10616257,0,41.81880424,29.39757335	0.850085	100	100	13226	104
sim81	0,0,0,1,0	4.00814,3.56720,7.64894,2.36126,2.77928	1000000,1000000,1000000,1000000,1000000	0.000000119723,0.000000106552,0.000000228473,0.000000070530,0.000000083017	.02721	.00266,.00266,.00266,.00266,.00266	499	.00285	100.00000999	306	8.70256279	0,0,0.00018,0,0:0,0,0.00017,0,0:1e-05,0,0,1e-05,0:0,0,2e-04,0,0:1e-05,0,0.00019,0,0	0.000233,0.000132,0.014705,7.4e-05,0.000131	77.80202977,60.34396619,52.65243661,0,70.66690293	1	100	100	13180	121
