species	type	location	rxn	time
1	I	1	Sample_recovery	100.00000548
2	I	4	Sample_recovery	85.80293166
3	I	3	Sample_recovery	52.79321321
4	I	3	Sample_recovery	35.84735609
5	I	1	Sample_recovery	92.02563861
6	I	1	Sample_recovery	94.29161214
7	I	1	Sample_recovery	96.56221804
8	I	1	Sample_recovery	98.69374937
9	I	3	Sample_recovery	100.00000025
10	I	1	Sample_recovery	54.15507809
11	I	3	Sample_recovery	90.17842440
12	I	0	Sample_recovery	100.00000547
13	I	1	Sample_recovery	100.00000745
14	I	2	Sample_recovery	99.43497253
15	I	2	Sample_recovery	83.83345502
16	I	2	Sample_recovery	69.19419947
17	I	3	Sample_recovery	98.82891084
18	I	2	Sample_recovery	97.95315282
19	I	2	Sample_recovery	87.37678458
20	I	2	Sample_recovery	100.00000800
21	I	1	Sample_recovery	86.12918642
22	I	1	Sample_recovery	88.88610685
23	I	3	Sample_recovery	99.87121286
24	I	2	Sample_recovery	97.60530106
25	I	1	Sample_recovery	100.00000439
26	I	2	Sample_recovery	100.00000933
27	I	1	Sample_recovery	59.06264328
28	I	2	Sample_recovery	98.85337844
29	I	2	Sample_recovery	84.48212368
30	I	3	Sample_recovery	96.28658453
31	I	2	Sample_recovery	98.52501538
32	I	3	Sample_recovery	100.00000125
33	I	1	Sample_recovery	56.87389166
34	I	0	Sample_recovery	100.00000166
35	I	1	Sample_recovery	97.70376273
36	I	1	Sample_recovery	90.03701312
37	I	1	Sample_recovery	100.00000145
38	I	1	Sample_recovery	100.00000145
39	I	1	Sample_recovery	94.45764705
40	I	2	Sample_recovery	93.48454859
41	I	1	Sample_recovery	91.63277246
42	I	1	Sample_recovery	58.26819398
43	I	1	Sample_recovery	100.00000510
44	I	3	Sample_recovery	93.76465519
45	I	3	Sample_recovery	87.57779626
46	I	3	Sample_recovery	82.54139751
47	I	3	Sample_recovery	95.45866613
48	I	1	Sample_recovery	90.36863482
49	I	1	Sample_recovery	100.00000585
50	I	1	Sample_recovery	90.82555674
51	I	1	Sample_recovery	79.38487433
52	I	3	Sample_recovery	97.77969125
53	I	1	Sample_recovery	76.56341924
54	I	1	Sample_recovery	94.12809930
55	I	1	Sample_recovery	100.00000141
56	I	1	Sample_recovery	100.00000480
57	I	1	Sample_recovery	100.00000438
58	I	2	Sample_recovery	99.74781072
59	I	3	Sample_recovery	66.77887777
60	I	1	Sample_recovery	100.00000228
61	I	1	Sample_recovery	100.00000015
62	I	1	Sample_recovery	81.40396414
63	I	1	Sample_recovery	98.83964852
64	I	4	Sample_recovery	91.71613723
65	I	1	Sample_recovery	99.58824098
66	I	0	Sample_recovery	94.96262332
67	I	0	Sample_recovery	100.00000511
68	I	1	Sample_recovery	84.55226157
69	I	2	Sample_recovery	100.00000767
70	I	1	Sample_recovery	86.72894060
71	I	1	Sample_recovery	90.11791720
72	I	1	Sample_recovery	100.00000048
73	I	1	Sample_recovery	98.52184227
74	I	2	Sample_recovery	100.00000434
75	I	2	Sample_recovery	100.00000380
76	I	2	Sample_recovery	88.77711654
77	I	2	Sample_recovery	90.86816064
78	I	2	Sample_recovery	87.85706224
79	I	2	Sample_recovery	100.00000419
80	I	1	Sample_recovery	99.10556335
81	I	2	Sample_recovery	100.00000406
82	I	2	Sample_recovery	84.74221290
83	I	2	Sample_recovery	100.00000555
84	I	1	Sample_recovery	73.48480396
85	I	3	Sample_recovery	100.00000522
86	I	1	Sample_recovery	87.91218911
87	I	1	Sample_recovery	56.76914895
88	I	3	Sample_recovery	100.00000969
89	I	2	Sample_recovery	97.09206876
90	I	0	Sample_recovery	77.33801713
91	I	0	Sample_recovery	65.11157711
92	I	1	Sample_recovery	90.23243065
93	I	1	Sample_recovery	100.00000197
94	I	4	Sample_recovery	99.61778922
95	I	1	Sample_recovery	96.12560926
96	I	0	Sample_recovery	100.00000223
97	I	0	Sample_recovery	76.49379293
98	I	3	Sample_recovery	94.73954400
99	I	3	Sample_recovery	80.04285473
100	I	4	Sample_recovery	74.45813103
101	I	1	Sample_recovery	95.74711689
102	I	1	Sample_recovery	100.00000883
103	I	2	Sample_recovery	100.00000744
104	I	4	Sample_recovery	93.34575141
105	I	1	Sample_recovery	100.00000395
106	I	1	Sample_recovery	100.00000275
107	I	1	Sample_recovery	93.99157923
108	I	3	Sample_recovery	91.90847603
109	I	0	Sample_recovery	100.00000397
110	I	1	Sample_recovery	100.00000011
111	I	2	Sample_recovery	83.62122392
112	I	1	Sample_recovery	86.84593890
113	I	2	Sample_recovery	100.00000067
114	I	3	Sample_recovery	100.00000545
115	I	1	Sample_recovery	100.00000510
116	I	1	Sample_recovery	98.82544382
117	I	1	Sample_recovery	100.00000129
