sim_number	index_location_0	index_location_1	index_location_2	index_location_3	index_location_4	R_0_0	R_0_1	R_0_2	R_0_3	R_0_4	S_0_0	S_0_1	S_0_2	S_0_3	S_0_4	beta_0	beta_1	beta_2	beta_3	beta_4 	mu	sampling_rate_0	sampling_rate_1	sampling_rate_2	sampling_rate_3	sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0	loc0_imports_per_capita_from_1	loc0_imports_per_capita_from_2	loc0_imports_per_capita_from_3	loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0	loc1_imports_per_capita_from_1	loc1_imports_per_capita_from_2	loc1_imports_per_capita_from_3	loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0	loc2_imports_per_capita_from_1	loc2_imports_per_capita_from_2	loc2_imports_per_capita_from_3	loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0	loc3_imports_per_capita_from_1	loc3_imports_per_capita_from_2	loc3_imports_per_capita_from_3	loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0	loc4_imports_per_capita_from_1	loc4_imports_per_capita_from_2	loc4_imports_per_capita_from_3	loc4_imports_per_capita_from_4	 infections_per_capita_0	infections_per_capita_1	infections_per_capita_2	infections_per_capita_3	infections_per_capita_4	time_of_first_import_0	time_of_first_import_1	time_of_first_import_2	time_of_first_import_3	time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim8	0	0	0	0	1	2.67416	2.67416	2.67416	2.67416	2.67416	1000000	1000000	1000000	1000000	1000000	0.000000066693	0.000000065276	0.000000065918	0.000000069956	0.000000071105	.02419	.00075	.00022	.00046	.00197	.00240	499	.00131	100.00000756	20	18.34552653	0	0	0	0	0:0	0	0	0	1e-05:0	0	0	0	1e-05:0	0	0	0	0:0	0	0	0	0	1.6e-05	6e-06	6e-06	2e-06	0.000339	65.25407032	67.83251289	61.66390342	73.74679604	0	1	100	100	225	6
sim12	0	0	1	0	0	7.36496	7.36496	7.36496	7.36496	7.36496	1000000	1000000	1000000	1000000	1000000	0.000000106350	0.000000094787	0.000000092062	0.000000092724	0.000000100531	.01145	.00299	.00142	.00105	.00114	.00220	499	.00071	100.00000981	34	19.26238890	0	0	1e-05	0	0:0	0	0	0	0:0	0	0	0	0:0	0	0	0	0:0	0	1e-05	0	0	4.5e-05	2.1e-05	0.000884	1.6e-05	7.6e-05	65.32243589	66.65376025	0	64.77928419	51.01126011	1	100	100	880	11
sim15	0	0	0	1	0	3.40718	3.40718	3.40718	3.40718	3.40718	1000000	1000000	1000000	1000000	1000000	0.000000109302	0.000000105724	0.000000098535	0.000000104361	0.000000109540	.02843	.00365	.00260	.00049	.00220	.00372	499	.00412	100.00000600	37	14.80229129	0	1e-05	0	1e-05	1e-05:1e-05	0	0	1e-05	0:1e-05	0	0	1e-05	0:1e-05	0	0	0	0:1e-05	0	0	1e-05	0	0.000235	0.00012	5e-05	0.000258	7.8e-05	34.22633111	16.79441618	20.51686113	0	62.28497902	1	100	100	503	3
sim16	1	0	0	0	0	6.45632	6.45632	6.45632	6.45632	6.45632	1000000	1000000	1000000	1000000	1000000	0.000000099104	0.000000078508	0.000000080510	0.000000091163	0.000000102332	.01139	.00396	.00077	.00108	.00273	.00446	499	.00096	100.00000985	100	15.78678967	0	0	0	0	0:1e-05	0	0	0	1e-05:1e-05	0	0	0	1e-05:1e-05	0	0	0	0:1e-05	0	0	0	0	0.001273	0.000173	0.000212	4.5e-05	0.000611	0	29.44507838	33.76343082	59.81598684	17.60149943	1	100	100	1973	25
sim23	0	0	0	0	1	4.29746	4.29746	4.29746	4.29746	4.29746	1000000	1000000	1000000	1000000	1000000	0.000000102795	0.000000093727	0.000000106491	0.000000095360	0.000000109112	.02143	.00249	.00038	.00335	.00076	.00396	499	.00055	100.00000982	237	14.48067934	0	0	0	0	2e-05:0	0	0	0	2e-05:0	0	0	0	3e-05:0	0	0	0	3e-05:0	0	0	0	0	0.00018	4.9e-05	5.6e-05	0.000167	0.005561	29.61312289	46.96316045	52.35169091	24.04055402	0	1	100	100	4582	42
sim24	1	0	0	0	0	6.30068	6.30068	6.30068	6.30068	6.30068	1000000	1000000	1000000	1000000	1000000	0.000000131306	0.000000131243	0.000000143340	0.000000127399	0.000000145482	.01902	.00182	.00181	.00373	.00120	.00407	499	.00241	100.00000983	499	16.50835892	0	1e-04	0.00013	9e-05	0.00048:0.00026	0	0.00012	7e-05	0.00042:0.00024	1e-04	0	9e-05	0.00045:0.00025	0.00011	0.00013	0	0.00043:0.00024	1e-04	0.00011	8e-05	0	0.012895	0.005691	0.008267	0.005227	0.026236	0	19.8341209	38.75367439	32.91144755	9.50861844	0.295266	100	100	49062	137
sim27	0	0	0	0	1	4.82024	4.82024	4.82024	4.82024	4.82024	1000000	1000000	1000000	1000000	1000000	0.000000107732	0.000000107780	0.000000115637	0.000000101948	0.000000106912	.02101	.00134	.00135	.00298	.00014	.00117	499	.00393	100.00000994	499	19.85645565	0	0.00021	0.00029	0.00018	0.00042:0.00018	0	0.00032	0.00018	0.00045:0.00015	0.00019	0	0.00017	0.00045:0.00014	2e-04	0.00028	0	0.00043:0.00019	0.00022	3e-04	0.00018	0	0.004738	0.005331	0.008858	0.004831	0.011611	26.84661449	31.95874392	7.07148001	15.69896257	0	0.650587	100	100	27947	185
sim33	0	0	1	0	0	4.13084	4.13084	4.13084	4.13084	4.13084	1000000	1000000	1000000	1000000	1000000	0.000000091208	0.000000092613	0.000000076379	0.000000092985	0.000000081625	.01786	.00422	.00456	.00063	.00465	.00190	499	.00205	100.00000950	50	22.85069296	0	0	3e-05	0	1e-05:0	0	3e-05	1e-05	0:0	0	0	0	0:1e-05	1e-05	3e-05	0	0:0	0	3e-05	0	0	0.000184	0.000199	0.001159	0.000177	0.000169	40.37075338	17.47775734	0	46.79658361	42.88637067	1	100	100	1431	16
sim40	1	0	0	0	0	3.10616	3.10616	3.10616	3.10616	3.10616	1000000	1000000	1000000	1000000	1000000	0.000000141982	0.000000140243	0.000000143877	0.000000148505	0.000000149406	.04349	.00222	.00166	.00283	.00432	.00461	499	.00443	100.00000858	39	12.69739913	0	0	1e-05	1e-05	2e-05:0	0	1e-05	0	2e-05:0	1e-05	0	1e-05	2e-05:0	0	0	0	2e-05:0	0	0	1e-05	0	7.1e-05	7.4e-05	0.000153	0.000364	0.000725	0	51.00017664	72.3522075	41.94743288	2.92537318	1	100	100	975	10
sim41	0	0	0	0	1	6.78134	6.78134	6.78134	6.78134	6.78134	1000000	1000000	1000000	1000000	1000000	0.000000126065	0.000000140170	0.000000142069	0.000000124437	0.000000126404	.01725	.00134	.00342	.00370	.00110	.00139	499	.00391	100.00000995	296	14.15643100	0	4e-05	6e-05	4e-05	0.00012:9e-05	0	5e-05	3e-05	0.00013:7e-05	6e-05	0	5e-05	0.00014:8e-05	5e-05	6e-05	0	0.00014:8e-05	5e-05	6e-05	4e-05	0	0.002869	0.001783	0.002272	0.001244	0.004257	27.55676111	35.09936379	51.38081005	48.6351328	0	1	100	100	10595	102
