file_name	lowest_ESS
misspec_delta_sim328.log.ess	146.8
misspec_delta_sim155.log.ess	174
misspec_delta_sim15.log.ess	202.4
misspec_delta_sim175.log.ess	219.4
misspec_delta_sim256.log.ess	236.2
misspec_delta_sim381.log.ess	237.6
misspec_delta_sim340.log.ess	256
misspec_delta_sim370.log.ess	259.1
misspec_delta_sim46.log.ess	265.5
misspec_delta_sim120.log.ess	270.7
misspec_delta_sim102.log.ess	278.7
misspec_delta_sim356.log.ess	278.7
misspec_delta_sim219.log.ess	283.2
misspec_delta_sim100.log.ess	286
misspec_delta_sim354.log.ess	299.8
misspec_delta_sim289.log.ess	300.5
misspec_delta_sim61.log.ess	303
misspec_delta_sim59.log.ess	303.6
misspec_delta_sim234.log.ess	306.7
misspec_delta_sim203.log.ess	314.7
misspec_delta_sim334.log.ess	317
misspec_delta_sim55.log.ess	317.4
misspec_delta_sim230.log.ess	319.8
misspec_delta_sim173.log.ess	323.4
misspec_delta_sim218.log.ess	324.1
misspec_delta_sim171.log.ess	335.8
misspec_delta_sim311.log.ess	338.1
misspec_delta_sim86.log.ess	340.3
misspec_delta_sim147.log.ess	340.9
misspec_delta_sim52.log.ess	342.3
misspec_delta_sim391.log.ess	345.5
misspec_delta_sim261.log.ess	347.4
misspec_delta_sim158.log.ess	349.8
misspec_delta_sim162.log.ess	349.9
misspec_delta_sim242.log.ess	350.2
misspec_delta_sim259.log.ess	350.6
misspec_delta_sim250.log.ess	351.3
misspec_delta_sim293.log.ess	352
misspec_delta_sim281.log.ess	355.7
misspec_delta_sim134.log.ess	355.8
misspec_delta_sim262.log.ess	358.7
misspec_delta_sim360.log.ess	359.7
misspec_delta_sim62.log.ess	361.2
misspec_delta_sim105.log.ess	362.2
misspec_delta_sim140.log.ess	362.9
misspec_delta_sim231.log.ess	363.9
misspec_delta_sim221.log.ess	364.2
misspec_delta_sim339.log.ess	368.6
misspec_delta_sim12.log.ess	369.2
misspec_delta_sim324.log.ess	370.4
misspec_delta_sim115.log.ess	372
misspec_delta_sim145.log.ess	374.7
misspec_delta_sim363.log.ess	376.8
misspec_delta_sim358.log.ess	377.6
misspec_delta_sim187.log.ess	378.8
misspec_delta_sim97.log.ess	380.5
misspec_delta_sim269.log.ess	381.7
misspec_delta_sim307.log.ess	382.2
misspec_delta_sim196.log.ess	383.3
misspec_delta_sim283.log.ess	383.5
misspec_delta_sim300.log.ess	384.2
misspec_delta_sim267.log.ess	384.6
misspec_delta_sim276.log.ess	385.7
misspec_delta_sim142.log.ess	385.9
misspec_delta_sim106.log.ess	386.5
misspec_delta_sim350.log.ess	393.7
misspec_delta_sim183.log.ess	394.3
misspec_delta_sim215.log.ess	394.6
misspec_delta_sim152.log.ess	395.4
misspec_delta_sim40.log.ess	396.5
misspec_delta_sim8.log.ess	399.8
misspec_delta_sim304.log.ess	401.2
misspec_delta_sim81.log.ess	401.4
misspec_delta_sim299.log.ess	402
misspec_delta_sim89.log.ess	402
misspec_delta_sim64.log.ess	402.2
misspec_delta_sim27.log.ess	405.7
misspec_delta_sim355.log.ess	410.1
misspec_delta_sim321.log.ess	416.1
misspec_delta_sim164.log.ess	417.8
misspec_delta_sim393.log.ess	418.5
misspec_delta_sim195.log.ess	418.8
misspec_delta_sim378.log.ess	421.9
misspec_delta_sim298.log.ess	423.1
misspec_delta_sim369.log.ess	424.8
misspec_delta_sim154.log.ess	427.5
misspec_delta_sim210.log.ess	429.4
misspec_delta_sim110.log.ess	429.6
misspec_delta_sim24.log.ess	430.7
misspec_delta_sim16.log.ess	431.2
misspec_delta_sim325.log.ess	433
misspec_delta_sim212.log.ess	433.4
misspec_delta_sim79.log.ess	434.7
misspec_delta_sim272.log.ess	436.1
misspec_delta_sim41.log.ess	437.7
misspec_delta_sim344.log.ess	439
misspec_delta_sim112.log.ess	441.9
misspec_delta_sim49.log.ess	442.4
misspec_delta_sim294.log.ess	443.6
misspec_delta_sim302.log.ess	446
misspec_delta_sim189.log.ess	446.8
misspec_delta_sim216.log.ess	452.9
misspec_delta_sim205.log.ess	455.1
misspec_delta_sim388.log.ess	456.3
misspec_delta_sim284.log.ess	457.6
misspec_delta_sim119.log.ess	458.8
misspec_delta_sim228.log.ess	463.1
misspec_delta_sim313.log.ess	465.9
misspec_delta_sim308.log.ess	471.6
misspec_delta_sim192.log.ess	479.7
misspec_delta_sim206.log.ess	480.3
misspec_delta_sim23.log.ess	481.8
misspec_delta_sim33.log.ess	487.3
misspec_delta_sim157.log.ess	494.1
misspec_delta_sim126.log.ess	497.5
misspec_delta_sim127.log.ess	515.3
misspec_delta_sim368.log.ess	527.5
misspec_delta_sim347.log.ess	583.2
