species	type	location	rxn	time
1	I	3	Sample_recovery	95.79136140
2	I	3	Sample_recovery	100.00000238
3	I	1	Sample_recovery	98.72457737
4	I	1	Sample_recovery	97.81547647
5	I	1	Sample_recovery	90.97789909
6	I	2	Sample_recovery	84.57693284
7	I	2	Sample_recovery	93.51324098
8	I	2	Sample_recovery	96.45457243
9	I	0	Sample_recovery	99.71181525
10	I	2	Sample_recovery	100.00000133
11	I	2	Sample_recovery	92.03550938
12	I	2	Sample_recovery	99.37147314
13	I	2	Sample_recovery	98.87432865
14	I	2	Sample_recovery	97.40239355
15	I	2	Sample_recovery	100.00000239
16	I	1	Sample_recovery	89.10146130
17	I	1	Sample_recovery	100.00000078
18	I	1	Sample_recovery	92.48073639
19	I	1	Sample_recovery	100.00000756
20	I	1	Sample_recovery	77.15540621
21	I	1	Sample_recovery	97.89694498
22	I	1	Sample_recovery	100.00000438
23	I	1	Sample_recovery	100.00000795
24	I	1	Sample_recovery	100.00000439
25	I	1	Sample_recovery	100.00000845
26	I	1	Sample_recovery	92.79233165
27	I	1	Sample_recovery	93.64616368
28	I	1	Sample_recovery	100.00000268
29	I	1	Sample_recovery	91.15703820
30	I	1	Sample_recovery	100.00000176
31	I	2	Sample_recovery	89.99536515
32	I	0	Sample_recovery	95.13115164
33	I	1	Sample_recovery	98.91703888
34	I	1	Sample_recovery	100.00000263
35	I	1	Sample_recovery	100.00000684
36	I	4	Sample_recovery	100.00000192
37	I	1	Sample_recovery	100.00000159
38	I	1	Sample_recovery	100.00000524
39	I	1	Sample_recovery	97.60945036
40	I	2	Sample_recovery	100.00000851
41	I	0	Sample_recovery	93.27670504
42	I	1	Sample_recovery	95.35827783
43	I	1	Sample_recovery	99.16031431
44	I	3	Sample_recovery	100.00000774
45	I	3	Sample_recovery	92.26963751
46	I	1	Sample_recovery	96.68765618
47	I	1	Sample_recovery	99.68172157
48	I	1	Sample_recovery	100.00000778
49	I	3	Sample_recovery	90.68748391
50	I	1	Sample_recovery	98.27103087
51	I	1	Sample_recovery	100.00000057
52	I	3	Sample_recovery	100.00000990
53	I	3	Sample_recovery	93.62388909
54	I	1	Sample_recovery	100.00000957
55	I	1	Sample_recovery	91.04818647
56	I	1	Sample_recovery	100.00000270
57	I	2	Sample_recovery	91.06583610
58	I	2	Sample_recovery	100.00000490
59	I	2	Sample_recovery	94.27068189
60	I	2	Sample_recovery	98.55217430
