file_name	lowest_ESS
extant_misspec_m_sim158.log.ess	189.5
extant_misspec_m_sim0.log.ess	236.3
extant_misspec_m_sim41.log.ess	264.8
extant_misspec_m_sim197.log.ess	264.9
extant_misspec_m_sim53.log.ess	270.3
extant_misspec_m_sim93.log.ess	279.8
extant_misspec_m_sim56.log.ess	289.9
extant_misspec_m_sim26.log.ess	298.1
extant_misspec_m_sim52.log.ess	304.1
extant_misspec_m_sim160.log.ess	305
extant_misspec_m_sim144.log.ess	306.5
extant_misspec_m_sim263.log.ess	312.7
extant_misspec_m_sim60.log.ess	320.1
extant_misspec_m_sim54.log.ess	323.9
extant_misspec_m_sim180.log.ess	324.2
extant_misspec_m_sim258.log.ess	325.2
extant_misspec_m_sim289.log.ess	328.2
extant_misspec_m_sim10.log.ess	328.9
extant_misspec_m_sim230.log.ess	337.4
extant_misspec_m_sim31.log.ess	337.7
extant_misspec_m_sim19.log.ess	340.6
extant_misspec_m_sim4.log.ess	341.6
extant_misspec_m_sim155.log.ess	349.5
extant_misspec_m_sim259.log.ess	350.4
extant_misspec_m_sim182.log.ess	354.4
extant_misspec_m_sim33.log.ess	358.3
extant_misspec_m_sim273.log.ess	360.6
extant_misspec_m_sim39.log.ess	360.8
extant_misspec_m_sim225.log.ess	361.4
extant_misspec_m_sim67.log.ess	361.8
extant_misspec_m_sim167.log.ess	367.3
extant_misspec_m_sim285.log.ess	368.8
extant_misspec_m_sim193.log.ess	372.2
extant_misspec_m_sim174.log.ess	372.7
extant_misspec_m_sim136.log.ess	374.2
extant_misspec_m_sim214.log.ess	375.2
extant_misspec_m_sim178.log.ess	376
extant_misspec_m_sim283.log.ess	378.6
extant_misspec_m_sim271.log.ess	378.8
extant_misspec_m_sim294.log.ess	381.4
extant_misspec_m_sim257.log.ess	381.7
extant_misspec_m_sim49.log.ess	382.8
extant_misspec_m_sim190.log.ess	383.6
extant_misspec_m_sim133.log.ess	385.8
extant_misspec_m_sim91.log.ess	386.9
extant_misspec_m_sim222.log.ess	388.2
extant_misspec_m_sim85.log.ess	388.7
extant_misspec_m_sim165.log.ess	390.8
extant_misspec_m_sim224.log.ess	390.9
extant_misspec_m_sim195.log.ess	391.7
extant_misspec_m_sim298.log.ess	392.1
extant_misspec_m_sim29.log.ess	392.4
extant_misspec_m_sim71.log.ess	393.4
extant_misspec_m_sim246.log.ess	393.7
extant_misspec_m_sim23.log.ess	394.3
extant_misspec_m_sim103.log.ess	395.3
extant_misspec_m_sim192.log.ess	398.2
extant_misspec_m_sim77.log.ess	400.5
extant_misspec_m_sim40.log.ess	400.8
extant_misspec_m_sim44.log.ess	401.8
extant_misspec_m_sim242.log.ess	403.8
extant_misspec_m_sim172.log.ess	404.5
extant_misspec_m_sim220.log.ess	405.1
extant_misspec_m_sim236.log.ess	407
extant_misspec_m_sim139.log.ess	407.6
extant_misspec_m_sim288.log.ess	408.6
extant_misspec_m_sim9.log.ess	408.8
extant_misspec_m_sim282.log.ess	410
extant_misspec_m_sim150.log.ess	413.7
extant_misspec_m_sim21.log.ess	418.4
extant_misspec_m_sim14.log.ess	420
extant_misspec_m_sim74.log.ess	421.3
extant_misspec_m_sim118.log.ess	422.2
extant_misspec_m_sim267.log.ess	425.6
extant_misspec_m_sim127.log.ess	426.7
extant_misspec_m_sim163.log.ess	432.4
extant_misspec_m_sim137.log.ess	432.5
extant_misspec_m_sim234.log.ess	434.4
extant_misspec_m_sim269.log.ess	434.7
extant_misspec_m_sim194.log.ess	435.9
extant_misspec_m_sim128.log.ess	439.1
extant_misspec_m_sim212.log.ess	440.2
extant_misspec_m_sim5.log.ess	443.3
extant_misspec_m_sim75.log.ess	465.6
extant_misspec_m_sim198.log.ess	467
extant_misspec_m_sim107.log.ess	472.5
extant_misspec_m_sim266.log.ess	476.2
extant_misspec_m_sim6.log.ess	478.7
extant_misspec_m_sim256.log.ess	496.8
extant_misspec_m_sim170.log.ess	558.5
