sim_number	x_coord_loc_0,x_coord_loc_1,x_coord_loc_2,x_coord_loc_3,x_coord_loc_4	y_coord_loc_0,y_coord_loc_1,y_coord_loc_2,y_coord_loc_3,y_coord_loc_4	m_0_1_1_0_z_1,m_0_2_2_0_z_2,m_0_3_3_0_z_3,m_0_4_4_0_z_4,m_1_0_0_1_z_5,m_1_2_2_1_z_7,m_1_3_3_1_z_8,m_1_4_4_1_z_9,m_2_0_0_2_z_10,m_2_1_1_2_z_11,m_2_3_3_2_z_13,m_2_4_4_2_z_14,m_3_0_0_3_z_15,m_3_1_1_3_z_16,m_3_2_2_3_z_17,m_3_4_4_3_z_19,m_4_0_0_4_z_20,m_4_1_1_4_z_21,m_4_2_2_4_z_22,m_4_3_3_4_z_23
sim0	1.319,1.655,9.073,0.113,3.014	4.675,0.699,2.426,4.009,0.285	0.003976320617,0.0019652031,0.011516640625,0.003371583624,0.003976320617,0.002083168343,0.004345052149,0.011168185484,0.0019652031,0.002083168343,0.001743775809,0.002469007249,0.011516640625,0.004345052149,0.001743775809,0.003361063,0.003371583624,0.011168185484,0.002469007249,0.003361063
sim4	5.237,9.648,7.716,8.051,9.917	1.866,6.437,4.211,4.494,3.657	0.0013132457,0.002444630047,0.002166585717,0.001664749438,0.0013132457,0.002830222154,0.003316806073,0.002986788344,0.002444630047,0.002830222154,0.01902249521,0.003675477731,0.002166585717,0.003316806073,0.01902249521,0.004078999585,0.001664749438,0.002986788344,0.003675477731,0.004078999585
sim5	5.594,4.492,6.408,6.235,7.152	6.436,4.333,5.168,0.3,4.893	0.002504564307,0.003946422726,0.000963861109,0.002711844956,0.002504564307,0.002845125456,0.001353451655,0.002187550031,0.003946422726,0.002845125456,0.001220764972,0.007496797987,0.000963861109,0.001353451655,0.001220764972,0.001269616801,0.002711844956,0.002187550031,0.007496797987,0.001269616801
sim6	9.296,7.018,5.881,8.194,8.47	0.571,8.421,8.767,8.338,3.386	0.00056861526,0.000523456972,0.000592466575,0.001584279247,0.00056861526,0.003910687586,0.003942382295,0.000886948703,0.000523456972,0.003910687586,0.00197571854,0.000778334095,0.000592466575,0.003942382295,0.00197571854,0.000937110727,0.001584279247,0.000886948703,0.000778334095,0.000937110727
sim9	8.16,9.316,9.853,5.135,9.208	2.643,6.869,9,9.52,1.706	0.002078962041,0.001384564534,0.001212376009,0.006479206329,0.002078962041,0.004144697554,0.001839866719,0.001763795208,0.001384564534,0.004144697554,0.001918957761,0.001243907558,0.001212376009,0.001839866719,0.001918957761,0.001033666286,0.006479206329,0.001763795208,0.001243907558,0.001033666286
sim10	3.943,0.935,4.695,5.542,9.828	4.792,9.439,3.828,4.349,8.488	0.000604183453,0.00273552448,0.00201569631,0.00048126821,0.000604183453,0.000495165212,0.000487160072,0.000373951009,0.00273552448,0.000495165212,0.003363310331,0.000482420114,0.00201569631,0.000487160072,0.003363310331,0.000561320808,0.00048126821,0.000373951009,0.000482420114,0.000561320808
sim14	5.722,9.827,7.9,5.476,7.762	9.909,4.154,7.207,2.579,8.036	0.000318500501,0.000648746736,0.000306987677,0.000812979038,0.000318500501,0.000623631725,0.000486566836,0.000512043464,0.000648746736,0.000623631725,0.000430957547,0.002679041037,0.000306987677,0.000486566836,0.000430957547,0.000380545437,0.000812979038,0.000512043464,0.002679041037,0.000380545437
sim19	8.328,9.985,1.601,9.589,1.154	3.513,1.014,0.295,3.71,0.732	0.00175221705,0.000704554516,0.004116539023,0.000682844357,0.00175221705,0.000624368529,0.001928095024,0.000594637436,0.000704554516,0.000624368529,0.000604776923,0.008404626043,0.004116539023,0.001928095024,0.000604776923,0.000587341098,0.000682844357,0.000594637436,0.008404626043,0.000587341098
sim21	3.434,5.87,3.99,8.115,6.687	5.901,6.626,1.737,9.128,9.567	0.004659859752,0.002819236991,0.00208309229,0.002416457033,0.004659859752,0.002261067996,0.003523221499,0.003880095169,0.002819236991,0.002261067996,0.001399246863,0.001430119764,0.00208309229,0.003523221499,0.001399246863,0.007927602644,0.002416457033,0.003880095169,0.001430119764,0.007927602644
sim23	4.413,1.669,2.991,4.867,6.671	6.741,0.412,5.862,8.63,6.12	0.000917494959,0.003785931306,0.00325773819,0.002702622757,0.000917494959,0.001128575646,0.000717722441,0.000833923568,0.003785931306,0.001128575646,0.001892770949,0.001715654118,0.00325773819,0.000717722441,0.001892770949,0.002047566066,0.002702622757,0.000833923568,0.001715654118,0.002047566066
sim26	7.594,9.548,2.64,4.9,9.074	0.238,9.735,2.363,2.295,0.678	0.001914276829,0.003443209462,0.005475898962,0.012021017845,0.001914276829,0.001837181298,0.002115772074,0.002046520277,0.003443209462,0.001837181298,0.008208984392,0.002790670102,0.005475898962,0.002115772074,0.008208984392,0.004146468759,0.012021017845,0.002046520277,0.002790670102,0.004146468759
sim29	5.317,0.474,4.327,6.404,4.326	8.188,3.821,5.027,0.632,7.689	0.000319448828,0.000628900401,0.000272888444,0.001877507567,0.000319448828,0.000515977525,0.000309392792,0.000381611937,0.000628900401,0.000515977525,0.000428542352,0.000782559026,0.000272888444,0.000309392792,0.000428542352,0.000283171127,0.001877507567,0.000381611937,0.000782559026,0.000283171127
