sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim0	1,0,0,0,0	2.79506,2.79506,2.79506,2.79506,2.79506	1000000,1000000,1000000,1000000,1000000	0.000000144504,0.000000144504,0.000000144504,0.000000144504,0.000000144504	.04745	.00425,.00425,.00425,.00425,.00425	499	.00460	100.00000989	499	16.19208244	0,0.00017,8e-05,0.00083,0.00012:0.00038,0,8e-05,0.00031,0.00034:0.00018,7e-05,0,0.00011,7e-05:0.00107,0.00016,7e-05,0,1e-04:0.00034,0.00046,9e-05,0.00024,0	0.01299,0.005677,0.0054,0.010644,0.004133	0,34.12598665,25.22343477,20.57248841,38.3987261	0.363968	100	100	24743	96
sim4	0,0,1,0,0	2.77364,2.77364,2.77364,2.77364,2.77364	1000000,1000000,1000000,1000000,1000000	0.000000132330,0.000000132330,0.000000132330,0.000000132330,0.000000132330	.04565	.00206,.00206,.00206,.00206,.00206	499	.00435	100.00000915	225	14.96343989	0,2e-05,8e-05,5e-05,2e-05:1e-05,0,8e-05,7e-05,2e-05:1e-05,2e-05,0,0.00039,4e-05:0,2e-05,0.00057,0,5e-05:1e-05,2e-05,8e-05,8e-05,0	0.000825,0.001277,0.003879,0.002593,0.001342	35.03584345,31.95695538,0,13.03538807,36.86643215	1	100	100	6296	63
sim5	0,0,0,1,0	5.73122,5.73122,5.73122,5.73122,5.73122	1000000,1000000,1000000,1000000,1000000	0.000000116171,0.000000116171,0.000000116171,0.000000116171,0.000000116171	.01816	.00211,.00211,.00211,.00211,.00211	499	.00265	100.00000994	252	15.54927441	0,1e-05,3e-05,6e-05,3e-05:1e-05,0,2e-05,9e-05,2e-05:2e-05,2e-05,0,7e-05,6e-05:0,1e-05,1e-05,0,0:1e-05,0,5e-05,8e-05,0	0.000458,0.000555,0.000946,0.006903,0.000869	51.80802538,30.46718517,43.03549136,0,38.94823624	1	100	100	7997	84
sim6	0,0,1,0,0	7.06832,7.06832,7.06832,7.06832,7.06832	1000000,1000000,1000000,1000000,1000000	0.000000085031,0.000000085031,0.000000085031,0.000000085031,0.000000085031	.01130	.00073,.00073,.00073,.00073,.00073	499	.00157	100.00000915	29	27.12355325	0,0,1e-05,0,1e-05:0,0,5e-05,0,0:0,2e-05,0,0,0:0,1e-05,3e-05,0,0:0,0,1e-05,0,0	0.000188,0.000283,0.001038,6.2e-05,0.000161	34.33118523,26.85219826,0,59.14883909,38.72265557	1	100	100	1498	16
sim9	1,0,0,0,0	6.12416,6.12416,6.12416,6.12416,6.12416	1000000,1000000,1000000,1000000,1000000	0.000000132220,0.000000132220,0.000000132220,0.000000132220,0.000000132220	.01797	.00362,.00362,.00362,.00362,.00362	499	.00231	100.00000992	440	12.10039983	0,1e-05,1e-05,1e-05,0.00019:1e-04,0,3e-05,1e-05,6e-05:8e-05,2e-05,0,1e-05,4e-05:7e-05,0,1e-05,0,4e-05:0.00032,1e-05,0,0,0	0.006265,0.000581,0.00077,0.000553,0.00418	0,68.89547575,44.95498489,49.90227298,9.2333324	1	100	100	10323	103
sim10	1,0,0,0,0	6.50174,6.50174,6.50174,6.50174,6.50174	1000000,1000000,1000000,1000000,1000000	0.000000135041,0.000000135041,0.000000135041,0.000000135041,0.000000135041	.01666	.00411,.00411,.00411,.00411,.00411	499	.00116	100.00000988	499	13.87068790	0,1e-05,3e-05,0.00029,0:0,0,1e-05,8e-05,0:5e-05,1e-05,0,0.00043,0:4e-05,0,5e-05,0,0:1e-05,1e-05,0,8e-05,0	0.002308,0.001092,0.001926,0.019016,0.000438	0,33.31743143,49.96585339,12.43220484,58.00423001	0.512847	100	100	20854	99
sim14	0,0,1,0,0	4.10720,4.10720,4.10720,4.10720,4.10720	1000000,1000000,1000000,1000000,1000000	0.000000088304,0.000000088304,0.000000088304,0.000000088304,0.000000088304	.01923	.00227,.00227,.00227,.00227,.00227	499	.00072	100.00000993	125	18.24989596	0,0,2e-05,0,0:0,0,2e-05,0,0:0,0,0,0,1e-05:0,0,1e-05,0,0:0,0,1e-04,0,0	4.8e-05,9.2e-05,0.003294,3.9e-05,0.000359	69.08317058,45.76482968,0,69.40657652,38.52015937	1	100	100	2937	27
sim19	1,0,0,0,0	4.88252,4.88252,4.88252,4.88252,4.88252	1000000,1000000,1000000,1000000,1000000	0.000000126799,0.000000126799,0.000000126799,0.000000126799,0.000000126799	.02486	.00111,.00111,.00111,.00111,.00111	499	.00200	100.00000971	123	16.55986000	0,1e-05,0,7e-05,0:7e-05,0,0,2e-05,0:3e-05,0,0,1e-05,3e-05:0.00015,0,0,0,0:3e-05,0,1e-05,1e-05,0	0.004521,0.000601,0.000217,0.001998,0.000479	0,65.33861262,62.42137467,21.36961698,55.24462672	1	100	100	6214	52
sim21	1,0,0,0,0	5.43254,5.43254,5.43254,5.43254,5.43254	1000000,1000000,1000000,1000000,1000000	0.000000079369,0.000000079369,0.000000079369,0.000000079369,0.000000079369	.01342	.00119,.00119,.00119,.00119,.00119	499	.00324	100.00000989	57	22.03828469	0,2e-05,3e-05,0,1e-05:6e-05,0,1e-05,1e-05,1e-05:4e-05,1e-05,0,0,0:2e-05,1e-05,1e-05,0,3e-05:4e-05,2e-05,1e-05,0,0	0.001057,0.000417,0.000689,7.7e-05,0.000302	0,38.59349485,20.733824,45.60315191,32.13683433	1	100	100	2089	19
sim23	0,0,0,0,1	7.94834,7.94834,7.94834,7.94834,7.94834	1000000,1000000,1000000,1000000,1000000	0.000000118509,0.000000118509,0.000000118509,0.000000118509,0.000000118509	.01077	.00414,.00414,.00414,.00414,.00414	499	.00190	100.00000998	499	18.07265552	0,2e-05,0.00011,0.00042,0.00056:2e-05,0,4e-05,9e-05,0.00018:0.00014,1e-05,0,0.00023,0.00033:0.00013,1e-05,4e-05,0,0.00041:0.00011,1e-05,4e-05,0.00025,0	0.004195,0.001926,0.003309,0.014809,0.025128	33.68790127,25.19614863,44.76998711,25.34728261,0	0.230805	100	100	43037	111
