species	type	location	rxn	time
1	I	3	Sample_recovery	92.66211530
2	I	3	Sample_recovery	72.46725659
3	I	3	Sample_recovery	95.49466718
4	I	0	Sample_recovery	100.00000761
5	I	3	Sample_recovery	99.96671074
6	I	3	Sample_recovery	97.97221320
7	I	0	Sample_recovery	100.00000180
8	I	1	Sample_recovery	100.00000723
9	I	1	Sample_recovery	91.38494795
10	I	3	Sample_recovery	95.43617337
11	I	3	Sample_recovery	100.00000423
12	I	4	Sample_recovery	94.93060245
13	I	4	Sample_recovery	100.00000532
14	I	4	Sample_recovery	93.47066899
15	I	4	Sample_recovery	86.68394308
16	I	4	Sample_recovery	82.76840676
17	I	4	Sample_recovery	96.91437766
18	I	2	Sample_recovery	100.00000305
19	I	4	Sample_recovery	100.00000456
20	I	3	Sample_recovery	88.70927587
21	I	3	Sample_recovery	92.26693808
22	I	3	Sample_recovery	94.56172553
23	I	3	Sample_recovery	100.00000547
24	I	3	Sample_recovery	79.09108003
25	I	3	Sample_recovery	98.63318874
26	I	3	Sample_recovery	91.48581250
27	I	0	Sample_recovery	100.00000564
28	I	3	Sample_recovery	89.13805833
29	I	3	Sample_recovery	93.14200361
30	I	4	Sample_recovery	100.00000540
31	I	2	Sample_recovery	100.00000719
32	I	1	Sample_recovery	100.00000410
33	I	1	Sample_recovery	96.91542190
34	I	1	Sample_recovery	70.95919793
35	I	3	Sample_recovery	100.00000641
36	I	3	Sample_recovery	82.03799747
37	I	3	Sample_recovery	94.76572821
38	I	3	Sample_recovery	100.00000020
39	I	3	Sample_recovery	98.52367731
40	I	3	Sample_recovery	96.26318586
41	I	3	Sample_recovery	100.00000407
42	I	3	Sample_recovery	99.53113099
43	I	3	Sample_recovery	98.05693138
44	I	3	Sample_recovery	91.40157006
45	I	3	Sample_recovery	94.24674133
46	I	4	Sample_recovery	100.00000877
47	I	3	Sample_recovery	80.34367531
48	I	3	Sample_recovery	97.48723904
49	I	0	Sample_recovery	100.00000980
50	I	3	Sample_recovery	89.58104905
51	I	3	Sample_recovery	79.57465754
52	I	3	Sample_recovery	86.10895771
53	I	2	Sample_recovery	95.57354708
54	I	2	Sample_recovery	91.65370381
55	I	3	Sample_recovery	99.70812452
56	I	3	Sample_recovery	95.20488517
57	I	3	Sample_recovery	93.47927553
58	I	3	Sample_recovery	92.89484529
59	I	4	Sample_recovery	92.54491247
60	I	4	Sample_recovery	94.49660047
61	I	3	Sample_recovery	93.51145896
62	I	3	Sample_recovery	97.09885093
63	I	3	Sample_recovery	100.00000753
64	I	3	Sample_recovery	96.92585110
65	I	3	Sample_recovery	89.89005927
66	I	3	Sample_recovery	85.64340506
67	I	0	Sample_recovery	96.35688180
68	I	3	Sample_recovery	92.63642370
69	I	3	Sample_recovery	87.69360368
70	I	3	Sample_recovery	86.95053461
