file_name	lowest_ESS
extant_misspec_numloc_sim203.log.ess	238.1
extant_misspec_numloc_sim185.log.ess	240.3
extant_misspec_numloc_sim282.log.ess	241.4
extant_misspec_numloc_sim201.log.ess	251.4
extant_misspec_numloc_sim38.log.ess	276.9
extant_misspec_numloc_sim80.log.ess	289.4
extant_misspec_numloc_sim94.log.ess	299.8
extant_misspec_numloc_sim72.log.ess	304.2
extant_misspec_numloc_sim341.log.ess	305.3
extant_misspec_numloc_sim35.log.ess	307.9
extant_misspec_numloc_sim23.log.ess	313
extant_misspec_numloc_sim223.log.ess	313.6
extant_misspec_numloc_sim122.log.ess	319.8
extant_misspec_numloc_sim240.log.ess	320.3
extant_misspec_numloc_sim348.log.ess	320.7
extant_misspec_numloc_sim162.log.ess	324.4
extant_misspec_numloc_sim69.log.ess	325.3
extant_misspec_numloc_sim2.log.ess	329.4
extant_misspec_numloc_sim114.log.ess	330
extant_misspec_numloc_sim387.log.ess	330.8
extant_misspec_numloc_sim333.log.ess	330.9
extant_misspec_numloc_sim135.log.ess	331.4
extant_misspec_numloc_sim18.log.ess	336
extant_misspec_numloc_sim46.log.ess	338
extant_misspec_numloc_sim214.log.ess	340.5
extant_misspec_numloc_sim193.log.ess	342.4
extant_misspec_numloc_sim83.log.ess	344.3
extant_misspec_numloc_sim34.log.ess	345
extant_misspec_numloc_sim260.log.ess	346
extant_misspec_numloc_sim213.log.ess	346.2
extant_misspec_numloc_sim272.log.ess	346.6
extant_misspec_numloc_sim245.log.ess	351.9
extant_misspec_numloc_sim321.log.ess	352.1
extant_misspec_numloc_sim368.log.ess	355.8
extant_misspec_numloc_sim310.log.ess	357.6
extant_misspec_numloc_sim366.log.ess	357.7
extant_misspec_numloc_sim58.log.ess	358.9
extant_misspec_numloc_sim178.log.ess	360.1
extant_misspec_numloc_sim287.log.ess	360.4
extant_misspec_numloc_sim300.log.ess	364.1
extant_misspec_numloc_sim130.log.ess	367.4
extant_misspec_numloc_sim319.log.ess	368.1
extant_misspec_numloc_sim62.log.ess	368.6
extant_misspec_numloc_sim343.log.ess	368.8
extant_misspec_numloc_sim210.log.ess	371.6
extant_misspec_numloc_sim291.log.ess	372.2
extant_misspec_numloc_sim375.log.ess	375.3
extant_misspec_numloc_sim242.log.ess	376
extant_misspec_numloc_sim383.log.ess	377.7
extant_misspec_numloc_sim318.log.ess	379.3
extant_misspec_numloc_sim252.log.ess	380.2
extant_misspec_numloc_sim100.log.ess	380.3
extant_misspec_numloc_sim271.log.ess	383.3
extant_misspec_numloc_sim205.log.ess	384.8
extant_misspec_numloc_sim36.log.ess	385.3
extant_misspec_numloc_sim231.log.ess	386.1
extant_misspec_numloc_sim118.log.ess	386.7
extant_misspec_numloc_sim37.log.ess	386.8
extant_misspec_numloc_sim65.log.ess	390.6
extant_misspec_numloc_sim358.log.ess	390.7
extant_misspec_numloc_sim11.log.ess	391.5
extant_misspec_numloc_sim380.log.ess	393.9
extant_misspec_numloc_sim357.log.ess	395.8
extant_misspec_numloc_sim73.log.ess	396.7
extant_misspec_numloc_sim24.log.ess	396.9
extant_misspec_numloc_sim87.log.ess	397.7
extant_misspec_numloc_sim311.log.ess	398
extant_misspec_numloc_sim365.log.ess	398
extant_misspec_numloc_sim216.log.ess	403.7
extant_misspec_numloc_sim172.log.ess	405.5
extant_misspec_numloc_sim168.log.ess	407.2
extant_misspec_numloc_sim119.log.ess	408.2
extant_misspec_numloc_sim176.log.ess	408.4
extant_misspec_numloc_sim381.log.ess	408.9
extant_misspec_numloc_sim19.log.ess	409
extant_misspec_numloc_sim56.log.ess	409.6
extant_misspec_numloc_sim79.log.ess	411.3
extant_misspec_numloc_sim253.log.ess	412.2
extant_misspec_numloc_sim148.log.ess	413.8
extant_misspec_numloc_sim390.log.ess	414.4
