species	type	location	rxn	time
1	I	4	Sample_recovery	86.21754848
2	I	4	Sample_recovery	97.38229099
3	I	4	Sample_recovery	99.36902391
4	I	2	Sample_recovery	99.76960004
5	I	5	Sample_recovery	98.04350460
6	I	4	Sample_recovery	85.72775180
7	I	7	Sample_recovery	98.63688687
8	I	5	Sample_recovery	90.72041002
9	I	3	Sample_recovery	97.15048789
10	I	9	Sample_recovery	71.87606269
11	I	1	Sample_recovery	95.16500533
12	I	1	Sample_recovery	90.02209414
13	I	8	Sample_recovery	94.23216144
14	I	9	Sample_recovery	86.33571804
15	I	9	Sample_recovery	94.12621786
16	I	9	Sample_recovery	83.50694637
17	I	8	Sample_recovery	76.30951056
18	I	8	Sample_recovery	78.48847183
19	I	8	Sample_recovery	82.48993208
20	I	1	Sample_recovery	68.76223126
21	I	0	Sample_recovery	100.00000742
22	I	3	Sample_recovery	98.23498228
23	I	0	Sample_recovery	81.61079899
24	I	1	Sample_recovery	91.87153623
25	I	4	Sample_recovery	91.73470342
26	I	1	Sample_recovery	45.11075406
27	I	4	Sample_recovery	86.18323941
28	I	2	Sample_recovery	99.34655704
29	I	4	Sample_recovery	100.00000858
30	I	6	Sample_recovery	100.00000654
31	I	6	Sample_recovery	98.15561837
32	I	5	Sample_recovery	91.37898075
33	I	6	Sample_recovery	100.00000060
34	I	7	Sample_recovery	75.32645652
35	I	7	Sample_recovery	80.86043951
36	I	8	Sample_recovery	97.32180973
37	I	3	Sample_recovery	95.55696895
38	I	4	Sample_recovery	81.56824078
39	I	8	Sample_recovery	98.69348738
40	I	0	Sample_recovery	97.17956962
41	I	0	Sample_recovery	91.89189568
42	I	9	Sample_recovery	77.66454508
43	I	9	Sample_recovery	81.84493493
44	I	9	Sample_recovery	79.09786706
45	I	9	Sample_recovery	95.05649812
46	I	7	Sample_recovery	100.00000301
47	I	4	Sample_recovery	47.75550785
48	I	4	Sample_recovery	51.25879486
49	I	5	Sample_recovery	89.58350794
50	I	6	Sample_recovery	90.39678620
51	I	1	Sample_recovery	92.11757143
52	I	6	Sample_recovery	100.00000864
53	I	5	Sample_recovery	54.13568625
54	I	4	Sample_recovery	92.52164724
55	I	4	Sample_recovery	93.43531393
56	I	3	Sample_recovery	96.55873413
57	I	2	Sample_recovery	92.82330096
58	I	2	Sample_recovery	100.00000670
59	I	9	Sample_recovery	90.57501933
60	I	5	Sample_recovery	61.22925905
61	I	2	Sample_recovery	99.79471215
62	I	5	Sample_recovery	66.71404347
63	I	7	Sample_recovery	83.51966367
64	I	8	Sample_recovery	84.56427150
65	I	4	Sample_recovery	73.72557321
66	I	4	Sample_recovery	97.38114317
67	I	4	Sample_recovery	88.15326410
68	I	4	Sample_recovery	100.00000231
69	I	4	Sample_recovery	99.57261661
70	I	4	Sample_recovery	85.63603806
71	I	3	Sample_recovery	100.00000538
72	I	4	Sample_recovery	81.74142651
73	I	9	Sample_recovery	95.66216686
74	I	9	Sample_recovery	100.00000363
75	I	9	Sample_recovery	99.66447965
76	I	4	Sample_recovery	98.00897537
77	I	4	Sample_recovery	100.00000129
78	I	4	Sample_recovery	85.77918402
79	I	1	Sample_recovery	75.68517975
80	I	9	Sample_recovery	94.36679417
81	I	0	Sample_recovery	91.29724605
82	I	0	Sample_recovery	96.91942640
83	I	7	Sample_recovery	99.70053731
84	I	0	Sample_recovery	95.31067129
85	I	1	Sample_recovery	76.00696367
86	I	1	Sample_recovery	94.03168648
87	I	1	Sample_recovery	96.50174646
88	I	1	Sample_recovery	80.90792511
89	I	1	Sample_recovery	72.57450769
90	I	1	Sample_recovery	89.13093324
91	I	1	Sample_recovery	100.00000379
92	I	1	Sample_recovery	97.18194919
93	I	3	Sample_recovery	97.07642028
94	I	1	Sample_recovery	100.00000803
95	I	1	Sample_recovery	87.99169804
96	I	1	Sample_recovery	68.21336964
97	I	8	Sample_recovery	96.73409029
98	I	8	Sample_recovery	97.91612665
99	I	9	Sample_recovery	100.00000255
100	I	1	Sample_recovery	82.55193578
101	I	6	Sample_recovery	85.88738803
102	I	8	Sample_recovery	100.00000751
103	I	0	Sample_recovery	82.22881880
104	I	0	Sample_recovery	73.63457449
105	I	0	Sample_recovery	65.48041913
106	I	5	Sample_recovery	100.00000364
107	I	4	Sample_recovery	100.00000677
108	I	2	Sample_recovery	95.54834862
109	I	4	Sample_recovery	63.61393914
110	I	4	Sample_recovery	59.13686699
111	I	7	Sample_recovery	74.51514113
112	I	3	Sample_recovery	97.74280188
113	I	3	Sample_recovery	92.37302098
114	I	1	Sample_recovery	100.00000367
115	I	7	Sample_recovery	93.73868652
116	I	1	Sample_recovery	100.00000748
117	I	7	Sample_recovery	76.95742221
118	I	1	Sample_recovery	57.15507841
119	I	5	Sample_recovery	82.10368017
120	I	1	Sample_recovery	90.95967137
121	I	1	Sample_recovery	99.44667702
122	I	1	Sample_recovery	100.00000177
123	I	1	Sample_recovery	98.95366046
124	I	1	Sample_recovery	97.70900644
125	I	3	Sample_recovery	99.33421151
126	I	0	Sample_recovery	90.25371566
127	I	0	Sample_recovery	98.38970589
128	I	1	Sample_recovery	69.17279128
129	I	4	Sample_recovery	90.00318961
