sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4,index_location_5,index_location_6,index_location_7,index_location_8,index_location_9	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4,R_0_5,R_0_6,R_0_7,R_0_8,R_0_9	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4,S_0_5,S_0_6,S_0_7,S_0_8,S_0_9	beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4,sampling_rate_5,sampling_rate_6,sampling_rate_7,sampling_rate_8,sampling_rate_9	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4,loc0_imports_per_capita_from_5,loc0_imports_per_capita_from_6,loc0_imports_per_capita_from_7,loc0_imports_per_capita_from_8,loc0_imports_per_capita_from_9:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4,loc1_imports_per_capita_from_5,loc1_imports_per_capita_from_6,loc1_imports_per_capita_from_7,loc1_imports_per_capita_from_8,loc1_imports_per_capita_from_9:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4,loc2_imports_per_capita_from_5,loc2_imports_per_capita_from_6,loc2_imports_per_capita_from_7,loc2_imports_per_capita_from_8,loc2_imports_per_capita_from_9:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4,loc3_imports_per_capita_from_5,loc3_imports_per_capita_from_6,loc3_imports_per_capita_from_7,loc3_imports_per_capita_from_8,loc3_imports_per_capita_from_9:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4,loc4_imports_per_capita_from_5,loc4_imports_per_capita_from_6,loc4_imports_per_capita_from_7,loc4_imports_per_capita_from_8,loc4_imports_per_capita_from_9:loc5_imports_per_capita_from_0,loc5_imports_per_capita_from_1,loc5_imports_per_capita_from_2,loc5_imports_per_capita_from_3,loc5_imports_per_capita_from_4,loc5_imports_per_capita_from_5,loc5_imports_per_capita_from_6,loc5_imports_per_capita_from_7,loc5_imports_per_capita_from_8,loc5_imports_per_capita_from_9:loc6_imports_per_capita_from_0,loc6_imports_per_capita_from_1,loc6_imports_per_capita_from_2,loc6_imports_per_capita_from_3,loc6_imports_per_capita_from_4,loc6_imports_per_capita_from_5,loc6_imports_per_capita_from_6,loc6_imports_per_capita_from_7,loc6_imports_per_capita_from_8,loc6_imports_per_capita_from_9:loc7_imports_per_capita_from_0,loc7_imports_per_capita_from_1,loc7_imports_per_capita_from_2,loc7_imports_per_capita_from_3,loc7_imports_per_capita_from_4,loc7_imports_per_capita_from_5,loc7_imports_per_capita_from_6,loc7_imports_per_capita_from_7,loc7_imports_per_capita_from_8,loc7_imports_per_capita_from_9:loc8_imports_per_capita_from_0,loc8_imports_per_capita_from_1,loc8_imports_per_capita_from_2,loc8_imports_per_capita_from_3,loc8_imports_per_capita_from_4,loc8_imports_per_capita_from_5,loc8_imports_per_capita_from_6,loc8_imports_per_capita_from_7,loc8_imports_per_capita_from_8,loc8_imports_per_capita_from_9:loc9_imports_per_capita_from_0,loc9_imports_per_capita_from_1,loc9_imports_per_capita_from_2,loc9_imports_per_capita_from_3,loc9_imports_per_capita_from_4,loc9_imports_per_capita_from_5,loc9_imports_per_capita_from_6,loc9_imports_per_capita_from_7,loc9_imports_per_capita_from_8,loc9_imports_per_capita_from_9	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4,infections_per_capita_5,infections_per_capita_6,infections_per_capita_7,infections_per_capita_8,infections_per_capita_9	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4,time_of_first_import_5,time_of_first_import_6,time_of_first_import_7,time_of_first_import_8,time_of_first_import_9	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim2	0,0,0,0,1	7.30508,7.30508,7.30508,7.30508,7.30508,7.30508,7.30508,7.30508,7.30508,7.30508	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938,0.000000096938	.01104	.00223,.00223,.00223,.00223,.00223,.00223,.00223,.00223,.00223,.00223	499	.00462	100.00000999	91	15.54079789	0,2e-05,0,0,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05:1e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05:0,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05:2e-05,2e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05:1e-05,1e-05,1e-05,1e-05,0,2e-05,1e-05,1e-05,2e-05,2e-05:1e-05,2e-05,0,1e-05,1e-05,0,2e-05,1e-05,1e-05,1e-05:2e-05,2e-05,1e-05,0,1e-05,1e-05,0,1e-05,1e-05,2e-05:1e-05,2e-05,1e-05,1e-05,2e-05,1e-05,2e-05,0,1e-05,1e-05:1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0,2e-05:2e-05,1e-05,1e-05,0,1e-05,2e-05,1e-05,1e-05,2e-05,0	0.000286,0.000389,0.00022,0.00017,0.000269,0.000304,0.00025,0.000268,0.000265,0.000254	35.51198449,35.90920658,46.86377408,45.65326703,20.89544169,41.54294733,22.49745714,0,46.60051962,28.43968111	1	100	100	2303	23
sim11	0,1,0,0,0	3.35318,3.35318,3.35318,3.35318,3.35318,3.35318,3.35318,3.35318,3.35318,3.35318	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538,0.000000158538	.04381	.00347,.00347,.00347,.00347,.00347,.00347,.00347,.00347,.00347,.00347	499	.00481	100.00000999	499	14.25508913	0,1e-04,9e-05,9e-05,1e-04,0.00017,1e-04,9e-05,1e-04,9e-05:0.00012,0,9e-05,7e-05,9e-05,0.00017,1e-04,0.00012,1e-04,0.00012:0.00012,1e-04,0,1e-04,8e-05,0.00019,8e-05,0.00011,1e-04,1e-04:1e-04,1e-04,9e-05,0,1e-04,0.00015,1e-04,0.00012,0.00011,1e-04:0.00011,1e-04,1e-04,1e-04,0,0.00016,9e-05,0.00011,1e-04,0.00012:0.00012,0.00011,8e-05,8e-05,9e-05,0,9e-05,0.00011,9e-05,0.00013:0.00011,1e-04,9e-05,9e-05,9e-05,2e-04,0,0.00011,0.00011,0.00011:0.00013,1e-04,8e-05,1e-04,1e-04,0.00018,0.00011,0,0.00011,9e-05:1e-04,1e-04,8e-05,1e-04,8e-05,0.00016,9e-05,1e-04,0,0.00011:1e-04,9e-05,8e-05,1e-04,9e-05,0.00019,8e-05,0.00011,0.00013,0	0.00376,0.003108,0.002858,0.0029,0.00297,0.00603,0.003141,0.003711,0.003417,0.003209	37.5260747,45.26119345,50.32208393,44.07033355,36.93694254,0,40.32748602,35.9963294,34.27780061,46.11145	0.487305	100	100	24593	134
sim13	1,0,0,0,0	3.79682,3.79682,3.79682,3.79682,3.79682,3.79682,3.79682,3.79682,3.79682,3.79682	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773,0.000000138773	.03158	.00497,.00497,.00497,.00497,.00497,.00497,.00497,.00497,.00497,.00497	499	.00272	100.00000942	171	10.66334397	0,1e-05,0,0,0,0,0,1e-05,0,1e-05:2e-05,0,0,1e-05,0,0,0,1e-05,0,1e-05:2e-05,1e-05,0,0,0,0,0,0,0,1e-05:3e-05,1e-05,0,0,0,1e-05,0,0,0,2e-05:2e-05,1e-05,0,0,0,0,0,1e-05,0,1e-05:2e-05,1e-05,0,0,0,0,0,1e-05,1e-05,1e-05:2e-05,1e-05,0,0,0,0,0,0,0,1e-05:3e-05,1e-05,0,0,0,1e-05,0,0,0,1e-05:2e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,1e-05:3e-05,2e-05,0,1e-05,0,0,0,1e-05,0,0	0.001103,0.000463,0.000234,0.000229,0.000154,0.000307,0.000154,0.000481,0.000136,0.000611	0,44.74731696,49.17146987,69.73927775,40.34519326,61.68827887,70.92641898,59.65129516,60.65593511,56.8335762	1	100	100	2910	28
sim18	0,1,0,0,0	3.82556,3.82556,3.82556,3.82556,3.82556,3.82556,3.82556,3.82556,3.82556,3.82556	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322,0.000000097322	.02451	.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093	499	.00390	100.00000989	161	21.56043730	0,3e-05,4e-05,3e-05,4e-05,3e-05,3e-05,3e-05,5e-05,3e-05:4e-05,0,5e-05,3e-05,4e-05,5e-05,2e-05,3e-05,3e-05,4e-05:4e-05,3e-05,0,4e-05,3e-05,3e-05,2e-05,3e-05,4e-05,3e-05:4e-05,3e-05,4e-05,0,3e-05,3e-05,3e-05,5e-05,3e-05,3e-05:3e-05,3e-05,4e-05,3e-05,0,4e-05,2e-05,4e-05,4e-05,4e-05:3e-05,2e-05,4e-05,2e-05,3e-05,0,2e-05,3e-05,5e-05,3e-05:3e-05,3e-05,5e-05,2e-05,3e-05,5e-05,0,3e-05,4e-05,3e-05:3e-05,3e-05,5e-05,3e-05,3e-05,4e-05,2e-05,0,3e-05,2e-05:3e-05,3e-05,4e-05,3e-05,4e-05,4e-05,3e-05,3e-05,0,3e-05:3e-05,3e-05,4e-05,3e-05,3e-05,4e-05,2e-05,3e-05,4e-05,0	0.000802,0.000792,0.001052,0.000829,9e-04,0.000941,0.000629,0.000852,0.001018,0.000706	31.87409713,0,8.02351801,23.82904688,13.68212243,28.19796282,23.94602022,10.13097751,25.57298317,29.0575015	1	100	100	6288	68
sim19	0,1,0,0,0	3.28448,3.28448,3.28448,3.28448,3.28448,3.28448,3.28448,3.28448,3.28448,3.28448	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716,0.000000099716	.02936	.00100,.00100,.00100,.00100,.00100,.00100,.00100,.00100,.00100,.00100	499	.00020	100.00000977	63	21.32941899	0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,1e-05,0,0,0,0,0,0,0,0:0,1e-05,0,0,0,0,0,0,0,0:0,1e-05,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,1e-05,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,1e-05,0,0,0,0,0,0,0,0	2.2e-05,0.002941,4e-06,1.7e-05,2e-05,5e-06,2.7e-05,1e-05,0,2e-06	80.16503721,0,76.51801601,66.72676175,30.33423551,85.73875434,60.0334455,82.02075189,96.22269226,76.7046302	1	100	100	2157	27
sim23	0,0,0,1,0	2.95670,2.95670,2.95670,2.95670,2.95670,2.95670,2.95670,2.95670,2.95670,2.95670	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348,0.000000094348	.02703	.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488	499	.00284	100.00000506	35	13.76217489	0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,1e-05,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0	9.5e-05,3.6e-05,6e-06,3e-05,4.9e-05,9.9e-05,0.000112,2.5e-05,1.6e-05,3.6e-05	28.11312218,61.57271407,71.41570361,40.41244906,57.4836007,49.01690629,39.89774923,63.57575219,70.4029253,0	1	100	100	339	2
sim24	1,0,0,0,0	7.15328,7.15328,7.15328,7.15328,7.15328,7.15328,7.15328,7.15328,7.15328,7.15328	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013,0.000000107013	.01379	.00117,.00117,.00117,.00117,.00117,.00117,.00117,.00117,.00117,.00117	499	.00451	100.00000999	276	17.79805577	0,5e-05,7e-05,6e-05,3e-05,6e-05,6e-05,6e-05,6e-05,6e-05:0.00011,0,8e-05,4e-05,4e-05,5e-05,6e-05,5e-05,5e-05,6e-05:0.00011,5e-05,0,5e-05,5e-05,6e-05,6e-05,5e-05,6e-05,7e-05:1e-04,6e-05,7e-05,0,4e-05,5e-05,5e-05,4e-05,7e-05,4e-05:0.00011,5e-05,8e-05,6e-05,0,6e-05,5e-05,5e-05,5e-05,7e-05:1e-04,4e-05,8e-05,5e-05,3e-05,0,5e-05,5e-05,5e-05,6e-05:0.00012,5e-05,7e-05,6e-05,4e-05,6e-05,0,6e-05,5e-05,6e-05:1e-04,6e-05,8e-05,5e-05,4e-05,5e-05,6e-05,0,5e-05,6e-05:1e-04,5e-05,7e-05,5e-05,5e-05,6e-05,5e-05,6e-05,0,4e-05:1e-04,6e-05,7e-05,6e-05,5e-05,5e-05,6e-05,6e-05,6e-05,0	0.002602,0.001113,0.001746,0.001155,0.001047,0.001169,0.001303,0.001413,0.001381,0.001332	0,23.00962575,28.62912827,27.83187083,16.83040035,27.29358364,35.48752131,37.81957101,30.80845887,29.55299849	1	100	100	12296	122
sim26	0,0,0,1,0	7.26626,7.26626,7.26626,7.26626,7.26626,7.26626,7.26626,7.26626,7.26626,7.26626	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692,0.000000120692	.01625	.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036	499	.00033	100.00000996	270	19.88256738	0,0,1e-05,0,0,0,0,0,0,5e-05:0,0,1e-05,0,0,0,0,0,0,5e-05:0,0,0,0,0,0,0,0,0,6e-05:0,0,1e-05,0,0,0,0,0,0,6e-05:0,0,1e-05,0,0,0,0,0,0,5e-05:0,0,1e-05,0,0,0,0,0,0,5e-05:0,0,0,0,0,0,0,0,0,6e-05:0,0,1e-05,0,0,0,0,0,0,7e-05:0,0,1e-05,0,0,0,0,0,0,5e-05:0,0,1e-05,0,0,0,0,0,0,0	0.000201,0.00037,0.002175,0.000495,0.000217,0.000309,0.000751,0.000184,0.000482,0.019235	56.37118437,59.9996146,37.82214007,57.40551532,51.90141401,60.78792522,49.98248815,33.957499,61.24632854,0	1	100	100	20954	211
sim34	0,1,0,0,0	5.43236,5.43236,5.43236,5.43236,5.43236,5.43236,5.43236,5.43236,5.43236,5.43236	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620,0.000000119620	.02109	.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093,.00093	499	.00206	100.00000999	499	18.81726402	0,4e-05,8e-05,6e-05,7e-05,4e-05,3e-05,2e-04,3e-05,5e-05:6e-05,0,7e-05,6e-05,7e-05,3e-05,3e-05,0.00016,4e-05,6e-05:5e-05,3e-05,0,6e-05,8e-05,3e-05,3e-05,0.00019,4e-05,5e-05:4e-05,4e-05,8e-05,0,6e-05,3e-05,3e-05,2e-04,3e-05,6e-05:6e-05,6e-05,7e-05,7e-05,0,3e-05,3e-05,2e-04,3e-05,6e-05:6e-05,5e-05,7e-05,6e-05,7e-05,0,5e-05,2e-04,4e-05,5e-05:5e-05,3e-05,6e-05,8e-05,6e-05,3e-05,0,0.00021,4e-05,6e-05:5e-05,5e-05,7e-05,6e-05,6e-05,4e-05,2e-05,0,3e-05,6e-05:6e-05,4e-05,9e-05,7e-05,7e-05,3e-05,4e-05,0.00019,0,6e-05:6e-05,6e-05,6e-05,6e-05,6e-05,3e-05,2e-05,0.00018,4e-05,0	0.003299,0.002644,0.004026,0.004028,0.00415,0.001875,0.001949,0.011213,0.002149,0.003532	25.63318819,41.78662532,16.46147555,25.48211138,22.74964434,33.00637237,40.38383287,0,43.05143072,32.8220348	0.793323	100	100	31782	255
sim35	0,1,0,0,0	4.31960,4.31960,4.31960,4.31960,4.31960,4.31960,4.31960,4.31960,4.31960,4.31960	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890,0.000000089890	.01773	.00308,.00308,.00308,.00308,.00308,.00308,.00308,.00308,.00308,.00308	499	.00100	100.00000884	41	20.32548677	0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0	1e-05,3e-05,1.1e-05,3e-06,4e-05,0.000104,1.2e-05,0.000694,6.5e-05,1.3e-05	73.78707521,51.59283184,65.24292743,61.35931427,66.70713041,46.68481264,77.16142355,0,70.12588378,59.03339585	1	100	100	730	8
