species	type	location	rxn	time
1	I	2	Sample_recovery	65.27958541
2	I	0	Sample_recovery	100.00000697
3	I	0	Sample_recovery	88.05766459
4	I	0	Sample_recovery	69.90495026
5	I	0	Sample_recovery	100.00000449
6	I	0	Sample_recovery	90.78960671
7	I	0	Sample_recovery	87.68566511
8	I	0	Sample_recovery	96.83853885
9	I	0	Sample_recovery	65.56503351
10	I	0	Sample_recovery	100.00000676
11	I	4	Sample_recovery	99.91968841
12	I	4	Sample_recovery	100.00000683
13	I	0	Sample_recovery	100.00000390
14	I	0	Sample_recovery	69.34306000
15	I	0	Sample_recovery	100.00000426
16	I	0	Sample_recovery	77.42573166
17	I	4	Sample_recovery	100.00000256
18	I	4	Sample_recovery	99.82763177
19	I	4	Sample_recovery	100.00000706
20	I	4	Sample_recovery	93.34776097
21	I	4	Sample_recovery	86.02267377
22	I	0	Sample_recovery	100.00000700
23	I	4	Sample_recovery	74.57216277
24	I	4	Sample_recovery	100.00000629
25	I	4	Sample_recovery	88.03422679
26	I	4	Sample_recovery	76.84715572
27	I	4	Sample_recovery	74.20550286
28	I	0	Sample_recovery	100.00000124
29	I	0	Sample_recovery	95.01315273
30	I	4	Sample_recovery	99.52405518
31	I	0	Sample_recovery	93.25795673
32	I	0	Sample_recovery	97.56410205
