sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length 	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim3	0,1,0,0,0	7.61894,7.61894,7.61894,7.61894,7.61894	1000000,1000000,1000000,1000000,1000000	0.000000134931,0.000000134931,0.000000134931,0.000000134931,0.000000134931	.01554	.00217,.00217,.00217,.00217,.00217	499	.00073	100.00000999	499	19.43358861	0,0.00013,1e-05,2e-05,0:1e-05,0,1e-05,1e-05,0:1e-05,0.00012,0,1e-05,0:1e-05,0.00011,1e-05,0,0:1e-05,0.00012,2e-05,2e-05,0	0.001806,0.022122,0.003186,0.002974,0.000509	45.67652634,0,29.09989317,35.25504944,55.6491206	0.666222	100	100	26496	177
sim4	0,0,0,1,0	4.74572,4.74572,4.74572,4.74572,4.74572	1000000,1000000,1000000,1000000,1000000	0.000000144032,0.000000144032,0.000000144032,0.000000144032,0.000000144032	.02837	.00198,.00198,.00198,.00198,.00198	499	.00154	100.00000998	499	16.48422353	0,1e-05,6e-05,2e-04,3e-05:2e-05,0,5e-05,0.00019,4e-05:2e-05,1e-05,0,2e-04,3e-05:3e-05,1e-05,5e-05,0,4e-05:1e-05,1e-05,5e-05,0.00019,0	0.001888,0.001082,0.004383,0.017246,0.003078	50.15345211,46.07731664,36.72773964,0,54.25739959	0.768875	100	100	21791	199
sim13	0,1,0,0,0	4.19198,4.19198,4.19198,4.19198,4.19198	1000000,1000000,1000000,1000000,1000000	0.000000105344,0.000000105344,0.000000105344,0.000000105344,0.000000105344	.02220	.00293,.00293,.00293,.00293,.00293	499	.00325	100.00000997	145	17.05858472	0,4e-05,2e-05,1e-05,1e-05:8e-05,0,1e-05,2e-05,1e-05:6e-05,3e-05,0,2e-05,1e-05:7e-05,2e-05,2e-05,0,1e-05:7e-05,2e-05,2e-05,2e-05,0	0.00199,0.000924,0.000437,0.000759,0.000439	19.9646109,0,50.66645124,36.65768967,32.10105356	1	100	100	3480	31
sim14	0,0,0,0,1	5.17784,5.17784,5.17784,5.17784,5.17784	1000000,1000000,1000000,1000000,1000000	0.000000079790,0.000000079790,0.000000079790,0.000000079790,0.000000079790	.01162	.00379,.00379,.00379,.00379,.00379	499	.00135	100.00000835	53	17.46927343	0,0,0,0,1e-05:0,0,0,0,2e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	6e-06,0.000165,1.8e-05,4.3e-05,0.00078	75.34990871,40.37499295,21.91072937,63.0131623,0	1	100	100	820	10
sim18	0,0,0,0,1	4.46096,4.46096,4.46096,4.46096,4.46096	1000000,1000000,1000000,1000000,1000000	0.000000104564,0.000000104564,0.000000104564,0.000000104564,0.000000104564	.02094	.00250,.00250,.00250,.00250,.00250	499	.00323	100.00000957	173	15.80105725	0,2e-05,4e-05,3e-05,7e-05:1e-05,0,3e-05,3e-05,5e-05:2e-05,1e-05,0,4e-05,5e-05:2e-05,2e-05,3e-05,0,6e-05:1e-05,3e-05,4e-05,3e-05,0	0.000445,0.000737,0.00109,0.001058,0.001837	19.400634,37.63698899,8.40705293,31.27219039,0	1	100	100	4015	43
sim19	0,0,0,0,1	5.06360,5.06360,5.06360,5.06360,5.06360	1000000,1000000,1000000,1000000,1000000	0.000000109525,0.000000109525,0.000000109525,0.000000109525,0.000000109525	.01914	.00249,.00249,.00249,.00249,.00249	499	.00205	100.00000982	224	14.97847333	0,1e-05,2e-05,0,1e-04:2e-05,0,2e-05,1e-05,8e-05:2e-05,1e-05,0,1e-05,1e-04:1e-05,1e-05,2e-05,0,8e-05:2e-05,2e-05,1e-05,1e-05,0	0.00087,0.000781,0.000696,0.000471,0.004575	45.54088473,29.13522946,39.1599755,34.60011829,0	1	100	100	5961	69
sim26	0,1,0,0,0	2.64818,2.64818,2.64818,2.64818,2.64818	1000000,1000000,1000000,1000000,1000000	0.000000076532,0.000000076532,0.000000076532,0.000000076532,0.000000076532	.02508	.00382,.00382,.00382,.00382,.00382	499	.00155	100.00000806	42	19.59396233	0,1e-05,0,0,0:0,0,0,0,0:0,2e-05,0,0,0:0,1e-05,0,0,0:0,1e-05,0,0,0	8e-06,0.000512,0.000192,3.5e-05,7.1e-05	76.23382522,0,18.19647638,43.73129617,51.76029759	1	100	100	520	7
sim28	0,0,1,0,0	6.66656,6.66656,6.66656,6.66656,6.66656	1000000,1000000,1000000,1000000,1000000	0.000000127531,0.000000127531,0.000000127531,0.000000127531,0.000000127531	.01862	.00051,.00051,.00051,.00051,.00051	499	.00335	100.00000996	436	18.71929063	0,0.00011,0.00027,0.00012,0.00012:3e-04,0,0.00029,0.00012,0.00011:3e-04,0.00011,0,0.00015,1e-04:0.00028,0.00012,0.00028,0,0.00012:3e-04,0.00013,0.00029,0.00014,0	0.010904,0.004555,0.010723,0.005207,0.004518	3.15361306,32.02135262,0,34.43882982,42.11050572	1	100	100	30424	307
sim30	1,0,0,0,0	3.91184,3.91184,3.91184,3.91184,3.91184	1000000,1000000,1000000,1000000,1000000	0.000000075811,0.000000075811,0.000000075811,0.000000075811,0.000000075811	.01499	.00439,.00439,.00439,.00439,.00439	499	.00292	100.00000909	44	15.56108675	0,0,0,0,0:1e-05,0,0,1e-05,0:1e-05,0,0,0,0:1e-05,0,0,0,0:2e-05,0,0,0,0	0.000367,6.3e-05,5.6e-05,0.000129,6.5e-05	0,42.83471185,47.6388114,26.10356232,33.12293029	1	100	100	492	2
sim33	1,0,0,0,0	3.44306,3.44306,3.44306,3.44306,3.44306	1000000,1000000,1000000,1000000,1000000	0.000000128563,0.000000128563,0.000000128563,0.000000128563,0.000000128563	.03604	.00130,.00130,.00130,.00130,.00130	499	.00262	100.00000975	139	18.91261363	0,1e-05,1e-05,1e-05,2e-05:1e-04,0,2e-05,2e-05,1e-05:9e-05,1e-05,0,1e-05,1e-05:9e-05,2e-05,1e-05,0,2e-05:1e-04,1e-05,1e-05,2e-05,0	0.004543,0.000739,0.000604,0.000556,0.000942	0,35.79146642,22.26083892,27.53654413,33.76319108	1	100	100	5234	59
