file_name	lowest_ESS
iqtree_extant_misspec_tree_sim378.log.ess	134.4
iqtree_extant_misspec_tree_sim189.log.ess	196.2
iqtree_extant_misspec_tree_sim325.log.ess	220.5
iqtree_extant_misspec_tree_sim96.log.ess	229.9
iqtree_extant_misspec_tree_sim162.log.ess	237.4
iqtree_extant_misspec_tree_sim303.log.ess	252.7
iqtree_extant_misspec_tree_sim115.log.ess	270
iqtree_extant_misspec_tree_sim40.log.ess	280.1
iqtree_extant_misspec_tree_sim260.log.ess	293.2
iqtree_extant_misspec_tree_sim153.log.ess	302.4
iqtree_extant_misspec_tree_sim132.log.ess	306.7
iqtree_extant_misspec_tree_sim143.log.ess	307.3
iqtree_extant_misspec_tree_sim253.log.ess	309.3
iqtree_extant_misspec_tree_sim236.log.ess	319
iqtree_extant_misspec_tree_sim261.log.ess	319.3
iqtree_extant_misspec_tree_sim88.log.ess	319.9
iqtree_extant_misspec_tree_sim159.log.ess	320.9
iqtree_extant_misspec_tree_sim312.log.ess	322.9
iqtree_extant_misspec_tree_sim309.log.ess	323.3
iqtree_extant_misspec_tree_sim323.log.ess	328.2
iqtree_extant_misspec_tree_sim374.log.ess	330.5
iqtree_extant_misspec_tree_sim338.log.ess	344.6
iqtree_extant_misspec_tree_sim141.log.ess	354.8
iqtree_extant_misspec_tree_sim36.log.ess	356
iqtree_extant_misspec_tree_sim318.log.ess	356.5
iqtree_extant_misspec_tree_sim13.log.ess	358
iqtree_extant_misspec_tree_sim352.log.ess	359.4
iqtree_extant_misspec_tree_sim340.log.ess	360.4
iqtree_extant_misspec_tree_sim30.log.ess	361
iqtree_extant_misspec_tree_sim247.log.ess	361.4
iqtree_extant_misspec_tree_sim329.log.ess	363.9
iqtree_extant_misspec_tree_sim201.log.ess	366.2
iqtree_extant_misspec_tree_sim14.log.ess	367.4
iqtree_extant_misspec_tree_sim175.log.ess	368
iqtree_extant_misspec_tree_sim297.log.ess	369.6
iqtree_extant_misspec_tree_sim117.log.ess	371.2
iqtree_extant_misspec_tree_sim146.log.ess	374
iqtree_extant_misspec_tree_sim37.log.ess	375.1
iqtree_extant_misspec_tree_sim202.log.ess	375.5
iqtree_extant_misspec_tree_sim314.log.ess	375.7
iqtree_extant_misspec_tree_sim331.log.ess	376.5
iqtree_extant_misspec_tree_sim285.log.ess	380.9
iqtree_extant_misspec_tree_sim198.log.ess	381.4
iqtree_extant_misspec_tree_sim282.log.ess	382.2
iqtree_extant_misspec_tree_sim205.log.ess	385.7
iqtree_extant_misspec_tree_sim26.log.ess	385.9
iqtree_extant_misspec_tree_sim268.log.ess	389.1
iqtree_extant_misspec_tree_sim252.log.ess	392.4
iqtree_extant_misspec_tree_sim368.log.ess	392.6
iqtree_extant_misspec_tree_sim296.log.ess	393.9
iqtree_extant_misspec_tree_sim178.log.ess	395.7
iqtree_extant_misspec_tree_sim101.log.ess	397.4
iqtree_extant_misspec_tree_sim18.log.ess	397.5
iqtree_extant_misspec_tree_sim52.log.ess	397.5
iqtree_extant_misspec_tree_sim208.log.ess	398.7
iqtree_extant_misspec_tree_sim190.log.ess	401.4
iqtree_extant_misspec_tree_sim332.log.ess	401.4
iqtree_extant_misspec_tree_sim360.log.ess	402.7
iqtree_extant_misspec_tree_sim196.log.ess	403.8
iqtree_extant_misspec_tree_sim108.log.ess	404.4
iqtree_extant_misspec_tree_sim377.log.ess	405.6
iqtree_extant_misspec_tree_sim291.log.ess	406.4
iqtree_extant_misspec_tree_sim234.log.ess	406.7
iqtree_extant_misspec_tree_sim174.log.ess	407.8
iqtree_extant_misspec_tree_sim372.log.ess	408
iqtree_extant_misspec_tree_sim33.log.ess	408.9
iqtree_extant_misspec_tree_sim139.log.ess	413.3
iqtree_extant_misspec_tree_sim71.log.ess	413.5
iqtree_extant_misspec_tree_sim362.log.ess	414.7
iqtree_extant_misspec_tree_sim317.log.ess	415
iqtree_extant_misspec_tree_sim4.log.ess	417.1
iqtree_extant_misspec_tree_sim256.log.ess	421.1
iqtree_extant_misspec_tree_sim373.log.ess	421.5
iqtree_extant_misspec_tree_sim92.log.ess	423.3
iqtree_extant_misspec_tree_sim214.log.ess	427.7
iqtree_extant_misspec_tree_sim177.log.ess	428.5
iqtree_extant_misspec_tree_sim49.log.ess	429.1
iqtree_extant_misspec_tree_sim226.log.ess	429.7
iqtree_extant_misspec_tree_sim375.log.ess	431.3
iqtree_extant_misspec_tree_sim335.log.ess	431.8
iqtree_extant_misspec_tree_sim380.log.ess	438.7
iqtree_extant_misspec_tree_sim231.log.ess	440.9
iqtree_extant_misspec_tree_sim3.log.ess	441.4
iqtree_extant_misspec_tree_sim86.log.ess	448.8
iqtree_extant_misspec_tree_sim19.log.ess	449.8
iqtree_extant_misspec_tree_sim28.log.ess	452.1
iqtree_extant_misspec_tree_sim118.log.ess	452.8
iqtree_extant_misspec_tree_sim229.log.ess	453.8
iqtree_extant_misspec_tree_sim72.log.ess	454.9
iqtree_extant_misspec_tree_sim62.log.ess	455.2
iqtree_extant_misspec_tree_sim137.log.ess	456
iqtree_extant_misspec_tree_sim114.log.ess	461.6
iqtree_extant_misspec_tree_sim327.log.ess	462
iqtree_extant_misspec_tree_sim194.log.ess	466.3
iqtree_extant_misspec_tree_sim336.log.ess	466.8
iqtree_extant_misspec_tree_sim66.log.ess	471.2
iqtree_extant_misspec_tree_sim63.log.ess	474.7
