species	type	location	rxn	time
1	I	1	Sample_recovery	93.68875287
2	I	4	Sample_recovery	89.78228311
3	I	1	Sample_recovery	100.00000937
4	I	1	Sample_recovery	100.00000377
5	I	1	Sample_recovery	97.36064151
6	I	1	Sample_recovery	96.35334800
7	I	1	Sample_recovery	94.64376425
8	I	1	Sample_recovery	88.86061383
9	I	1	Sample_recovery	99.02643000
10	I	1	Sample_recovery	68.60499682
11	I	1	Sample_recovery	99.33096469
12	I	1	Sample_recovery	62.72073297
13	I	1	Sample_recovery	97.76830940
14	I	1	Sample_recovery	100.00000825
15	I	1	Sample_recovery	100.00000311
16	I	1	Sample_recovery	89.94024769
17	I	1	Sample_recovery	98.21724071
18	I	1	Sample_recovery	100.00000830
19	I	1	Sample_recovery	98.04733827
20	I	1	Sample_recovery	89.22843317
21	I	1	Sample_recovery	100.00000908
22	I	1	Sample_recovery	88.32164810
23	I	1	Sample_recovery	92.70124036
24	I	1	Sample_recovery	100.00000161
25	I	1	Sample_recovery	98.93102001
26	I	1	Sample_recovery	95.86210526
27	I	1	Sample_recovery	100.00000837
28	I	1	Sample_recovery	94.52422659
29	I	0	Sample_recovery	100.00000746
30	I	1	Sample_recovery	81.71531690
31	I	1	Sample_recovery	93.98365309
32	I	1	Sample_recovery	95.85694071
33	I	1	Sample_recovery	100.00000662
34	I	1	Sample_recovery	96.99823298
35	I	1	Sample_recovery	100.00000991
36	I	1	Sample_recovery	100.00000858
37	I	1	Sample_recovery	99.60168143
38	I	1	Sample_recovery	93.34862493
39	I	1	Sample_recovery	92.64520986
40	I	1	Sample_recovery	98.10252500
41	I	1	Sample_recovery	87.02830978
42	I	1	Sample_recovery	100.00000704
43	I	1	Sample_recovery	100.00000087
44	I	0	Sample_recovery	99.39288260
45	I	3	Sample_recovery	96.33164380
46	I	1	Sample_recovery	100.00000636
47	I	1	Sample_recovery	95.28548915
48	I	1	Sample_recovery	98.08164762
49	I	1	Sample_recovery	71.20124274
50	I	3	Sample_recovery	100.00000797
51	I	1	Sample_recovery	90.36715403
52	I	1	Sample_recovery	99.36905259
53	I	1	Sample_recovery	100.00000554
54	I	4	Sample_recovery	73.72469235
55	I	4	Sample_recovery	100.00000335
56	I	1	Sample_recovery	97.96477275
57	I	4	Sample_recovery	90.14240340
58	I	1	Sample_recovery	69.11810836
59	I	1	Sample_recovery	96.31347439
60	I	1	Sample_recovery	91.97000357
61	I	1	Sample_recovery	86.15882986
62	I	1	Sample_recovery	100.00000253
63	I	2	Sample_recovery	94.33793555
64	I	1	Sample_recovery	75.78364865
65	I	1	Sample_recovery	100.00000397
66	I	1	Sample_recovery	95.99689964
67	I	1	Sample_recovery	100.00000600
68	I	1	Sample_recovery	91.23889792
69	I	4	Sample_recovery	99.84397652
70	I	0	Sample_recovery	100.00000434
71	I	1	Sample_recovery	72.34681931
72	I	0	Sample_recovery	89.99185810
73	I	0	Sample_recovery	100.00000648
74	I	0	Sample_recovery	96.46787928
75	I	1	Sample_recovery	82.90886343
76	I	0	Sample_recovery	99.24165791
77	I	0	Sample_recovery	84.24583949
78	I	0	Sample_recovery	99.50334283
79	I	0	Sample_recovery	99.26024973
80	I	2	Sample_recovery	81.42571232
81	I	0	Sample_recovery	91.22486658
82	I	0	Sample_recovery	97.70517992
83	I	2	Sample_recovery	87.64493042
84	I	1	Sample_recovery	90.30517489
85	I	0	Sample_recovery	75.53164590
