sim_number	p_extant_sampled
sim5	0.0189873
sim6	0.0106342
sim8	0.0102853
sim11	0.0112257
sim16	0.00948527
sim17	0.00859416
sim19	0.0068925
sim20	0.00936514
sim23	0.0322581
sim25	0.00525273
sim26	0.00990099
sim27	0.00631345
sim28	0.0191083
sim30	0.0113309
sim31	0.0192308
sim32	0.00492611
sim34	0.00462963
sim35	0.0105026
sim38	0.00456621
sim43	0.00465116
sim44	0.0123077
sim45	0.00507786
sim47	0.0110362
sim51	0.0131579
sim53	0.0169903
sim55	0.00502513
sim57	0.00864553
sim59	0.00832879
sim61	0.0168067
sim62	0.0131579
sim64	0.00934747
sim69	0.00851245
sim75	0.00567537
sim77	0.00917431
sim78	0.0110294
sim83	0.00989941
sim87	0.0060241
sim89	0.0118256
sim90	0.00808864
sim95	0.01206
sim104	0.00187335
sim105	0.0425532
sim108	0.0117329
sim109	0.0280374
sim110	0.00872422
sim111	0.003125
sim112	0.047619
sim114	0.00787402
sim115	0.00502513
sim117	0.00249932
sim118	0.027027
sim119	0.0231023
sim120	0.021978
sim126	0.00886705
sim131	0.00416421
sim132	0.0045829
sim136	0.0112978
sim139	0.0322581
sim140	0.0153314
sim141	0.00535475
sim142	0.00885236
sim143	0.0172414
sim145	0.0113636
sim146	0.0125761
sim157	0.0130435
sim159	0.00927793
sim162	0.00934887
sim165	0.0111199
sim167	0.0052592
sim168	0.0172414
sim169	0.00936107
sim171	0.00581038
sim174	0.0101553
sim178	0.00721501
sim180	0.00954225
sim185	0.00496064
sim189	0.00250094
sim191	0.00768018
sim194	0.00946227
sim195	0.0123457
sim197	0.00799257
sim198	0.013597
sim199	0.0416667
sim202	0.00286302
sim203	0.00383669
sim205	0.0113314
sim206	0.0038797
sim211	0.0105226
sim214	0.00694444
sim218	0.0114943
sim220	0.0194175
sim222	0.0104565
sim223	0.0145985
sim224	0.00883392
sim232	0.0132906
sim236	0.00936768
sim237	0.0150602
sim243	0.0121581
sim246	0.008159
sim247	0.0106229
sim249	0.0060698
sim250	0.00890134
sim251	0.00756274
sim252	0.00840336
sim256	0.00785434
sim257	0.00692103
sim260	0.00935374
sim261	0.0100942
sim263	0.0145254
sim266	0.0188088
sim268	0.00825941
sim276	0.00706436
sim278	0.0117253
sim280	0.0120798
sim283	0.0101224
sim284	0.0117493
sim286	0.00764238
sim288	0.0125351
sim291	0.142857
sim294	0.00878945
sim295	0.00905506
sim298	0.00750144
