sim_number	R_0_0
sim1	3.79154
sim2	4.92134
sim4	3.94610
sim15	2.51450
sim17	3.66554
sim25	4.55966
sim28	3.44306
sim34	2.68112
sim36	4.18724
sim37	2.52842
sim42	3.22004
sim48	4.98374
sim51	5.24102
sim52	4.46390
sim54	2.20430
sim62	3.66740
sim67	2.48396
sim69	2.98934
sim72	6.49370
sim73	3.63002
sim76	2.54126
sim83	3.42566
sim84	3.54926
sim85	3.08966
sim94	4.31066
sim96	3.06584
sim99	2.96678
sim101	4.32824
sim102	3.07118
sim105	7.27502
sim107	4.01234
sim108	2.73734
sim119	3.87722
sim120	4.10174
sim124	4.10096
sim125	4.47656
sim132	7.33034
sim139	5.77148
sim141	2.88860
sim143	3.88748
sim144	3.83294
sim149	4.45712
sim152	2.82596
sim153	4.69610
sim156	7.76120
sim157	6.07820
sim160	3.27242
sim163	6.85916
sim175	3.11804
sim183	5.19380
sim192	2.50460
sim195	3.92282
sim199	4.50344
sim201	3.01934
sim202	4.47362
sim203	2.80568
sim207	5.17934
sim210	3.85232
sim216	3.31322
sim219	6.34610
sim220	3.28154
sim224	6.39410
sim225	4.72100
sim226	4.39526
sim230	6.99542
sim231	5.16194
sim234	7.72676
sim235	3.31286
sim239	3.77870
sim242	3.49142
sim247	6.94340
sim248	6.10094
sim249	4.18208
sim254	3.14402
sim256	4.62086
sim259	7.35356
sim262	3.28850
sim268	7.26002
sim277	4.54868
sim278	5.70062
sim279	5.78432
sim280	2.39588
sim282	2.94188
sim284	2.99246
sim285	7.08878
sim291	7.24502
sim298	5.06816
sim301	5.97074
sim306	4.71110
sim312	5.34758
sim314	4.72610
sim317	4.60400
sim325	5.51516
sim326	4.99748
sim333	6.73190
sim334	2.96774
sim336	5.29304
sim338	5.88122
sim339	3.25832
sim340	3.94592
sim341	5.12384
sim343	3.59636
sim345	5.89622
sim350	6.64184
sim355	3.13784
sim361	2.93036
sim373	5.62610
sim375	3.30188
sim379	3.75104
sim403	4.59578
sim406	4.28408
sim407	4.10354
sim411	4.32602
sim414	5.71472
sim415	6.24488
sim418	5.66990
sim419	3.31580
sim422	5.41826
sim424	3.79592
sim425	6.13424
sim434	3.26456
sim437	7.18748
sim438	3.10928
sim441	2.68994
sim444	5.67152
sim452	3.65804
sim455	2.78756
sim459	4.18922
sim461	2.74286
sim466	3.57326
sim470	5.17862
sim475	6.15200
sim478	4.93010
sim483	2.81918
sim487	5.23904
sim489	4.08524
sim491	2.91170
sim497	6.87752
