sim_number	sampling_rate_0
sim1	.00152
sim2	.00175
sim4	.00281
sim15	.00135
sim17	.00478
sim25	.00229
sim28	.00357
sim34	.00361
sim36	.00043
sim37	.00447
sim42	.00456
sim48	.00464
sim51	.00476
sim52	.00030
sim54	.00317
sim62	.00115
sim67	.00108
sim69	.00373
sim72	.00234
sim73	.00181
sim76	.00394
sim83	.00212
sim84	.00221
sim85	.00375
sim94	.00178
sim96	.00321
sim99	.00220
sim101	.00346
sim102	.00400
sim105	.00320
sim107	.00352
sim108	.00331
sim119	.00064
sim120	.00187
sim124	.00443
sim125	.00443
sim132	.00040
sim139	.00189
sim141	.00204
sim143	.00486
sim144	.00241
sim149	.00493
sim152	.00233
sim153	.00150
sim156	.00079
sim157	.00214
sim160	.00323
sim163	.00225
sim175	.00435
sim183	.00187
sim192	.00451
sim195	.00429
sim199	.00391
sim201	.00071
sim202	.00189
sim203	.00095
sim207	.00429
sim210	.00268
sim216	.00342
sim219	.00135
sim220	.00130
sim224	.00426
sim225	.00459
sim226	.00208
sim230	.00322
sim231	.00220
sim234	.00027
sim235	.00266
sim239	.00273
sim242	.00490
sim247	.00321
sim248	.00116
sim249	.00235
sim254	.00362
sim256	.00436
sim259	.00433
sim262	.00307
sim268	.00276
sim277	.00365
sim278	.00291
sim279	.00280
sim280	.00265
sim282	.00327
sim284	.00411
sim285	.00196
sim291	.00297
sim298	.00073
sim301	.00069
sim306	.00026
sim312	.00241
sim314	.00053
sim317	.00327
sim325	.00337
sim326	.00070
sim333	.00449
sim334	.00430
sim336	.00157
sim338	.00327
sim339	.00384
sim340	.00417
sim341	.00340
sim343	.00440
sim345	.00159
sim350	.00431
sim355	.00306
sim361	.00094
sim373	.00120
sim375	.00285
sim379	.00473
sim403	.00204
sim406	.00349
sim407	.00463
sim411	.00102
sim414	.00101
sim415	.00453
sim418	.00486
sim419	.00336
sim422	.00305
sim424	.00399
sim425	.00234
sim434	.00199
sim437	.00061
sim438	.00479
sim441	.00165
sim444	.00341
sim452	.00375
sim455	.00376
sim459	.00160
sim461	.00117
sim466	.00310
sim470	.00405
sim475	.00452
sim478	.00407
sim483	.00472
sim487	.00065
sim489	.00090
sim491	.00223
sim497	.00066
