sim_number	mean_migration_rate
sim1	.00239
sim2	.00442
sim4	.00293
sim15	.00360
sim17	.00048
sim25	.00120
sim28	.00375
sim34	.00152
sim36	.00338
sim37	.00195
sim42	.00143
sim48	.00199
sim51	.00478
sim52	.00302
sim54	.00271
sim62	.00197
sim67	.00472
sim69	.00380
sim72	.00218
sim73	.00019
sim76	.00201
sim83	.00376
sim84	.00250
sim85	.00261
sim94	.00076
sim96	.00435
sim99	.00030
sim101	.00043
sim102	.00272
sim105	.00204
sim107	.00050
sim108	.00152
sim119	.00379
sim120	.00178
sim124	.00395
sim125	.00401
sim132	.00227
sim139	.00483
sim141	.00263
sim143	.00319
sim144	.00240
sim149	.00022
sim152	.00393
sim153	.00358
sim156	.00425
sim157	.00218
sim160	.00293
sim163	.00266
sim175	.00148
sim183	.00329
sim192	.00024
sim195	.00176
sim199	.00061
sim201	.00358
sim202	.00418
sim203	.00452
sim207	.00064
sim210	.00018
sim216	.00131
sim219	.00435
sim220	.00364
sim224	.00052
sim225	.00185
sim226	.00245
sim230	.00070
sim231	.00442
sim234	.00275
sim235	.00048
sim239	.00457
sim242	.00279
sim247	.00236
sim248	.00363
sim249	.00277
sim254	.00105
sim256	.00311
sim259	.00350
sim262	.00492
sim268	.00028
sim277	.00285
sim278	.00315
sim279	.00455
sim280	.00315
sim282	.00302
sim284	.00435
sim285	.00125
sim291	.00324
sim298	.00282
sim301	.00126
sim306	.00212
sim312	.00274
sim314	.00225
sim317	.00266
sim325	.00070
sim326	.00125
sim333	.00252
sim334	.00317
sim336	.00399
sim338	.00069
sim339	.00465
sim340	.00186
sim341	.00384
sim343	.00222
sim345	.00020
sim350	.00250
sim355	.00456
sim361	.00472
sim373	.00319
sim375	.00109
sim379	.00390
sim403	.00139
sim406	.00324
sim407	.00117
sim411	.00045
sim414	.00166
sim415	.00197
sim418	.00053
sim419	.00431
sim422	.00029
sim424	.00307
sim425	.00335
sim434	.00354
sim437	.00184
sim438	.00215
sim441	.00483
sim444	.00418
sim452	.00311
sim455	.00019
sim459	.00336
sim461	.00324
sim466	.00114
sim470	.00130
sim475	.00470
sim478	.00077
sim483	.00190
sim487	.00276
sim489	.00433
sim491	.00101
sim497	.00379
