file_name	lowest_ESS
extant_morethan20_sim15.log.ess	164.9
extant_morethan20_sim461.log.ess	222.6
extant_morethan20_sim361.log.ess	222.8
extant_morethan20_sim475.log.ess	232.6
extant_morethan20_sim239.log.ess	240.6
extant_morethan20_sim2.log.ess	248
extant_morethan20_sim379.log.ess	254.7
extant_morethan20_sim341.log.ess	258.4
extant_morethan20_sim125.log.ess	259
extant_morethan20_sim210.log.ess	259.4
extant_morethan20_sim277.log.ess	263.2
extant_morethan20_sim203.log.ess	264.9
extant_morethan20_sim489.log.ess	266.8
extant_morethan20_sim105.log.ess	269.3
extant_morethan20_sim149.log.ess	280.4
extant_morethan20_sim219.log.ess	281.7
extant_morethan20_sim259.log.ess	283.8
extant_morethan20_sim441.log.ess	295.1
extant_morethan20_sim96.log.ess	295.1
extant_morethan20_sim119.log.ess	296.4
extant_morethan20_sim17.log.ess	297.1
extant_morethan20_sim156.log.ess	297.9
extant_morethan20_sim262.log.ess	300.8
extant_morethan20_sim124.log.ess	301.2
extant_morethan20_sim419.log.ess	303.4
extant_morethan20_sim336.log.ess	305
extant_morethan20_sim403.log.ess	307.2
extant_morethan20_sim120.log.ess	309.8
extant_morethan20_sim224.log.ess	310.8
extant_morethan20_sim345.log.ess	311
extant_morethan20_sim466.log.ess	315.7
extant_morethan20_sim160.log.ess	317.9
extant_morethan20_sim139.log.ess	325.8
extant_morethan20_sim42.log.ess	329.8
extant_morethan20_sim195.log.ess	332.9
extant_morethan20_sim67.log.ess	336.9
extant_morethan20_sim226.log.ess	337.2
extant_morethan20_sim234.log.ess	337.9
extant_morethan20_sim339.log.ess	337.9
extant_morethan20_sim153.log.ess	339.7
extant_morethan20_sim28.log.ess	340.6
extant_morethan20_sim338.log.ess	344.6
extant_morethan20_sim407.log.ess	344.9
extant_morethan20_sim183.log.ess	345.4
extant_morethan20_sim434.log.ess	351.2
extant_morethan20_sim438.log.ess	351.6
extant_morethan20_sim141.log.ess	352.3
extant_morethan20_sim317.log.ess	352.4
extant_morethan20_sim301.log.ess	355.1
extant_morethan20_sim487.log.ess	358
extant_morethan20_sim415.log.ess	358.1
extant_morethan20_sim225.log.ess	360.1
extant_morethan20_sim280.log.ess	360.7
extant_morethan20_sim268.log.ess	364.9
extant_morethan20_sim76.log.ess	365.7
extant_morethan20_sim235.log.ess	371.4
extant_morethan20_sim107.log.ess	371.8
extant_morethan20_sim51.log.ess	371.9
extant_morethan20_sim437.log.ess	372
extant_morethan20_sim231.log.ess	374.8
extant_morethan20_sim334.log.ess	375.4
extant_morethan20_sim242.log.ess	375.7
extant_morethan20_sim491.log.ess	377.5
extant_morethan20_sim343.log.ess	378.1
extant_morethan20_sim230.log.ess	380.4
extant_morethan20_sim73.log.ess	380.4
extant_morethan20_sim340.log.ess	380.7
extant_morethan20_sim220.log.ess	381.1
extant_morethan20_sim256.log.ess	381.4
extant_morethan20_sim84.log.ess	383.2
extant_morethan20_sim85.log.ess	383.4
extant_morethan20_sim108.log.ess	383.9
extant_morethan20_sim199.log.ess	385.3
extant_morethan20_sim444.log.ess	386.1
extant_morethan20_sim298.log.ess	386.5
extant_morethan20_sim99.log.ess	386.5
extant_morethan20_sim483.log.ess	387.3
extant_morethan20_sim312.log.ess	388.3
extant_morethan20_sim325.log.ess	392.1
extant_morethan20_sim411.log.ess	393.9
extant_morethan20_sim278.log.ess	394
extant_morethan20_sim470.log.ess	396.2
extant_morethan20_sim306.log.ess	397
extant_morethan20_sim418.log.ess	397.4
extant_morethan20_sim249.log.ess	398.3
extant_morethan20_sim72.log.ess	401.1
extant_morethan20_sim314.log.ess	401.2
extant_morethan20_sim143.log.ess	402.5
extant_morethan20_sim25.log.ess	403.3
extant_morethan20_sim4.log.ess	403.8
extant_morethan20_sim355.log.ess	406.6
extant_morethan20_sim497.log.ess	406.7
extant_morethan20_sim152.log.ess	406.8
extant_morethan20_sim1.log.ess	407.4
extant_morethan20_sim333.log.ess	408.3
extant_morethan20_sim350.log.ess	412.7
extant_morethan20_sim285.log.ess	413.8
extant_morethan20_sim94.log.ess	415.1
extant_morethan20_sim414.log.ess	415.2
extant_morethan20_sim425.log.ess	415.9
extant_morethan20_sim37.log.ess	416.3
extant_morethan20_sim201.log.ess	419.3
extant_morethan20_sim424.log.ess	419.5
extant_morethan20_sim216.log.ess	419.7
extant_morethan20_sim406.log.ess	420.9
extant_morethan20_sim54.log.ess	420.9
extant_morethan20_sim254.log.ess	423
extant_morethan20_sim69.log.ess	424.2
extant_morethan20_sim422.log.ess	426.7
extant_morethan20_sim247.log.ess	427.8
extant_morethan20_sim36.log.ess	430
extant_morethan20_sim48.log.ess	433.6
extant_morethan20_sim163.log.ess	434.7
extant_morethan20_sim452.log.ess	436.8
extant_morethan20_sim175.log.ess	443.6
extant_morethan20_sim373.log.ess	445
extant_morethan20_sim157.log.ess	446.1
extant_morethan20_sim478.log.ess	448.7
extant_morethan20_sim102.log.ess	449
extant_morethan20_sim101.log.ess	449.9
extant_morethan20_sim52.log.ess	451
extant_morethan20_sim326.log.ess	453.8
extant_morethan20_sim62.log.ess	455.7
extant_morethan20_sim279.log.ess	456.7
extant_morethan20_sim375.log.ess	461.7
extant_morethan20_sim132.log.ess	463.2
extant_morethan20_sim192.log.ess	464.3
extant_morethan20_sim207.log.ess	464.9
extant_morethan20_sim284.log.ess	467.7
extant_morethan20_sim202.log.ess	469
extant_morethan20_sim34.log.ess	469.7
extant_morethan20_sim459.log.ess	472
extant_morethan20_sim83.log.ess	483.1
extant_morethan20_sim291.log.ess	483.2
extant_morethan20_sim248.log.ess	525.1
extant_morethan20_sim455.log.ess	533.3
extant_morethan20_sim282.log.ess	544.1
extant_morethan20_sim144.log.ess	562.9
