sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim1	0,1,0,0,0	3.79154,3.79154,3.79154,3.79154,3.79154	1000000,1000000,1000000,1000000,1000000	0.000000121063,0.000000121063,0.000000121063,0.000000121063,0.000000121063	.03041	.00152,.00152,.00152,.00152,.00152	499	.00239	100.00000999	499	18.21978291	0,7e-05,9e-05,6e-05,1e-04:0.00039,0,9e-05,5e-05,9e-05:0.00037,7e-05,0,6e-05,9e-05:0.00039,7e-05,6e-05,0,9e-05:4e-04,7e-05,8e-05,6e-05,0	0.019285,0.003416,0.00393,0.002845,0.004765	2.49303905,0,28.86056008,29.88506709,30.93524785	0.724238	100	100	25158	187
sim2	0,0,1,0,0	4.92134,4.92134,4.92134,4.92134,4.92134	1000000,1000000,1000000,1000000,1000000	0.000000113929,0.000000113929,0.000000113929,0.000000113929,0.000000113929	.02140	.00175,.00175,.00175,.00175,.00175	499	.00442	100.00000982	307	15.62920027	0,6e-05,2e-04,6e-05,8e-05:7e-05,0,2e-04,8e-05,6e-05:8e-05,6e-05,0,6e-05,7e-05:6e-05,6e-05,0.00019,0,8e-05:7e-05,6e-05,0.00022,6e-05,0	0.00193,0.001594,0.005757,0.001711,0.001833	32.9659819,40.451483,0,28.48878065,46.04908771	1	100	100	10191	103
sim4	0,0,1,0,0	3.94610,3.94610,3.94610,3.94610,3.94610	1000000,1000000,1000000,1000000,1000000	0.000000121855,0.000000121855,0.000000121855,0.000000121855,0.000000121855	.02807	.00281,.00281,.00281,.00281,.00281	499	.00293	100.00000989	108	14.87434894	0,0,6e-05,1e-05,1e-05:1e-05,0,5e-05,1e-05,1e-05:1e-05,0,0,1e-05,1e-05:1e-05,0,6e-05,0,0:1e-05,0,6e-05,1e-05,0	0.000392,0.000158,0.002049,0.000409,0.000245	54.34493899,67.39627901,0,29.69693613,40.19296373	1	100	100	2423	23
sim15	0,0,0,1,0	2.51450,2.51450,2.51450,2.51450,2.51450	1000000,1000000,1000000,1000000,1000000	0.000000104050,0.000000104050,0.000000104050,0.000000104050,0.000000104050	.04003	.00135,.00135,.00135,.00135,.00135	499	.00360	100.00000893	20	22.63699974	0,0,0,1e-05,1e-05:0,0,0,2e-05,1e-05:0,0,0,2e-05,1e-05:1e-05,0,0,0,1e-05:0,0,0,2e-05,0	0.000142,6.5e-05,0.000111,0.000611,0.000335	54.61997124,46.91200657,59.80388839,0,48.30814208	1	100	100	758	8
sim17	0,1,0,0,0	3.66554,3.66554,3.66554,3.66554,3.66554	1000000,1000000,1000000,1000000,1000000	0.000000119606,0.000000119606,0.000000119606,0.000000119606,0.000000119606	.02785	.00478,.00478,.00478,.00478,.00478	499	.00048	100.00000984	258	12.77732219	0,2e-05,0,0,0:0,0,0,0,0:0,1e-05,0,0,0:0,3e-05,0,0,0:0,2e-05,0,0,0	0.000699,0.00448,0.000158,8.5e-05,0.000156	39.9810657,0,53.57937472,77.83179467,45.36146731	1	100	100	4054	35
sim25	0,0,0,0,1	4.55966,4.55966,4.55966,4.55966,4.55966	1000000,1000000,1000000,1000000,1000000	0.000000129038,0.000000129038,0.000000129038,0.000000129038,0.000000129038	.02601	.00229,.00229,.00229,.00229,.00229	499	.00120	100.00000999	499	16.73273233	0,3e-05,7e-05,1e-05,0.00024:1e-05,0,7e-05,1e-05,0.00022:2e-05,2e-05,0,1e-05,0.00021:1e-05,3e-05,7e-05,0,0.00024:2e-05,2e-05,9e-05,2e-05,0	0.001946,0.002636,0.007929,0.001871,0.023867	52.2805625,35.18396677,11.65349305,41.69121067,0	0.522513	100	100	29847	165
sim28	0,1,0,0,0	3.44306,3.44306,3.44306,3.44306,3.44306	1000000,1000000,1000000,1000000,1000000	0.000000098987,0.000000098987,0.000000098987,0.000000098987,0.000000098987	.02518	.00357,.00357,.00357,.00357,.00357	499	.00375	100.00000866	145	15.64313966	0,2e-05,3e-05,1e-05,3e-05:2e-05,0,3e-05,1e-05,4e-05:3e-05,2e-05,0,0,5e-05:2e-05,3e-05,2e-05,0,4e-05:3e-05,2e-05,3e-05,1e-05,0	0.000573,7e-04,0.000733,0.000209,0.000986	19.54898546,0,21.88064065,45.01706876,18.74798221	1	100	100	2299	24
sim34	0,0,0,0,1	2.68112,2.68112,2.68112,2.68112,2.68112	1000000,1000000,1000000,1000000,1000000	0.000000083999,0.000000083999,0.000000083999,0.000000083999,0.000000083999	.02772	.00361,.00361,.00361,.00361,.00361	499	.00152	100.00000567	30	16.18819009	0,0,0,0,0:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	5.1e-05,0.000105,4e-06,5.1e-05,0.000395	52.02316536,31.67244956,75.70194978,35.41686619,0	1	100	100	369	2
sim36	0,0,0,0,1	4.18724,4.18724,4.18724,4.18724,4.18724	1000000,1000000,1000000,1000000,1000000	0.000000177580,0.000000177580,0.000000177580,0.000000177580,0.000000177580	.04198	.00043,.00043,.00043,.00043,.00043	499	.00338	100.00000982	255	15.54987308	0,6e-05,9e-05,5e-05,0.00032:6e-05,0,8e-05,5e-05,3e-04:8e-05,7e-05,0,3e-05,3e-04:5e-05,7e-05,7e-05,0,0.00029:6e-05,6e-05,6e-05,4e-05,0	0.003109,0.003753,0.003743,0.002082,0.015305	55.41939992,50.10697705,54.05671269,60.28949912,0	1	100	100	21082	192
sim37	0,0,1,0,0	2.52842,2.52842,2.52842,2.52842,2.52842	1000000,1000000,1000000,1000000,1000000	0.000000096990,0.000000096990,0.000000096990,0.000000096990,0.000000096990	.03389	.00447,.00447,.00447,.00447,.00447	499	.00195	100.00000978	33	17.18534355	0,0,0,0,0:0,0,0,1e-05,0:0,0,0,0,0:0,0,1e-05,0,0:0,0,1e-05,0,0	4.9e-05,0.000126,0.000197,0.000286,1.4e-05	63.80860619,29.48939625,0,9.13605714,56.59799213	1	100	100	417	3
