species	type	location	rxn	time
1	I	0	Sample_recovery	100.00000882
2	I	0	Sample_recovery	87.63931199
3	I	0	Sample_recovery	63.70090928
4	I	2	Sample_recovery	100.00000753
5	I	2	Sample_recovery	99.16816062
6	I	0	Sample_recovery	97.51691103
7	I	0	Sample_recovery	76.70808913
8	I	0	Sample_recovery	97.53005460
9	I	0	Sample_recovery	97.00513162
10	I	0	Sample_recovery	46.00357453
11	I	2	Sample_recovery	92.37838920
12	I	0	Sample_recovery	100.00000627
13	I	0	Sample_recovery	91.65829670
14	I	0	Sample_recovery	97.53111839
15	I	0	Sample_recovery	63.90604591
16	I	0	Sample_recovery	82.80131416
17	I	0	Sample_recovery	93.28679971
18	I	0	Sample_recovery	94.46750607
19	I	2	Sample_recovery	94.57638806
20	I	2	Sample_recovery	100.00000696
21	I	2	Sample_recovery	96.24253776
22	I	0	Sample_recovery	100.00000294
23	I	0	Sample_recovery	97.21314977
24	I	0	Sample_recovery	95.69445481
25	I	0	Sample_recovery	100.00000626
26	I	0	Sample_recovery	100.00000533
27	I	0	Sample_recovery	72.40374699
28	I	3	Sample_recovery	100.00000694
29	I	0	Sample_recovery	96.74357689
30	I	0	Sample_recovery	98.29148177
31	I	0	Sample_recovery	94.59044525
32	I	0	Sample_recovery	90.22995216
33	I	0	Sample_recovery	79.52601563
34	I	0	Sample_recovery	71.52894469
35	I	0	Sample_recovery	73.21322460
36	I	0	Sample_recovery	99.58244898
37	I	0	Sample_recovery	88.62167540
38	I	0	Sample_recovery	99.20261684
39	I	0	Sample_recovery	86.16856984
40	I	0	Sample_recovery	75.52578648
41	I	0	Sample_recovery	100.00000048
42	I	0	Sample_recovery	100.00000326
43	I	0	Sample_recovery	95.59978801
44	I	0	Sample_recovery	100.00000946
45	I	0	Sample_recovery	69.57569051
46	I	2	Sample_recovery	100.00000837
47	I	0	Sample_recovery	94.55803332
48	I	0	Sample_recovery	86.59096874
49	I	0	Sample_recovery	100.00000956
50	I	0	Sample_recovery	100.00000557
51	I	0	Sample_recovery	90.74858024
52	I	0	Sample_recovery	99.79037570
53	I	0	Sample_recovery	100.00000313
54	I	0	Sample_recovery	83.92534318
55	I	2	Sample_recovery	95.98879327
56	I	0	Sample_recovery	94.59575561
57	I	0	Sample_recovery	99.46834840
58	I	0	Sample_recovery	88.77485847
59	I	0	Sample_recovery	88.03505610
60	I	0	Sample_recovery	92.73315942
61	I	0	Sample_recovery	100.00000810
62	I	0	Sample_recovery	97.99630585
63	I	0	Sample_recovery	100.00000946
64	I	2	Sample_recovery	100.00000745
65	I	0	Sample_recovery	93.36170688
66	I	0	Sample_recovery	100.00000714
67	I	4	Sample_recovery	94.89970219
68	I	0	Sample_recovery	94.80279865
69	I	3	Sample_recovery	100.00000755
70	I	3	Sample_recovery	97.34249039
71	I	3	Sample_recovery	97.86007276
72	I	0	Sample_recovery	92.39462544
73	I	0	Sample_recovery	74.52325961
74	I	0	Sample_recovery	98.48828324
75	I	0	Sample_recovery	100.00000595
76	I	0	Sample_recovery	98.63749226
77	I	2	Sample_recovery	93.21696316
78	I	1	Sample_recovery	95.91276899
79	I	0	Sample_recovery	87.27301385
80	I	0	Sample_recovery	98.93359218
81	I	0	Sample_recovery	61.33010326
82	I	0	Sample_recovery	82.96890667
83	I	0	Sample_recovery	89.77863637
84	I	0	Sample_recovery	100.00000282
85	I	0	Sample_recovery	87.53969003
86	I	0	Sample_recovery	98.58131343
87	I	4	Sample_recovery	93.71380072
88	I	0	Sample_recovery	100.00000959
89	I	0	Sample_recovery	91.97804931
90	I	0	Sample_recovery	98.01673524
91	I	0	Sample_recovery	96.90262156
92	I	0	Sample_recovery	100.00000226
93	I	0	Sample_recovery	92.58478766
94	I	0	Sample_recovery	98.71827593
95	I	0	Sample_recovery	99.55255717
96	I	0	Sample_recovery	80.25138533
97	I	3	Sample_recovery	99.94639461
98	I	0	Sample_recovery	100.00000945
