file_name	lowest_ESS
extant_phylocomp_runtime_sim361.log.ess	140.3
extant_phylocomp_runtime_sim475.log.ess	173.5
extant_phylocomp_runtime_sim203.log.ess	187.5
extant_phylocomp_runtime_sim461.log.ess	209.1
extant_phylocomp_runtime_sim341.log.ess	218.6
extant_phylocomp_runtime_sim489.log.ess	226.9
extant_phylocomp_runtime_sim239.log.ess	228.2
extant_phylocomp_runtime_sim219.log.ess	241.9
extant_phylocomp_runtime_sim15.log.ess	242.6
extant_phylocomp_runtime_sim262.log.ess	249.9
extant_phylocomp_runtime_sim441.log.ess	249.9
extant_phylocomp_runtime_sim124.log.ess	258.3
extant_phylocomp_runtime_sim379.log.ess	264.8
extant_phylocomp_runtime_sim153.log.ess	272.2
extant_phylocomp_runtime_sim301.log.ess	276.8
extant_phylocomp_runtime_sim210.log.ess	278.3
extant_phylocomp_runtime_sim105.log.ess	285.8
extant_phylocomp_runtime_sim183.log.ess	293.6
extant_phylocomp_runtime_sim314.log.ess	295
extant_phylocomp_runtime_sim231.log.ess	297.4
extant_phylocomp_runtime_sim419.log.ess	298
extant_phylocomp_runtime_sim259.log.ess	299.8
extant_phylocomp_runtime_sim160.log.ess	300.3
extant_phylocomp_runtime_sim139.log.ess	302.6
extant_phylocomp_runtime_sim67.log.ess	303.4
extant_phylocomp_runtime_sim156.log.ess	303.5
extant_phylocomp_runtime_sim107.log.ess	304.2
extant_phylocomp_runtime_sim339.log.ess	306.7
extant_phylocomp_runtime_sim285.log.ess	307.8
extant_phylocomp_runtime_sim163.log.ess	317.1
extant_phylocomp_runtime_sim317.log.ess	318.1
extant_phylocomp_runtime_sim2.log.ess	326.7
extant_phylocomp_runtime_sim333.log.ess	329.6
extant_phylocomp_runtime_sim152.log.ess	330.6
extant_phylocomp_runtime_sim483.log.ess	335.4
extant_phylocomp_runtime_sim415.log.ess	335.5
extant_phylocomp_runtime_sim202.log.ess	339.5
extant_phylocomp_runtime_sim96.log.ess	340.2
extant_phylocomp_runtime_sim54.log.ess	343.8
extant_phylocomp_runtime_sim298.log.ess	346.6
extant_phylocomp_runtime_sim437.log.ess	358.7
extant_phylocomp_runtime_sim25.log.ess	363.5
extant_phylocomp_runtime_sim141.log.ess	367.5
extant_phylocomp_runtime_sim279.log.ess	370
extant_phylocomp_runtime_sim407.log.ess	371.8
extant_phylocomp_runtime_sim424.log.ess	374.5
extant_phylocomp_runtime_sim28.log.ess	379
extant_phylocomp_runtime_sim225.log.ess	379.4
extant_phylocomp_runtime_sim375.log.ess	384.5
extant_phylocomp_runtime_sim425.log.ess	385.7
extant_phylocomp_runtime_sim220.log.ess	388.3
extant_phylocomp_runtime_sim242.log.ess	390
extant_phylocomp_runtime_sim73.log.ess	390.1
extant_phylocomp_runtime_sim52.log.ess	392.9
extant_phylocomp_runtime_sim249.log.ess	394.2
extant_phylocomp_runtime_sim119.log.ess	395.9
extant_phylocomp_runtime_sim85.log.ess	396.3
extant_phylocomp_runtime_sim234.log.ess	396.9
extant_phylocomp_runtime_sim248.log.ess	396.9
extant_phylocomp_runtime_sim48.log.ess	397.4
extant_phylocomp_runtime_sim414.log.ess	398.6
extant_phylocomp_runtime_sim17.log.ess	398.8
extant_phylocomp_runtime_sim207.log.ess	399.2
extant_phylocomp_runtime_sim51.log.ess	399.4
extant_phylocomp_runtime_sim325.log.ess	400.2
extant_phylocomp_runtime_sim312.log.ess	401.2
extant_phylocomp_runtime_sim62.log.ess	401.2
extant_phylocomp_runtime_sim1.log.ess	401.9
extant_phylocomp_runtime_sim306.log.ess	402.1
extant_phylocomp_runtime_sim459.log.ess	402.4
extant_phylocomp_runtime_sim256.log.ess	402.6
extant_phylocomp_runtime_sim157.log.ess	402.9
extant_phylocomp_runtime_sim37.log.ess	403.6
extant_phylocomp_runtime_sim326.log.ess	404
extant_phylocomp_runtime_sim132.log.ess	404.2
extant_phylocomp_runtime_sim76.log.ess	404.3
extant_phylocomp_runtime_sim149.log.ess	405
extant_phylocomp_runtime_sim340.log.ess	405
extant_phylocomp_runtime_sim373.log.ess	405.8
extant_phylocomp_runtime_sim108.log.ess	406.8
extant_phylocomp_runtime_sim444.log.ess	407.1
extant_phylocomp_runtime_sim336.log.ess	407.2
extant_phylocomp_runtime_sim291.log.ess	408.2
extant_phylocomp_runtime_sim201.log.ess	408.9
extant_phylocomp_runtime_sim268.log.ess	409.5
extant_phylocomp_runtime_sim192.log.ess	410.5
extant_phylocomp_runtime_sim355.log.ess	411.6
extant_phylocomp_runtime_sim278.log.ess	415.1
extant_phylocomp_runtime_sim422.log.ess	415.2
