sim	param_estimate	lower	upper
extant_misspec_R0_sim5	7.046454	6.698441	7.367055
extant_misspec_R0_sim11	4.968273	4.689691	5.212418
extant_misspec_R0_sim12	7.081603	6.703225	7.440457
extant_misspec_R0_sim14	5.917416	5.698915	6.108641
extant_misspec_R0_sim20	5.601833	5.105796	6.066084
extant_misspec_R0_sim21	7.374965	6.886968	7.856977
extant_misspec_R0_sim26	6.899891	6.20569	7.569746
extant_misspec_R0_sim31	5.451117	5.128842	5.847547
extant_misspec_R0_sim34	5.851713	5.551616	6.146523
extant_misspec_R0_sim42	4.411859	3.98265	4.887341
extant_misspec_R0_sim46	5.741128	5.40804	6.067253
extant_misspec_R0_sim72	4.831348	4.520585	5.117425
extant_misspec_R0_sim77	6.111249	5.724145	6.50591
extant_misspec_R0_sim81	7.223763	6.835249	7.611267
extant_misspec_R0_sim83	6.201554	5.914101	6.464453
extant_misspec_R0_sim84	7.441845	6.540105	7.999324
extant_misspec_R0_sim87	6.712268	6.015756	7.429702
extant_misspec_R0_sim88	6.339138	5.952354	6.707526
extant_misspec_R0_sim101	5.129375	4.541353	5.630663
extant_misspec_R0_sim102	5.781842	4.889352	6.6964
extant_misspec_R0_sim105	5.553896	4.900788	6.290344
extant_misspec_R0_sim108	5.335987	4.470099	6.10402
extant_misspec_R0_sim114	7.029045	6.233134	7.868232
extant_misspec_R0_sim126	6.685143	5.601978	7.700426
extant_misspec_R0_sim130	5.09957	4.709549	5.476021
extant_misspec_R0_sim136	6.052025	5.220894	6.993118
extant_misspec_R0_sim149	5.555954	4.777926	6.388149
extant_misspec_R0_sim153	5.966288	5.703121	6.223107
extant_misspec_R0_sim162	5.632782	5.376598	5.89393
extant_misspec_R0_sim165	4.425407	4.055895	4.842982
extant_misspec_R0_sim167	6.423368	6.036187	6.772198
extant_misspec_R0_sim168	5.546643	4.571738	6.549548
extant_misspec_R0_sim169	5.44106	5.12973	5.728028
extant_misspec_R0_sim175	4.263744	4.071482	4.464994
extant_misspec_R0_sim181	5.237949	4.289218	6.194459
extant_misspec_R0_sim182	4.730403	4.378514	5.141479
extant_misspec_R0_sim183	6.392794	5.582158	7.250469
extant_misspec_R0_sim184	6.713173	5.909292	7.458398
extant_misspec_R0_sim185	5.083715	4.887653	5.271452
extant_misspec_R0_sim191	5.725553	4.812038	6.74171
extant_misspec_R0_sim194	4.368323	4.206746	4.524767
extant_misspec_R0_sim201	4.487574	4.241439	4.725543
extant_misspec_R0_sim206	3.749184	3.378898	4.135438
extant_misspec_R0_sim211	4.67065	4.114767	5.256813
extant_misspec_R0_sim216	2.299116	2.010898	2.583774
extant_misspec_R0_sim220	6.847946	6.400597	7.270819
extant_misspec_R0_sim223	4.739476	3.80573	5.695801
extant_misspec_R0_sim225	6.031568	5.619811	6.431952
extant_misspec_R0_sim227	5.018752	3.988564	6.052634
extant_misspec_R0_sim228	4.337707	3.836058	4.842201
extant_misspec_R0_sim235	7.296888	6.713536	7.835265
extant_misspec_R0_sim239	3.772261	2.838154	4.597921
extant_misspec_R0_sim243	3.933228	3.451906	4.378339
extant_misspec_R0_sim244	6.808148	6.479414	7.166128
extant_misspec_R0_sim246	6.463105	6.223149	6.740347
extant_misspec_R0_sim260	5.341737	4.274462	6.458692
extant_misspec_R0_sim261	5.560038	5.256084	5.864319
extant_misspec_R0_sim266	5.374998	4.282167	6.581127
extant_misspec_R0_sim268	6.937842	6.318398	7.487648
extant_misspec_R0_sim275	5.876438	5.347261	6.441258
extant_misspec_R0_sim279	6.763815	6.474598	7.062983
extant_misspec_R0_sim284	6.198451	5.587669	6.733301
extant_misspec_R0_sim288	4.357221	3.571217	5.154378
extant_misspec_R0_sim290	5.399683	5.121663	5.670476
extant_misspec_R0_sim293	4.451627	4.239741	4.658916
extant_misspec_R0_sim301	4.98479	4.737744	5.272213
extant_misspec_R0_sim307	4.377368	3.37085	5.426584
extant_misspec_R0_sim308	4.672704	4.414997	4.916933
extant_misspec_R0_sim312	5.425269	4.632991	6.261811
extant_misspec_R0_sim313	7.160747	6.787504	7.541522
extant_misspec_R0_sim316	4.863421	4.545074	5.15578
extant_misspec_R0_sim317	7.46202	7.154648	7.762599
extant_misspec_R0_sim322	3.741499	3.57883	3.911104
extant_misspec_R0_sim330	4.918904	4.37208	5.508388
extant_misspec_R0_sim334	4.894429	3.926954	6.045772
extant_misspec_R0_sim339	6.705018	5.373458	7.986512
extant_misspec_R0_sim341	5.047703	4.618813	5.496259
extant_misspec_R0_sim343	5.952412	5.646524	6.234397
extant_misspec_R0_sim351	5.945337	5.728124	6.176949
extant_misspec_R0_sim353	7.701382	7.451056	7.967367
extant_misspec_R0_sim372	2.624268	2.160301	3.061937
extant_misspec_R0_sim373	7.112432	6.84107	7.419716
extant_misspec_R0_sim376	4.168018	3.447747	4.958728
extant_misspec_R0_sim384	5.722612	5.500515	5.937993
extant_misspec_R0_sim388	3.559161	3.260039	3.867549
extant_misspec_R0_sim389	7.22298	6.732242	7.694827
extant_misspec_R0_sim393	5.500214	5.163856	5.821787
extant_misspec_R0_sim395	5.906356	5.628674	6.22296
extant_misspec_R0_sim400	6.071449	5.757151	6.389778
extant_misspec_R0_sim411	6.75039	6.489772	7.018591
extant_misspec_R0_sim417	3.807915	3.386247	4.194924
extant_misspec_R0_sim422	7.002565	6.157867	7.83577
extant_misspec_R0_sim429	3.035233	2.441055	3.683174
