sim	param_estimate	lower	upper
extant_misspec_R0_sim5	0.0006010813	0.0004185247	0.0007974234
extant_misspec_R0_sim11	0.003431657	0.002954394	0.004015012
extant_misspec_R0_sim12	0.002497805	0.002101694	0.002873689
extant_misspec_R0_sim14	0.0004736837	0.0003675033	0.0005766959
extant_misspec_R0_sim20	0.0007442428	0.0004720974	0.001046806
extant_misspec_R0_sim21	0.00409237	0.003453098	0.004679634
extant_misspec_R0_sim26	0.002280882	0.001638133	0.002935026
extant_misspec_R0_sim31	0.004640748	0.004143103	0.00499947
extant_misspec_R0_sim34	0.003281682	0.002794442	0.003798373
extant_misspec_R0_sim42	0.004242097	0.003415856	0.004999953
extant_misspec_R0_sim46	0.001659088	0.001348027	0.001996806
extant_misspec_R0_sim72	0.002550174	0.002023611	0.00304089
extant_misspec_R0_sim77	0.003805711	0.003218803	0.004370259
extant_misspec_R0_sim81	0.002857251	0.00232147	0.003407359
extant_misspec_R0_sim83	0.002839932	0.002402557	0.003318176
extant_misspec_R0_sim84	0.002418608	0.001352561	0.003574634
extant_misspec_R0_sim87	0.0001568606	0.0001000348	0.0002533771
extant_misspec_R0_sim88	0.004288505	0.003713073	0.004911738
extant_misspec_R0_sim101	0.003864894	0.003026306	0.004789718
extant_misspec_R0_sim102	0.0008580848	0.0003252838	0.001458427
extant_misspec_R0_sim105	0.002972745	0.001958082	0.004091463
extant_misspec_R0_sim108	0.003621706	0.002510293	0.004875878
extant_misspec_R0_sim114	0.002245493	0.00153398	0.003003937
extant_misspec_R0_sim126	0.001264663	0.0006539702	0.001984536
extant_misspec_R0_sim130	0.002043479	0.001479898	0.002592251
extant_misspec_R0_sim136	0.004100142	0.003140971	0.004999901
extant_misspec_R0_sim149	0.0006718909	0.000291046	0.001175578
extant_misspec_R0_sim153	0.00437032	0.003839666	0.004986094
extant_misspec_R0_sim162	0.002500304	0.002142226	0.00287001
extant_misspec_R0_sim165	0.000478527	0.0002515467	0.0007346676
extant_misspec_R0_sim167	0.002857235	0.002420101	0.003323206
extant_misspec_R0_sim168	0.004220393	0.003159841	0.004999196
extant_misspec_R0_sim169	0.004109518	0.003496015	0.004789779
extant_misspec_R0_sim175	0.0007895698	0.0006012604	0.0009853664
extant_misspec_R0_sim181	0.002203986	0.001034343	0.003411275
extant_misspec_R0_sim182	0.0003034133	0.0001610971	0.0004626085
extant_misspec_R0_sim183	0.004392567	0.003546802	0.004998759
extant_misspec_R0_sim184	0.004177459	0.003371144	0.004992994
extant_misspec_R0_sim185	0.002205819	0.0018559	0.002568657
extant_misspec_R0_sim191	0.004405922	0.003481413	0.00499958
extant_misspec_R0_sim194	0.002293618	0.001918267	0.002629931
extant_misspec_R0_sim201	0.001720285	0.001349376	0.002100883
extant_misspec_R0_sim206	0.003480457	0.002479086	0.004417501
extant_misspec_R0_sim211	0.0024293	0.001523951	0.003310125
extant_misspec_R0_sim216	0.004261447	0.003232316	0.004999216
extant_misspec_R0_sim220	0.00125984	0.0009148625	0.001622279
extant_misspec_R0_sim223	0.001641543	0.0006501337	0.002925699
extant_misspec_R0_sim225	0.002276166	0.001792648	0.002770628
extant_misspec_R0_sim227	0.00322642	0.00182333	0.004746936
extant_misspec_R0_sim228	0.001116174	0.0006125399	0.001689042
extant_misspec_R0_sim235	0.003416119	0.002773684	0.00408373
extant_misspec_R0_sim239	0.002093688	0.0008792188	0.003666552
extant_misspec_R0_sim243	0.003527358	0.00241419	0.004790039
extant_misspec_R0_sim244	0.004443922	0.003933344	0.004999922
extant_misspec_R0_sim246	0.0003603496	0.0002750601	0.0004492886
extant_misspec_R0_sim260	0.001249373	0.0004649074	0.00224839
extant_misspec_R0_sim261	0.001189065	0.0008814596	0.001490153
extant_misspec_R0_sim266	0.003342309	0.002051899	0.004874883
extant_misspec_R0_sim268	0.001159333	0.0007831795	0.001562685
extant_misspec_R0_sim275	0.003179275	0.002447717	0.003886128
extant_misspec_R0_sim279	0.002201506	0.001775978	0.002659183
extant_misspec_R0_sim284	0.001437655	0.001022045	0.001880139
extant_misspec_R0_sim288	0.002214934	0.001053862	0.003434676
extant_misspec_R0_sim290	0.004758994	0.00438471	0.004999256
extant_misspec_R0_sim293	0.004203478	0.003602676	0.00486726
extant_misspec_R0_sim301	0.004719508	0.00431564	0.004999993
extant_misspec_R0_sim307	0.003764703	0.002418876	0.004999702
extant_misspec_R0_sim308	0.003422113	0.002919087	0.003934873
extant_misspec_R0_sim312	0.00334764	0.002206849	0.004690125
extant_misspec_R0_sim313	0.001936687	0.00164669	0.002242683
extant_misspec_R0_sim316	0.0001869284	0.0001048126	0.0002742315
extant_misspec_R0_sim317	0.001278429	0.001075257	0.001458449
extant_misspec_R0_sim322	0.00174177	0.001436411	0.002040359
extant_misspec_R0_sim330	0.0009449198	0.0004929333	0.001415963
extant_misspec_R0_sim334	0.003884354	0.002598531	0.004998364
extant_misspec_R0_sim339	0.00364808	0.002379976	0.004981084
extant_misspec_R0_sim341	0.00253949	0.001937309	0.003192089
extant_misspec_R0_sim343	0.002755929	0.002342111	0.003175255
extant_misspec_R0_sim351	0.00170562	0.001448416	0.001970425
extant_misspec_R0_sim353	0.001481348	0.00126976	0.001741338
extant_misspec_R0_sim372	0.001903527	0.0008138813	0.003291269
extant_misspec_R0_sim373	0.004834737	0.004544873	0.004999946
extant_misspec_R0_sim376	0.004498808	0.003669929	0.004999726
extant_misspec_R0_sim384	0.0004716036	0.0003693582	0.0005762539
extant_misspec_R0_sim388	0.001981659	0.001344995	0.002641162
extant_misspec_R0_sim389	0.002120509	0.001700305	0.002549747
extant_misspec_R0_sim393	0.004337707	0.003790566	0.004927632
extant_misspec_R0_sim395	0.003971969	0.003337447	0.004577939
extant_misspec_R0_sim400	0.00335634	0.002828756	0.003859908
extant_misspec_R0_sim411	0.001872272	0.001609814	0.002171169
extant_misspec_R0_sim417	0.003668379	0.002676044	0.004807269
extant_misspec_R0_sim422	0.004384232	0.003580191	0.004999288
extant_misspec_R0_sim429	0.003929023	0.002547723	0.00499964
