sim	param_estimate	lower	upper
extant_misspec_R0_sim5	0.001460054	0.0008483808	0.002019785
extant_misspec_R0_sim11	0.002791333	0.002301534	0.003344678
extant_misspec_R0_sim12	0.003022874	0.002561001	0.003539792
extant_misspec_R0_sim14	0.002279751	0.00176936	0.002762995
extant_misspec_R0_sim20	0.003866302	0.002798808	0.004953726
extant_misspec_R0_sim21	0.0001978061	0.0001019331	0.0002958958
extant_misspec_R0_sim26	0.003052398	0.002057681	0.004054582
extant_misspec_R0_sim31	0.0037864	0.003125032	0.004505082
extant_misspec_R0_sim34	0.00323558	0.002704774	0.003773518
extant_misspec_R0_sim42	0.0007106294	0.0003127807	0.001178245
extant_misspec_R0_sim46	0.001987703	0.001530572	0.002449482
extant_misspec_R0_sim72	0.001862244	0.001398076	0.002341311
extant_misspec_R0_sim77	0.001498833	0.001173614	0.001860697
extant_misspec_R0_sim81	0.001531565	0.001062984	0.00214601
extant_misspec_R0_sim83	0.0003381279	0.0002076119	0.0005048076
extant_misspec_R0_sim84	0.001361913	0.0003885267	0.002740581
extant_misspec_R0_sim87	0.003070411	0.001739335	0.004603792
extant_misspec_R0_sim88	0.001321193	0.001003726	0.001671691
extant_misspec_R0_sim101	0.001300203	0.0007795305	0.001794644
extant_misspec_R0_sim102	0.0011088	0.0002393397	0.00209793
extant_misspec_R0_sim105	0.003299312	0.00213266	0.004567883
extant_misspec_R0_sim108	0.003598854	0.002527705	0.00499612
extant_misspec_R0_sim114	0.002430565	0.001467906	0.003365645
extant_misspec_R0_sim126	0.00271332	0.001237939	0.00410714
extant_misspec_R0_sim130	0.0001827332	0.0001000753	0.0003368903
extant_misspec_R0_sim136	0.001889745	0.0009123347	0.002840906
extant_misspec_R0_sim149	0.001433568	0.0003712727	0.002580564
extant_misspec_R0_sim153	0.002241913	0.001796521	0.002768675
extant_misspec_R0_sim162	0.0003547299	0.0002079978	0.0005048868
extant_misspec_R0_sim165	0.001213161	0.0003991211	0.001957296
extant_misspec_R0_sim167	0.0008430018	0.0006251054	0.001090933
extant_misspec_R0_sim168	0.001257964	0.0004871356	0.002099089
extant_misspec_R0_sim169	0.0009028054	0.000703173	0.001160653
extant_misspec_R0_sim175	0.0006370202	0.0003564276	0.0009495439
extant_misspec_R0_sim181	0.004299363	0.003304352	0.004993977
extant_misspec_R0_sim182	0.002796601	0.001735653	0.003993199
extant_misspec_R0_sim183	0.00125328	0.0006132067	0.002009652
extant_misspec_R0_sim184	0.003560096	0.002455978	0.004555411
extant_misspec_R0_sim185	0.0006404404	0.0004173732	0.0009074542
extant_misspec_R0_sim191	0.003893173	0.002595865	0.004972221
extant_misspec_R0_sim194	0.0002014769	0.0001004498	0.0002933134
extant_misspec_R0_sim201	0.0005514716	0.000302967	0.0008547864
extant_misspec_R0_sim206	0.002259971	0.001481126	0.003107577
extant_misspec_R0_sim211	0.0009929921	0.0004676294	0.001621745
extant_misspec_R0_sim216	0.0006479366	0.0001105181	0.001360994
extant_misspec_R0_sim220	0.002730725	0.001736583	0.003676864
extant_misspec_R0_sim223	0.003508068	0.002105106	0.004996056
extant_misspec_R0_sim225	0.003240711	0.002452664	0.004035898
extant_misspec_R0_sim227	0.001673997	0.0006868353	0.002753407
extant_misspec_R0_sim228	0.003627652	0.002284035	0.004913236
