sim	param_estimate	lower	upper
misspec_delta_sim8	3.52871	2.659146	4.417285
misspec_delta_sim12	7.182487	6.194386	7.999856
misspec_delta_sim15	3.055607	2.507324	3.589426
misspec_delta_sim16	6.793096	5.834888	7.693622
misspec_delta_sim23	4.183683	3.849974	4.536397
misspec_delta_sim24	6.06751	5.78012	6.371505
misspec_delta_sim27	4.766271	4.596299	4.952381
misspec_delta_sim33	4.194905	3.590617	4.755093
misspec_delta_sim40	3.024524	2.568314	3.495031
misspec_delta_sim41	6.364938	5.968029	6.752387
misspec_delta_sim46	4.974227	4.531791	5.46344
misspec_delta_sim49	5.291871	4.728998	5.835476
misspec_delta_sim52	5.0749	4.228727	5.917686
misspec_delta_sim55	3.768986	3.651029	3.893117
misspec_delta_sim59	3.215366	2.970797	3.434426
misspec_delta_sim61	3.652089	2.620987	4.735458
misspec_delta_sim62	7.348775	6.91135	7.821281
misspec_delta_sim64	4.73488	4.52382	4.980945
misspec_delta_sim79	4.565286	3.493758	5.761755
misspec_delta_sim81	3.303364	2.713652	3.926675
misspec_delta_sim86	2.60883	2.059717	3.081954
misspec_delta_sim89	5.131958	4.816755	5.409688
misspec_delta_sim97	2.952822	2.332038	3.606511
misspec_delta_sim100	2.594124	2.149258	3.010833
misspec_delta_sim102	4.68303	4.458607	4.885748
misspec_delta_sim105	5.864723	5.440531	6.262423
misspec_delta_sim106	2.612882	2.482854	2.743617
misspec_delta_sim110	4.247482	4.056111	4.451165
misspec_delta_sim112	2.928584	2.42913	3.385256
misspec_delta_sim115	4.280423	4.065477	4.537163
misspec_delta_sim119	4.150371	3.667256	4.607881
misspec_delta_sim120	3.139367	2.536205	3.755561
misspec_delta_sim126	2.683634	2.196502	3.146594
misspec_delta_sim127	2.889057	2.248679	3.477493
misspec_delta_sim134	2.582919	2.135205	3.08061
misspec_delta_sim140	5.154236	4.375304	6.113884
misspec_delta_sim142	7.013349	6.570141	7.460277
misspec_delta_sim145	5.224001	4.266924	6.201502
misspec_delta_sim147	2.927153	2.811378	3.049219
misspec_delta_sim152	4.487909	3.872188	5.123173
misspec_delta_sim154	5.511649	5.143147	5.854069
misspec_delta_sim155	6.258963	5.249368	7.25169
misspec_delta_sim157	3.054496	2.890318	3.230957
misspec_delta_sim158	7.048793	6.752489	7.323278
misspec_delta_sim162	2.311078	2.043062	2.548899
misspec_delta_sim164	3.944536	3.338916	4.553031
misspec_delta_sim171	5.864998	5.17065	6.615062
misspec_delta_sim173	4.85539	4.47966	5.218694
misspec_delta_sim175	3.585544	3.090065	4.051502
misspec_delta_sim183	4.841863	4.60314	5.086118
misspec_delta_sim187	3.499147	3.362956	3.610729
misspec_delta_sim189	4.264335	3.467019	5.15582
misspec_delta_sim192	2.829681	2.314563	3.316179
misspec_delta_sim195	4.412196	4.153952	4.65127
misspec_delta_sim196	4.625854	4.444881	4.828861
misspec_delta_sim203	2.870998	2.757198	2.987597
misspec_delta_sim205	3.041122	2.30589	3.786429
misspec_delta_sim206	3.820689	2.691646	4.947155
misspec_delta_sim210	4.732146	4.486731	4.992139
misspec_delta_sim212	4.152784	3.905022	4.426758
misspec_delta_sim215	2.739494	2.443426	3.093455
misspec_delta_sim216	2.338689	2.157568	2.530062
misspec_delta_sim218	5.649436	4.94142	6.342591
misspec_delta_sim219	5.56081	4.881722	6.2713
misspec_delta_sim221	2.976361	2.765241	3.168973
misspec_delta_sim228	3.748161	3.600221	3.885644
misspec_delta_sim230	4.731917	4.057884	5.416055
misspec_delta_sim231	4.582305	3.739365	5.334764
misspec_delta_sim234	3.441609	2.762348	4.111667
misspec_delta_sim242	7.149418	6.746113	7.542201
misspec_delta_sim250	5.229392	4.942802	5.514128
misspec_delta_sim256	7.401416	6.733931	7.997445
misspec_delta_sim259	5.276926	4.078712	6.462248
misspec_delta_sim261	2.890193	2.609442	3.167278
misspec_delta_sim262	3.593866	3.096361	4.104789
