sim	param_estimate	lower	upper
misspec_delta_sim8	0.002544192	0.001004125	0.004352887
misspec_delta_sim12	0.001782317	0.0009358104	0.002666273
misspec_delta_sim15	0.004339167	0.003348531	0.004998615
misspec_delta_sim16	0.003041901	0.002126312	0.004092765
misspec_delta_sim23	0.003810943	0.00295266	0.004581069
misspec_delta_sim24	0.003139365	0.002644759	0.003644739
misspec_delta_sim27	0.00152104	0.001287225	0.001747321
misspec_delta_sim33	0.001478752	0.0007672381	0.002193149
misspec_delta_sim40	0.003475581	0.002141689	0.004919647
misspec_delta_sim41	0.002214502	0.001803363	0.002671809
misspec_delta_sim46	0.0038745	0.003016144	0.004797408
misspec_delta_sim49	0.002736733	0.001947085	0.003563906
misspec_delta_sim52	0.001062954	0.0003070385	0.001878063
misspec_delta_sim55	0.001872981	0.001579894	0.002165991
misspec_delta_sim59	0.001622078	0.001181377	0.002099736
misspec_delta_sim61	0.003101649	0.001611721	0.004881078
misspec_delta_sim62	0.002538083	0.002086484	0.003020388
misspec_delta_sim64	0.004624956	0.004170698	0.00499982
misspec_delta_sim79	0.004129724	0.002910827	0.004998923
misspec_delta_sim81	0.004325543	0.0032614	0.004997926
misspec_delta_sim86	0.00218655	0.0008308732	0.003668905
misspec_delta_sim89	0.004117782	0.003528355	0.004830685
misspec_delta_sim97	0.003944077	0.00259449	0.004984514
misspec_delta_sim100	0.003196469	0.001852692	0.004710726
misspec_delta_sim102	0.003540494	0.002982322	0.004123798
misspec_delta_sim105	0.002381817	0.001861913	0.002913398
misspec_delta_sim106	0.004336193	0.003764776	0.004963741
misspec_delta_sim110	0.002546308	0.00216009	0.002952256
misspec_delta_sim112	0.001002334	0.0003646135	0.001737273
misspec_delta_sim115	0.002566617	0.002124827	0.003004142
misspec_delta_sim119	0.004033037	0.003109508	0.00499529
misspec_delta_sim120	0.00291534	0.001553044	0.004513636
misspec_delta_sim126	0.002488935	0.001124489	0.004079733
misspec_delta_sim127	0.002608065	0.001163577	0.004219252
misspec_delta_sim134	0.004140143	0.002930151	0.004998626
misspec_delta_sim140	0.00393952	0.002893059	0.004996478
misspec_delta_sim142	0.001869187	0.001461949	0.002299695
misspec_delta_sim145	0.003517278	0.002263547	0.004817985
misspec_delta_sim147	0.001616017	0.001344024	0.001905673
misspec_delta_sim152	0.003865906	0.002832762	0.004984735
misspec_delta_sim154	0.004021153	0.003416705	0.004676893
misspec_delta_sim155	0.001801445	0.0007583243	0.002866253
