sim	param_estimate	lower	upper
misspec_delta_sim8	0.001614827	0.0003643984	0.003323699
misspec_delta_sim12	0.000885755	0.0001216456	0.001795797
misspec_delta_sim15	0.004263333	0.003155852	0.004991028
misspec_delta_sim16	0.001136156	0.0005429327	0.001733269
misspec_delta_sim23	0.0003337763	0.0001176711	0.0005424398
misspec_delta_sim24	0.001956573	0.00156897	0.002305417
misspec_delta_sim27	0.003713751	0.003095066	0.004299093
misspec_delta_sim33	0.003336049	0.001984225	0.004654459
misspec_delta_sim40	0.002710655	0.001153367	0.004438504
misspec_delta_sim41	0.003735087	0.00301025	0.004584679
misspec_delta_sim46	0.004405661	0.00372574	0.004999719
misspec_delta_sim49	0.001478951	0.0009221382	0.002195029
misspec_delta_sim52	0.003133563	0.001549196	0.004939477
misspec_delta_sim55	0.002855183	0.002337215	0.003313864
misspec_delta_sim59	0.004387552	0.003601776	0.004994993
misspec_delta_sim61	0.003788095	0.002261159	0.004946892
misspec_delta_sim62	0.00248949	0.001813411	0.003124764
misspec_delta_sim64	0.0002209218	0.0001086207	0.0003388608
misspec_delta_sim79	0.002228618	0.0007858977	0.004070492
misspec_delta_sim81	0.003425875	0.00202201	0.004979561
misspec_delta_sim86	0.003489274	0.002053034	0.00497187
misspec_delta_sim89	0.003656405	0.003131628	0.004191743
misspec_delta_sim97	0.001292191	0.0002456681	0.002781268
misspec_delta_sim100	0.001369462	0.000531798	0.002544432
misspec_delta_sim102	0.0009006182	0.0006356953	0.001164597
misspec_delta_sim105	0.003384496	0.002445774	0.004263485
misspec_delta_sim106	0.003770213	0.003131116	0.004527478
misspec_delta_sim110	0.00325874	0.00270455	0.003833576
misspec_delta_sim112	0.0005465431	0.0001002167	0.00120954
misspec_delta_sim115	0.002798813	0.002239394	0.003398678
misspec_delta_sim119	0.001215725	0.0006244664	0.001895351
misspec_delta_sim120	0.004014408	0.00264118	0.004997477
misspec_delta_sim126	0.001965483	0.0006150514	0.003717931
misspec_delta_sim127	0.002164094	0.0006300403	0.003958363
misspec_delta_sim134	0.0018488	0.0004473435	0.003869171
misspec_delta_sim140	0.002415212	0.00127031	0.003751449
misspec_delta_sim142	0.000519555	0.0002274922	0.0008205936
misspec_delta_sim145	0.001132685	0.0004179388	0.001895556
misspec_delta_sim147	0.00208785	0.00161516	0.002499267
misspec_delta_sim152	0.003735864	0.002594181	0.004856757
misspec_delta_sim154	0.002563192	0.002110001	0.003032424
misspec_delta_sim155	0.004059879	0.002764101	0.004999194
misspec_delta_sim157	0.0001851583	0.0001003137	0.0003004809
misspec_delta_sim158	0.001345698	0.001045461	0.001662535
misspec_delta_sim162	0.0008446289	0.0002570908	0.001379526
misspec_delta_sim164	0.001621287	0.0006288846	0.00263202
misspec_delta_sim171	0.002435335	0.001586528	0.00332387
misspec_delta_sim173	0.004358617	0.003538715	0.004999886
misspec_delta_sim175	0.004300749	0.003298679	0.004998561
misspec_delta_sim183	0.003221982	0.002744517	0.003752828
misspec_delta_sim187	0.002358049	0.001914069	0.002807619
misspec_delta_sim189	0.003453338	0.002213205	0.004823937
misspec_delta_sim192	0.00275349	0.001306196	0.004558654
misspec_delta_sim195	0.003499992	0.002822617	0.004484884
misspec_delta_sim196	0.002061988	0.001714002	0.002490897
misspec_delta_sim203	0.002570567	0.001906239	0.003165551
misspec_delta_sim205	0.001014705	0.0002380507	0.002004813
misspec_delta_sim206	0.0004631222	0.0001001011	0.001172106
