sim	param_estimate	lower	upper
extant_misspec_m_sim0	0.00397513	0.003335323	0.004565311
extant_misspec_m_sim4	0.002359608	0.001855903	0.002875263
extant_misspec_m_sim5	0.001948514	0.001554005	0.002381532
extant_misspec_m_sim6	0.0006533673	0.0002675751	0.00110509
extant_misspec_m_sim9	0.003584049	0.00300338	0.004169612
extant_misspec_m_sim10	0.004408247	0.003856249	0.004994203
extant_misspec_m_sim14	0.002481936	0.001725078	0.003211546
extant_misspec_m_sim19	0.001398663	0.0009851304	0.001815326
extant_misspec_m_sim21	0.001456602	0.0008308008	0.002059233
extant_misspec_m_sim23	0.004123223	0.00371216	0.004651212
extant_misspec_m_sim26	0.001061537	0.0006879422	0.001456425
extant_misspec_m_sim29	0.003349442	0.00213462	0.004868237
extant_misspec_m_sim31	0.004184641	0.003188812	0.00499921
extant_misspec_m_sim33	0.0005407139	0.0004262894	0.0006569351
extant_misspec_m_sim39	0.003864424	0.00325376	0.004490938
extant_misspec_m_sim40	0.0003290333	0.0001309655	0.000542169
extant_misspec_m_sim41	0.003051463	0.001699699	0.004628808
extant_misspec_m_sim44	0.003063349	0.002159709	0.00405796
extant_misspec_m_sim49	0.0006434014	0.0004986771	0.0008140458
extant_misspec_m_sim52	0.001032922	0.0005222696	0.001595669
extant_misspec_m_sim53	0.00379796	0.003228577	0.004443868
extant_misspec_m_sim54	0.0007351085	0.0004540958	0.001044242
extant_misspec_m_sim56	0.002476536	0.001101826	0.004176727
extant_misspec_m_sim60	0.00460488	0.004114061	0.004999339
extant_misspec_m_sim67	0.000822786	0.0003552901	0.001371344
extant_misspec_m_sim71	0.0003860848	0.0002714519	0.0004988484
extant_misspec_m_sim74	0.003790504	0.003213627	0.004395588
extant_misspec_m_sim75	0.002722225	0.001382583	0.004380627
extant_misspec_m_sim77	0.0004802224	0.000343314	0.0006364438
extant_misspec_m_sim85	0.0002490087	0.0001276209	0.0003788933
extant_misspec_m_sim91	0.001610711	0.001190636	0.002042647
extant_misspec_m_sim93	0.003737092	0.003174969	0.004320183
extant_misspec_m_sim103	0.0003615465	0.0001403195	0.0005903988
extant_misspec_m_sim107	0.00172024	0.001288028	0.002205681
extant_misspec_m_sim118	0.004301231	0.003349832	0.004999646
extant_misspec_m_sim127	0.003579204	0.002481163	0.004784622
extant_misspec_m_sim128	0.002463649	0.002094128	0.002861352
extant_misspec_m_sim133	0.00443816	0.003884451	0.004999631
extant_misspec_m_sim136	0.0001525145	0.0001000303	0.000225259
extant_misspec_m_sim137	0.002623094	0.002134368	0.00314874
extant_misspec_m_sim139	0.003834834	0.003239816	0.004413483
extant_misspec_m_sim144	0.003279307	0.001959928	0.004851754
extant_misspec_m_sim150	0.002154424	0.001779626	0.002574587
extant_misspec_m_sim155	0.00421304	0.0035138	0.004985004
extant_misspec_m_sim158	0.0002514465	0.0001604907	0.0003481382
extant_misspec_m_sim160	0.003483604	0.002902288	0.004087135
extant_misspec_m_sim163	0.004830062	0.004533434	0.004999831
extant_misspec_m_sim165	0.003592822	0.002516136	0.004829279
extant_misspec_m_sim167	0.001187429	0.0006374802	0.001819905
extant_misspec_m_sim170	0.002668244	0.00168081	0.003717398
extant_misspec_m_sim172	0.003737495	0.00232389	0.004999243
extant_misspec_m_sim174	0.0005287644	0.0003327506	0.0007375545
extant_misspec_m_sim178	0.003848571	0.002586451	0.004998872
extant_misspec_m_sim180	0.0004850946	0.0003990219	0.0005774951
extant_misspec_m_sim182	0.001216259	0.001027974	0.001388402
