sim	param_estimate	lower	upper
extant_misspec_m_sim0	0.004750589	0.00437491	0.00499608
extant_misspec_m_sim4	0.004252031	0.003511456	0.004997734
extant_misspec_m_sim5	0.001583521	0.001149653	0.002022092
extant_misspec_m_sim6	0.002586222	0.001203704	0.004284994
extant_misspec_m_sim9	0.002803416	0.002264287	0.003450996
extant_misspec_m_sim10	0.001279697	0.0009805072	0.001613772
extant_misspec_m_sim14	0.001031815	0.000598286	0.001521396
extant_misspec_m_sim19	0.002091807	0.001333852	0.002979301
extant_misspec_m_sim21	0.002834996	0.001463731	0.004128695
extant_misspec_m_sim23	0.001690065	0.001364217	0.001976739
extant_misspec_m_sim26	0.004335046	0.003475694	0.004999293
extant_misspec_m_sim29	0.001158059	0.0003408153	0.002094956
extant_misspec_m_sim31	0.00400056	0.003041409	0.004996993
extant_misspec_m_sim33	0.003340672	0.002764558	0.00407242
extant_misspec_m_sim39	0.001904923	0.001501116	0.002340745
extant_misspec_m_sim40	0.0002997745	0.0001000522	0.0006232589
extant_misspec_m_sim41	0.003820769	0.002451951	0.004991743
extant_misspec_m_sim44	0.002176076	0.001392906	0.002987093
extant_misspec_m_sim49	0.003455415	0.002547776	0.00425234
extant_misspec_m_sim52	0.003923159	0.002781198	0.004985504
extant_misspec_m_sim53	0.003118719	0.002643529	0.003640929
extant_misspec_m_sim54	0.001978794	0.001058142	0.002828797
extant_misspec_m_sim56	0.003970813	0.002800322	0.004994689
extant_misspec_m_sim60	0.003027244	0.002432373	0.003555092
extant_misspec_m_sim67	0.003758539	0.002461809	0.004998129
extant_misspec_m_sim71	0.001864972	0.001373724	0.0024486
extant_misspec_m_sim74	0.0002252487	0.0001076031	0.0003502958
extant_misspec_m_sim75	0.001974573	0.0005850848	0.003607118
extant_misspec_m_sim77	0.0008640358	0.0005121876	0.001255249
extant_misspec_m_sim85	0.004031946	0.00297259	0.004993783
extant_misspec_m_sim91	0.00251786	0.001756297	0.003336401
extant_misspec_m_sim93	0.004749493	0.004355425	0.004999691
extant_misspec_m_sim103	0.00136675	0.0005834228	0.002349299
extant_misspec_m_sim107	0.0003528285	0.0001322077	0.0005970942
extant_misspec_m_sim118	0.0006025021	0.0001796009	0.001104282
extant_misspec_m_sim127	0.001464634	0.0008282675	0.002210885
extant_misspec_m_sim128	0.0043165	0.003742171	0.004918055
extant_misspec_m_sim133	0.00331988	0.002796011	0.003898742
extant_misspec_m_sim136	0.004047017	0.003071661	0.004995426
extant_misspec_m_sim137	0.0004100147	0.0002213266	0.0006142048
extant_misspec_m_sim139	0.003335552	0.002725118	0.003888856
extant_misspec_m_sim144	0.003417078	0.001806747	0.004820368
extant_misspec_m_sim150	0.001756968	0.001288378	0.002204495
extant_misspec_m_sim155	0.001625291	0.00117077	0.002154375
extant_misspec_m_sim158	0.004624756	0.004004363	0.004997414
extant_misspec_m_sim160	0.004566828	0.004027067	0.004997198
extant_misspec_m_sim163	0.001545146	0.00116557	0.001948704
extant_misspec_m_sim165	0.001672037	0.000909344	0.002639211
extant_misspec_m_sim167	0.003627088	0.002302196	0.004936314
extant_misspec_m_sim170	0.0008875449	0.000450422	0.001447857
extant_misspec_m_sim172	0.002730254	0.00103704	0.004588448
extant_misspec_m_sim174	0.001458677	0.0008043306	0.002196606
extant_misspec_m_sim178	0.001381071	0.0005225385	0.002431437
extant_misspec_m_sim180	0.004315209	0.003726668	0.004999633
extant_misspec_m_sim182	0.004421105	0.003843603	0.004979488
extant_misspec_m_sim190	0.002509588	0.00178548	0.003128878
extant_misspec_m_sim192	0.004032106	0.0034298	0.00468752
extant_misspec_m_sim193	0.003834814	0.003198542	0.004427137
extant_misspec_m_sim194	0.003294233	0.002207044	0.004604089
extant_misspec_m_sim195	0.001269701	0.0009605091	0.001570174
extant_misspec_m_sim197	0.004467624	0.003764728	0.004997983
extant_misspec_m_sim198	0.002904858	0.002312986	0.003499821
extant_misspec_m_sim212	0.001469238	0.00023579	0.002993437
extant_misspec_m_sim214	0.002898454	0.002326691	0.003383634
extant_misspec_m_sim220	0.001706337	0.0008523032	0.002662051
