sim	param_estimate	lower	upper
extant_misspec_numloc_sim2	7.129403	6.307402	7.972639
extant_misspec_numloc_sim11	3.404311	3.277573	3.532677
extant_misspec_numloc_sim13	3.908768	3.630287	4.186042
extant_misspec_numloc_sim18	3.847742	3.638425	4.085996
extant_misspec_numloc_sim19	3.42691	3.112853	3.761669
extant_misspec_numloc_sim23	3.136347	2.589774	3.666419
extant_misspec_numloc_sim24	7.197054	6.816551	7.609033
extant_misspec_numloc_sim26	7.281024	6.98558	7.578031
extant_misspec_numloc_sim34	5.500478	5.335932	5.698163
extant_misspec_numloc_sim35	4.325503	3.540074	5.100387
extant_misspec_numloc_sim36	2.828228	2.612956	3.043458
extant_misspec_numloc_sim37	4.406759	3.354518	5.68045
extant_misspec_numloc_sim38	6.998759	6.55201	7.453311
extant_misspec_numloc_sim41	5.640534	5.342241	5.953707
extant_misspec_numloc_sim44	5.738384	4.787642	6.820052
extant_misspec_numloc_sim46	4.975532	4.191134	5.7209
extant_misspec_numloc_sim56	2.616494	2.475488	2.755599
extant_misspec_numloc_sim58	4.268063	3.555729	5.003776
extant_misspec_numloc_sim59	2.993004	2.769638	3.195387
extant_misspec_numloc_sim61	6.156514	5.016114	7.362282
extant_misspec_numloc_sim62	2.469979	2.226037	2.718016
extant_misspec_numloc_sim65	4.635489	3.274235	6.18039
extant_misspec_numloc_sim69	3.234826	2.88	3.575805
extant_misspec_numloc_sim72	5.304479	4.257164	6.419104
extant_misspec_numloc_sim73	5.159479	4.94601	5.413873
extant_misspec_numloc_sim76	2.694077	2.557778	2.844077
extant_misspec_numloc_sim79	3.178908	2.937206	3.431585
extant_misspec_numloc_sim80	3.236855	2.271867	4.223836
extant_misspec_numloc_sim83	2.590078	2.214471	2.990114
extant_misspec_numloc_sim86	5.828278	5.216403	6.449072
extant_misspec_numloc_sim87	5.326663	5.0379	5.598325
extant_misspec_numloc_sim94	5.61264	5.294521	5.9625
extant_misspec_numloc_sim96	4.625201	3.858702	5.422269
extant_misspec_numloc_sim100	6.894334	6.133953	7.607307
extant_misspec_numloc_sim106	5.869975	4.651872	7.175688
extant_misspec_numloc_sim114	4.25393	3.846018	4.661657
extant_misspec_numloc_sim118	6.29449	6.07979	6.501326
extant_misspec_numloc_sim119	5.859128	5.309956	6.427204
extant_misspec_numloc_sim122	3.718186	2.966647	4.496251
extant_misspec_numloc_sim123	2.972307	2.650801	3.303518
extant_misspec_numloc_sim124	4.653509	4.425788	4.878676
extant_misspec_numloc_sim127	2.973183	2.375403	3.528503
extant_misspec_numloc_sim129	3.386003	2.944331	3.85696
extant_misspec_numloc_sim130	2.543378	2.215425	2.882222
extant_misspec_numloc_sim135	4.602333	4.229767	4.963526
extant_misspec_numloc_sim144	3.846225	3.717887	3.974147
extant_misspec_numloc_sim146	3.950262	3.380719	4.531989
extant_misspec_numloc_sim148	5.451203	5.080128	5.761209
extant_misspec_numloc_sim157	4.139003	3.869653	4.421245
extant_misspec_numloc_sim161	4.382035	3.283656	5.545812
extant_misspec_numloc_sim162	3.359916	2.907091	3.786068
extant_misspec_numloc_sim164	6.379745	5.832688	6.92489
extant_misspec_numloc_sim168	2.898428	2.708357	3.071361
extant_misspec_numloc_sim172	3.379177	3.22977	3.548102
extant_misspec_numloc_sim176	4.263039	3.985872	4.56901
extant_misspec_numloc_sim178	4.378042	3.92868	4.797128
extant_misspec_numloc_sim184	3.793909	3.63842	3.954196
extant_misspec_numloc_sim185	5.551404	5.137717	6.022145
extant_misspec_numloc_sim186	2.662892	2.291285	3.042031
extant_misspec_numloc_sim193	2.91906	2.599223	3.253904
extant_misspec_numloc_sim196	3.478341	3.278202	3.667096
extant_misspec_numloc_sim201	2.401727	2.213963	2.592888
extant_misspec_numloc_sim203	5.923612	4.52566	7.43859
extant_misspec_numloc_sim205	3.016845	2.886907	3.139975
extant_misspec_numloc_sim209	4.020564	3.835327	4.183449
extant_misspec_numloc_sim210	4.131135	3.750831	4.463481
extant_misspec_numloc_sim213	5.513516	5.357221	5.676762
extant_misspec_numloc_sim214	4.296919	4.105968	4.512092
extant_misspec_numloc_sim216	3.439164	3.291235	3.601202
extant_misspec_numloc_sim223	6.686364	5.896212	7.4222
extant_misspec_numloc_sim225	3.814883	3.502525	4.139809
extant_misspec_numloc_sim226	6.948464	6.626642	7.259038
