sim	param_estimate	lower	upper
extant_misspec_numloc_sim2	0.002889803	0.001954996	0.003880936
extant_misspec_numloc_sim11	0.003063147	0.002627861	0.003557325
extant_misspec_numloc_sim13	0.004596956	0.003979019	0.004999917
extant_misspec_numloc_sim18	0.0009966025	0.0007453223	0.001271887
extant_misspec_numloc_sim19	0.001053955	0.0006166754	0.001512337
extant_misspec_numloc_sim23	0.004370058	0.003370783	0.004999784
extant_misspec_numloc_sim24	0.001210812	0.0009737186	0.001474712
extant_misspec_numloc_sim26	0.0002991095	0.0002189788	0.0003862636
extant_misspec_numloc_sim34	0.0009472413	0.0008096727	0.001096898
extant_misspec_numloc_sim35	0.00240146	0.001325539	0.00382889
extant_misspec_numloc_sim36	0.004434265	0.003742548	0.004998061
extant_misspec_numloc_sim37	0.00396207	0.002590032	0.004999453
extant_misspec_numloc_sim38	0.003597686	0.002999	0.00421312
extant_misspec_numloc_sim41	0.00267075	0.002229041	0.0031385
extant_misspec_numloc_sim44	0.003389796	0.002195974	0.004758356
extant_misspec_numloc_sim46	0.001500765	0.000759541	0.002310539
extant_misspec_numloc_sim56	0.004588169	0.004073707	0.004999927
extant_misspec_numloc_sim58	0.001707125	0.0008473972	0.00293565
extant_misspec_numloc_sim59	0.004045824	0.003270538	0.00491003
extant_misspec_numloc_sim61	0.001475818	0.0006378979	0.002349317
extant_misspec_numloc_sim62	0.004340235	0.00342904	0.004999116
extant_misspec_numloc_sim65	0.003744821	0.002245491	0.004997762
extant_misspec_numloc_sim69	0.001980123	0.00123604	0.002776693
extant_misspec_numloc_sim72	0.002960728	0.001677504	0.004415423
extant_misspec_numloc_sim73	0.002652409	0.002238023	0.003040486
extant_misspec_numloc_sim76	0.0003742977	0.0002558223	0.0005137227
extant_misspec_numloc_sim79	0.0006420992	0.000364522	0.0009180201
extant_misspec_numloc_sim80	0.003619428	0.002098895	0.004992189
extant_misspec_numloc_sim83	0.003103293	0.001805559	0.004701417
extant_misspec_numloc_sim86	0.002642739	0.001930567	0.003482726
extant_misspec_numloc_sim87	0.002284746	0.001924874	0.002678062
extant_misspec_numloc_sim94	0.000818719	0.0006072053	0.00103677
extant_misspec_numloc_sim96	0.002452354	0.001200514	0.003749333
extant_misspec_numloc_sim100	0.0008631929	0.0005227833	0.001258583
extant_misspec_numloc_sim106	0.00168867	0.0006556321	0.00272205
extant_misspec_numloc_sim114	0.001438079	0.0009386136	0.002000274
extant_misspec_numloc_sim118	0.0005964028	0.0004926396	0.0007026668
extant_misspec_numloc_sim119	0.002828581	0.00210964	0.003579704
extant_misspec_numloc_sim122	0.001825898	0.0008544074	0.003013525
extant_misspec_numloc_sim123	0.004446141	0.003594312	0.004999711
extant_misspec_numloc_sim124	0.002991238	0.002539316	0.003468851
extant_misspec_numloc_sim127	0.001900682	0.0008247643	0.003216798
extant_misspec_numloc_sim129	0.004208858	0.003174695	0.004999845
extant_misspec_numloc_sim130	0.001013043	0.0004801363	0.001624316
