sim	param_estimate	lower	upper
iqtree_extant_misspec_tree_sim3	6.203045	5.956701	6.45304
iqtree_extant_misspec_tree_sim4	4.40786	4.256328	4.559813
iqtree_extant_misspec_tree_sim13	4.010498	3.665812	4.354741
iqtree_extant_misspec_tree_sim14	5.38742	4.380772	6.429596
iqtree_extant_misspec_tree_sim18	4.471584	4.065257	4.815106
iqtree_extant_misspec_tree_sim19	5.523645	5.156352	5.908175
iqtree_extant_misspec_tree_sim26	2.903823	2.423079	3.41707
iqtree_extant_misspec_tree_sim28	6.40172	6.210476	6.614319
iqtree_extant_misspec_tree_sim30	3.776321	3.120959	4.496839
iqtree_extant_misspec_tree_sim33	3.202428	2.9939	3.394731
iqtree_extant_misspec_tree_sim36	3.296891	3.146771	3.430554
iqtree_extant_misspec_tree_sim37	2.55992	2.095308	2.959226
iqtree_extant_misspec_tree_sim40	2.477025	2.292374	2.679924
iqtree_extant_misspec_tree_sim49	6.586154	5.231272	7.99931
iqtree_extant_misspec_tree_sim52	3.716696	3.518791	3.937486
iqtree_extant_misspec_tree_sim62	4.314749	3.892314	4.706324
iqtree_extant_misspec_tree_sim63	3.477855	2.912147	4.119861
iqtree_extant_misspec_tree_sim66	3.007808	2.716533	3.326892
iqtree_extant_misspec_tree_sim71	2.448214	2.222419	2.648387
iqtree_extant_misspec_tree_sim72	4.360574	4.132988	4.560628
iqtree_extant_misspec_tree_sim86	4.209313	3.400759	5.167327
iqtree_extant_misspec_tree_sim88	4.068296	3.44124	4.588746
iqtree_extant_misspec_tree_sim92	2.670088	2.22108	3.185764
iqtree_extant_misspec_tree_sim96	5.395933	5.20339	5.587748
iqtree_extant_misspec_tree_sim101	5.074239	4.668317	5.453172
iqtree_extant_misspec_tree_sim108	6.150725	5.953282	6.359097
iqtree_extant_misspec_tree_sim114	3.865881	3.333196	4.423499
iqtree_extant_misspec_tree_sim115	4.472442	3.320371	5.780659
iqtree_extant_misspec_tree_sim117	2.588837	2.49774	2.682355
iqtree_extant_misspec_tree_sim118	5.541354	5.372742	5.744266
iqtree_extant_misspec_tree_sim122	4.576758	4.189251	4.964305
iqtree_extant_misspec_tree_sim132	3.550913	3.347388	3.751537
iqtree_extant_misspec_tree_sim137	2.817272	2.711381	2.920359
iqtree_extant_misspec_tree_sim139	2.784241	2.651182	2.924323
iqtree_extant_misspec_tree_sim141	6.474328	5.907739	7.094464
iqtree_extant_misspec_tree_sim143	5.438248	5.273736	5.594337
iqtree_extant_misspec_tree_sim146	2.835158	2.370984	3.317311
iqtree_extant_misspec_tree_sim153	4.934172	4.066741	5.732719
iqtree_extant_misspec_tree_sim158	3.622006	3.24756	3.983199
iqtree_extant_misspec_tree_sim159	2.385458	2.226929	2.541101
iqtree_extant_misspec_tree_sim162	2.958137	2.506427	3.457531
iqtree_extant_misspec_tree_sim174	5.906634	5.316667	6.533502
iqtree_extant_misspec_tree_sim175	4.001154	3.444611	4.564886
iqtree_extant_misspec_tree_sim177	4.624103	3.887664	5.34306
iqtree_extant_misspec_tree_sim178	6.423888	5.759975	7.071838
iqtree_extant_misspec_tree_sim182	2.605459	2.196557	3.023275
iqtree_extant_misspec_tree_sim189	3.417237	3.265313	3.562846
iqtree_extant_misspec_tree_sim190	6.424937	6.024534	6.83365
iqtree_extant_misspec_tree_sim194	7.14275	6.842121	7.433521
iqtree_extant_misspec_tree_sim196	3.574183	3.39025	3.774598
iqtree_extant_misspec_tree_sim198	4.053203	3.641226	4.44538
iqtree_extant_misspec_tree_sim201	4.175602	4.052518	4.309538
iqtree_extant_misspec_tree_sim202	3.254242	3.062952	3.452958
iqtree_extant_misspec_tree_sim205	2.909018	2.597071	3.224058
iqtree_extant_misspec_tree_sim208	2.726956	2.49161	2.950492
iqtree_extant_misspec_tree_sim214	4.776175	4.563862	5.001793
iqtree_extant_misspec_tree_sim226	3.747628	3.313862	4.163805
iqtree_extant_misspec_tree_sim229	2.872348	2.76668	2.977411
iqtree_extant_misspec_tree_sim231	3.394186	3.01028	3.800825
iqtree_extant_misspec_tree_sim234	5.433846	5.119241	5.757843
iqtree_extant_misspec_tree_sim236	6.56239	5.878706	7.190162
iqtree_extant_misspec_tree_sim247	2.939811	2.810512	3.073099
iqtree_extant_misspec_tree_sim252	4.975764	4.503278	5.407012
iqtree_extant_misspec_tree_sim253	4.983065	4.593901	5.402276
iqtree_extant_misspec_tree_sim256	2.009868	2.000003	2.029873
iqtree_extant_misspec_tree_sim260	3.981497	3.688797	4.274778
iqtree_extant_misspec_tree_sim261	2.254627	2.056599	2.445122
iqtree_extant_misspec_tree_sim268	2.324739	2.122984	2.541562
iqtree_extant_misspec_tree_sim282	5.041934	4.685221	5.424187
iqtree_extant_misspec_tree_sim285	4.916375	4.604862	5.194929
iqtree_extant_misspec_tree_sim291	4.13744	3.422808	4.907211
iqtree_extant_misspec_tree_sim296	5.169794	4.160482	6.205155
iqtree_extant_misspec_tree_sim297	3.553532	3.431117	3.660144
iqtree_extant_misspec_tree_sim303	4.997026	3.571269	6.307466
iqtree_extant_misspec_tree_sim309	3.427663	3.282035	3.571858
iqtree_extant_misspec_tree_sim312	2.569855	2.412788	2.745849
iqtree_extant_misspec_tree_sim314	5.286831	5.043424	5.55643
iqtree_extant_misspec_tree_sim317	3.715908	3.098069	4.254181
iqtree_extant_misspec_tree_sim318	2.464054	2.092222	2.812352
iqtree_extant_misspec_tree_sim323	3.30132	3.132503	3.483968
iqtree_extant_misspec_tree_sim325	7.1864	6.011644	7.999612
iqtree_extant_misspec_tree_sim327	3.384946	3.263779	3.515519
iqtree_extant_misspec_tree_sim329	5.85213	5.590147	6.164432
