sim	param_estimate	lower	upper
iqtree_extant_misspec_tree_sim3	0.001604404	0.001358059	0.001835678
iqtree_extant_misspec_tree_sim4	0.001568609	0.001345075	0.001814926
iqtree_extant_misspec_tree_sim13	0.002534961	0.001895508	0.003258701
iqtree_extant_misspec_tree_sim14	0.003238177	0.001934361	0.004639949
iqtree_extant_misspec_tree_sim18	0.002619826	0.001919027	0.003272891
iqtree_extant_misspec_tree_sim19	0.002182211	0.001689271	0.002634104
iqtree_extant_misspec_tree_sim26	0.003087535	0.001794941	0.004644024
iqtree_extant_misspec_tree_sim28	0.0004431778	0.0003622336	0.0005284359
iqtree_extant_misspec_tree_sim30	0.004482172	0.003617662	0.00499994
iqtree_extant_misspec_tree_sim33	0.001187098	0.0008624859	0.00152747
iqtree_extant_misspec_tree_sim36	0.001431362	0.001161214	0.001715683
iqtree_extant_misspec_tree_sim37	0.002368497	0.001029681	0.004017665
iqtree_extant_misspec_tree_sim40	0.004525497	0.003867106	0.004999943
iqtree_extant_misspec_tree_sim49	0.0035281	0.002177477	0.004996282
iqtree_extant_misspec_tree_sim52	0.003660882	0.003051889	0.004293888
iqtree_extant_misspec_tree_sim62	0.004353041	0.00360027	0.004999613
iqtree_extant_misspec_tree_sim63	0.003730415	0.0026122	0.004995438
iqtree_extant_misspec_tree_sim66	0.003460585	0.002474093	0.004555143
iqtree_extant_misspec_tree_sim71	0.001928361	0.001357342	0.002618814
iqtree_extant_misspec_tree_sim72	0.0007487392	0.0005624589	0.0009538252
iqtree_extant_misspec_tree_sim86	0.002138837	0.001214877	0.00340157
iqtree_extant_misspec_tree_sim88	0.001655547	0.0009764657	0.002444478
iqtree_extant_misspec_tree_sim92	0.003212026	0.001948496	0.004832915
iqtree_extant_misspec_tree_sim96	0.001361907	0.001165123	0.001577675
iqtree_extant_misspec_tree_sim101	0.002597219	0.002036996	0.00321214
iqtree_extant_misspec_tree_sim108	0.001204678	0.001016269	0.001391207
iqtree_extant_misspec_tree_sim114	0.003355412	0.002203909	0.004622878
iqtree_extant_misspec_tree_sim115	0.00432705	0.003295731	0.004999614
iqtree_extant_misspec_tree_sim117	0.001454834	0.001219246	0.001700039
iqtree_extant_misspec_tree_sim118	0.001325262	0.001127365	0.001522105
iqtree_extant_misspec_tree_sim122	0.004022422	0.003270466	0.00481077
iqtree_extant_misspec_tree_sim132	0.0035804	0.002891638	0.004315248
iqtree_extant_misspec_tree_sim137	0.002747921	0.002317443	0.003169632
iqtree_extant_misspec_tree_sim139	0.001518709	0.001151523	0.001835277
iqtree_extant_misspec_tree_sim141	0.001121201	0.0007883189	0.001539
iqtree_extant_misspec_tree_sim143	0.0004083646	0.0003421231	0.0004855722
iqtree_extant_misspec_tree_sim146	0.002247129	0.0009988642	0.003670893
iqtree_extant_misspec_tree_sim153	0.003387575	0.002186495	0.004688568
iqtree_extant_misspec_tree_sim158	0.002928009	0.002003386	0.003988277
iqtree_extant_misspec_tree_sim159	0.004359458	0.003688336	0.004989178
iqtree_extant_misspec_tree_sim162	0.002911753	0.001728629	0.004425419
iqtree_extant_misspec_tree_sim174	0.003403057	0.002620048	0.004233051
iqtree_extant_misspec_tree_sim175	0.00348596	0.002379181	0.004922273
iqtree_extant_misspec_tree_sim177	0.003949111	0.002877608	0.004988716
iqtree_extant_misspec_tree_sim178	0.002871447	0.002209818	0.003595061
iqtree_extant_misspec_tree_sim182	0.001352472	0.0006419652	0.002193341
iqtree_extant_misspec_tree_sim189	0.004703582	0.004295857	0.004999578
iqtree_extant_misspec_tree_sim190	0.004029814	0.003440924	0.004680625
iqtree_extant_misspec_tree_sim194	0.001853641	0.001571663	0.002123573
iqtree_extant_misspec_tree_sim196	0.003970038	0.003336979	0.004572834
iqtree_extant_misspec_tree_sim198	0.001920744	0.001281949	0.00261902
iqtree_extant_misspec_tree_sim201	0.001431829	0.001203577	0.001648003
iqtree_extant_misspec_tree_sim202	0.003380122	0.002800587	0.004058877
iqtree_extant_misspec_tree_sim205	0.0009613815	0.0005818774	0.001340399
iqtree_extant_misspec_tree_sim208	0.003150313	0.002221401	0.004114662
iqtree_extant_misspec_tree_sim214	0.001085392	0.0009052592	0.001317001
iqtree_extant_misspec_tree_sim226	0.0004815755	0.0001735836	0.0008370696
iqtree_extant_misspec_tree_sim229	0.003457554	0.002948492	0.004008528
iqtree_extant_misspec_tree_sim231	0.002811938	0.001855412	0.003827262
iqtree_extant_misspec_tree_sim234	0.004565578	0.004032055	0.004999948
iqtree_extant_misspec_tree_sim236	0.001516347	0.001057194	0.002012847
iqtree_extant_misspec_tree_sim247	0.003788002	0.003235395	0.004416286
iqtree_extant_misspec_tree_sim252	0.002764427	0.002149836	0.003450913
iqtree_extant_misspec_tree_sim253	0.001766028	0.00131944	0.002283213
iqtree_extant_misspec_tree_sim256	0.0006840666	0.0004444667	0.0009263116
iqtree_extant_misspec_tree_sim260	0.003652855	0.002949617	0.004396282
iqtree_extant_misspec_tree_sim261	0.001359815	0.0008528978	0.001936506
iqtree_extant_misspec_tree_sim268	0.001654863	0.001086885	0.002384772
iqtree_extant_misspec_tree_sim282	0.004195488	0.003530149	0.004841977
iqtree_extant_misspec_tree_sim285	0.001918312	0.001539549	0.002273488
iqtree_extant_misspec_tree_sim291	0.003037029	0.001742918	0.004412256
iqtree_extant_misspec_tree_sim296	0.001773199	0.0008383014	0.002831793
iqtree_extant_misspec_tree_sim297	0.0009896082	0.0008443176	0.001143861
iqtree_extant_misspec_tree_sim303	0.00198462	0.0007648144	0.003285232
iqtree_extant_misspec_tree_sim309	0.0006042535	0.0004567062	0.0007425864
iqtree_extant_misspec_tree_sim312	0.001066352	0.0007198003	0.001399021
iqtree_extant_misspec_tree_sim314	0.001927206	0.001603691	0.002284694
iqtree_extant_misspec_tree_sim317	0.004251691	0.003216959	0.004999603
iqtree_extant_misspec_tree_sim318	0.004492239	0.003670887	0.004999875
iqtree_extant_misspec_tree_sim323	0.004689895	0.004239756	0.004999734
iqtree_extant_misspec_tree_sim325	0.003326063	0.002029935	0.004917611
iqtree_extant_misspec_tree_sim327	0.004679725	0.00420851	0.004999967
iqtree_extant_misspec_tree_sim329	0.003416915	0.002904619	0.003939096
iqtree_extant_misspec_tree_sim331	0.001601396	0.001195624	0.002009066
iqtree_extant_misspec_tree_sim332	0.003588883	0.003064961	0.004208609
iqtree_extant_misspec_tree_sim335	0.000952142	0.0003680298	0.001629104
iqtree_extant_misspec_tree_sim336	0.003412211	0.002184245	0.00482095
iqtree_extant_misspec_tree_sim338	0.003298226	0.002656089	0.003969765
iqtree_extant_misspec_tree_sim340	0.003359049	0.002845151	0.003879674
iqtree_extant_misspec_tree_sim352	0.003672166	0.002358099	0.004999773
iqtree_extant_misspec_tree_sim355	0.003706893	0.002643024	0.004875538
iqtree_extant_misspec_tree_sim360	0.002667092	0.002260877	0.003071029
iqtree_extant_misspec_tree_sim362	0.002625926	0.001412156	0.004089063
iqtree_extant_misspec_tree_sim368	0.0007162339	0.0004397349	0.001078124
iqtree_extant_misspec_tree_sim372	0.003913029	0.002750194	0.004990991
iqtree_extant_misspec_tree_sim373	0.002181798	0.001857556	0.002485499
iqtree_extant_misspec_tree_sim374	0.002605113	0.001942053	0.003297006
iqtree_extant_misspec_tree_sim375	0.003484064	0.002952915	0.004002166
iqtree_extant_misspec_tree_sim377	0.00212673	0.001810447	0.002455536
iqtree_extant_misspec_tree_sim378	0.00331147	0.001771204	0.004953746
iqtree_extant_misspec_tree_sim380	0.0006965626	0.000433442	0.0009948936
