sim	param_estimate	lower	upper
iqtree_extant_misspec_tree_sim3	0.0007802437	0.0006002254	0.001005961
iqtree_extant_misspec_tree_sim4	0.001836291	0.001490325	0.002212691
iqtree_extant_misspec_tree_sim13	0.00421923	0.00335848	0.004991073
iqtree_extant_misspec_tree_sim14	0.001205973	0.0004269197	0.002049113
iqtree_extant_misspec_tree_sim18	0.003964766	0.003112799	0.004967738
iqtree_extant_misspec_tree_sim19	0.003138798	0.002376115	0.003923659
iqtree_extant_misspec_tree_sim26	0.001985326	0.0008765743	0.003490159
iqtree_extant_misspec_tree_sim28	0.003478962	0.00287648	0.004031912
iqtree_extant_misspec_tree_sim30	0.002546885	0.001120699	0.004109935
iqtree_extant_misspec_tree_sim33	0.003436352	0.002420879	0.004452428
iqtree_extant_misspec_tree_sim36	0.0004532285	0.0002733056	0.0006796157
iqtree_extant_misspec_tree_sim37	0.00317876	0.001591142	0.004973585
iqtree_extant_misspec_tree_sim40	0.001708406	0.001046247	0.002384663
iqtree_extant_misspec_tree_sim49	0.0006343846	0.0001017802	0.001433484
iqtree_extant_misspec_tree_sim52	0.002866924	0.002185981	0.003416846
iqtree_extant_misspec_tree_sim62	0.001951308	0.001274668	0.002762129
iqtree_extant_misspec_tree_sim63	0.0004365656	0.0001049403	0.000822196
iqtree_extant_misspec_tree_sim66	0.00195228	0.001319358	0.002726789
iqtree_extant_misspec_tree_sim71	0.0003775536	0.0001495836	0.0006552243
iqtree_extant_misspec_tree_sim72	0.004164208	0.003412734	0.004975028
iqtree_extant_misspec_tree_sim86	0.002890903	0.001410255	0.004387533
iqtree_extant_misspec_tree_sim88	0.002146456	0.001041302	0.003316925
iqtree_extant_misspec_tree_sim92	0.0003645216	0.000101401	0.0007936476
iqtree_extant_misspec_tree_sim96	0.004896377	0.004719061	0.00499885
iqtree_extant_misspec_tree_sim101	0.002538499	0.001834512	0.003193268
iqtree_extant_misspec_tree_sim108	0.0007104829	0.0004991182	0.000903913
iqtree_extant_misspec_tree_sim114	0.000571545	0.0002075019	0.00105006
iqtree_extant_misspec_tree_sim115	0.003425856	0.001705202	0.004970638
iqtree_extant_misspec_tree_sim117	0.003623966	0.002937614	0.004297918
iqtree_extant_misspec_tree_sim118	0.004153593	0.003628789	0.004854586
iqtree_extant_misspec_tree_sim122	0.003039717	0.002386583	0.003779297
iqtree_extant_misspec_tree_sim132	0.004475821	0.003861524	0.00499866
iqtree_extant_misspec_tree_sim137	0.003332875	0.002737473	0.003849329
iqtree_extant_misspec_tree_sim139	0.001780023	0.00123075	0.00227475
iqtree_extant_misspec_tree_sim141	0.003004003	0.00189257	0.004142898
iqtree_extant_misspec_tree_sim143	0.00182188	0.001466703	0.002147077
iqtree_extant_misspec_tree_sim146	0.002673608	0.0008943668	0.004308652
iqtree_extant_misspec_tree_sim153	0.004095824	0.003044098	0.004972702
iqtree_extant_misspec_tree_sim158	0.002899275	0.001679197	0.003933947
iqtree_extant_misspec_tree_sim159	0.003232478	0.002305727	0.003973419
iqtree_extant_misspec_tree_sim162	0.004077367	0.002897403	0.004987365
iqtree_extant_misspec_tree_sim174	0.003366105	0.002539122	0.004219882
iqtree_extant_misspec_tree_sim175	0.003733586	0.002527009	0.004990579
iqtree_extant_misspec_tree_sim177	0.001321576	0.0006162611	0.002118658
iqtree_extant_misspec_tree_sim178	0.002979858	0.002136186	0.003682223
iqtree_extant_misspec_tree_sim182	0.000339012	0.0001001135	0.0007467242
iqtree_extant_misspec_tree_sim189	0.004813277	0.004503862	0.004997615
