sim	param_estimate	lower	upper
extant_morethan20_sim1	3.759037	3.63858	3.895469
extant_morethan20_sim2	4.918182	4.657216	5.187572
extant_morethan20_sim4	3.77011	3.353778	4.167248
extant_morethan20_sim15	2.547682	2.137661	2.932397
extant_morethan20_sim17	3.722673	3.485159	3.968386
extant_morethan20_sim25	4.654397	4.465729	4.829262
extant_morethan20_sim28	3.654661	3.315617	4.017727
extant_morethan20_sim34	2.617805	2.157169	3.169374
extant_morethan20_sim36	3.991101	3.846458	4.142989
extant_morethan20_sim37	2.384243	2.001108	2.741317
extant_morethan20_sim42	3.269268	2.746603	3.806442
extant_morethan20_sim48	5.216901	4.798244	5.635642
extant_morethan20_sim51	5.145522	4.886253	5.403038
extant_morethan20_sim52	4.480464	4.014822	4.94998
extant_morethan20_sim54	2.422678	2.179877	2.680066
extant_morethan20_sim62	3.735347	2.944167	4.481341
extant_morethan20_sim67	2.376504	2.200311	2.562043
extant_morethan20_sim69	3.057912	2.826472	3.292276
extant_morethan20_sim72	6.443396	6.071642	6.794722
extant_morethan20_sim73	3.577381	3.440454	3.702255
extant_morethan20_sim76	2.662046	2.47663	2.863208
extant_morethan20_sim83	3.46879	3.341636	3.60573
extant_morethan20_sim84	3.790383	3.534409	4.071337
extant_morethan20_sim85	3.189505	2.626767	3.784941
extant_morethan20_sim94	4.174982	3.941223	4.418882
extant_morethan20_sim96	3.148517	2.818355	3.491039
extant_morethan20_sim99	2.833881	2.27917	3.345974
extant_morethan20_sim101	4.470897	4.063169	4.899866
extant_morethan20_sim102	3.31469	2.358633	4.166857
extant_morethan20_sim105	6.978446	6.533172	7.445222
extant_morethan20_sim107	3.800872	3.109623	4.599221
extant_morethan20_sim108	2.823312	2.47312	3.228499
extant_morethan20_sim119	3.67862	3.44247	3.934566
extant_morethan20_sim120	3.934646	3.792164	4.091395
extant_morethan20_sim124	4.275765	3.930811	4.630349
extant_morethan20_sim125	4.483657	4.020188	4.924961
extant_morethan20_sim132	7.158436	6.299723	7.999275
extant_morethan20_sim139	5.572063	4.616103	6.556537
extant_morethan20_sim141	2.838905	2.745262	2.926107
extant_morethan20_sim143	3.895062	3.141573	4.737355
extant_morethan20_sim144	3.672433	3.053598	4.373159
extant_morethan20_sim149	4.703086	4.197911	5.249436
extant_morethan20_sim152	2.773992	2.682737	2.875472
extant_morethan20_sim153	5.037145	4.693948	5.319864
extant_morethan20_sim156	7.61973	7.029947	7.999742
extant_morethan20_sim157	6.151133	5.116479	7.130456
extant_morethan20_sim160	3.28563	2.480569	4.122075
extant_morethan20_sim163	6.387742	5.546493	7.234162
extant_morethan20_sim175	3.25585	3.018334	3.472607
extant_morethan20_sim183	5.083949	4.527609	5.618943
extant_morethan20_sim192	2.690482	2.216621	3.135357
extant_morethan20_sim195	3.740035	3.544283	3.920443
extant_morethan20_sim199	3.788704	2.708958	4.955209
