sim	param_estimate	lower	upper
extant_morethan20_sim1	0.001497889	0.001275902	0.001728545
extant_morethan20_sim2	0.001928979	0.001589807	0.002320145
extant_morethan20_sim4	0.003319246	0.002198261	0.00435205
extant_morethan20_sim15	0.001129338	0.000455343	0.002003882
extant_morethan20_sim17	0.004583326	0.004014135	0.004999925
extant_morethan20_sim25	0.00214781	0.001848026	0.002496465
extant_morethan20_sim28	0.003464971	0.002540835	0.004422928
extant_morethan20_sim34	0.004243974	0.003133464	0.004998283
extant_morethan20_sim36	0.0004229432	0.0003142043	0.0005344438
extant_morethan20_sim37	0.003946438	0.002697905	0.004999967
extant_morethan20_sim42	0.004340707	0.003326098	0.004999738
extant_morethan20_sim48	0.003925265	0.003186536	0.004777319
extant_morethan20_sim51	0.004529332	0.004010011	0.004999421
extant_morethan20_sim52	0.0002620799	0.0001063051	0.0004425163
extant_morethan20_sim54	0.002433598	0.001579076	0.003540836
extant_morethan20_sim62	0.002305605	0.0009763068	0.004038242
extant_morethan20_sim67	0.001141889	0.0007308246	0.0015911
extant_morethan20_sim69	0.003845671	0.00299927	0.004746316
extant_morethan20_sim72	0.00240615	0.001994967	0.002790959
extant_morethan20_sim73	0.001857783	0.001560437	0.002151536
extant_morethan20_sim76	0.003461524	0.002645424	0.00440967
extant_morethan20_sim83	0.002330847	0.001995301	0.002705235
extant_morethan20_sim84	0.001644604	0.001176679	0.00212809
extant_morethan20_sim85	0.003708171	0.002437416	0.004996837
extant_morethan20_sim94	0.001820057	0.001424292	0.002176951
extant_morethan20_sim96	0.003000099	0.001835377	0.004177153
extant_morethan20_sim99	0.002240919	0.000951646	0.00375995
extant_morethan20_sim101	0.003456014	0.002605906	0.004330669
extant_morethan20_sim102	0.003876774	0.002465625	0.004999158
extant_morethan20_sim105	0.003470802	0.002861649	0.004023259
extant_morethan20_sim107	0.003265139	0.001869355	0.004795716
extant_morethan20_sim108	0.003494568	0.002263881	0.00493756
extant_morethan20_sim119	0.0005898392	0.0003826069	0.0007917457
extant_morethan20_sim120	0.001959276	0.001647211	0.002261374
extant_morethan20_sim124	0.003956079	0.003131964	0.004860808
extant_morethan20_sim125	0.00442971	0.003698729	0.004998822
extant_morethan20_sim132	0.0005012337	0.0001878908	0.000891853
extant_morethan20_sim139	0.001957994	0.0009702642	0.002988709
extant_morethan20_sim141	0.002161138	0.00182137	0.002517015
extant_morethan20_sim143	0.003732727	0.002471496	0.004998455
extant_morethan20_sim144	0.002159581	0.0009980057	0.003472148
extant_morethan20_sim149	0.003944824	0.003086334	0.004999943
extant_morethan20_sim152	0.002384445	0.002035431	0.002747986
extant_morethan20_sim153	0.001330134	0.001036865	0.001684958
extant_morethan20_sim156	0.0007990334	0.0004077684	0.00122344
extant_morethan20_sim157	0.001858205	0.0009573241	0.002973921
extant_morethan20_sim160	0.002723392	0.001175235	0.004540986
extant_morethan20_sim163	0.00313095	0.002117785	0.004121515
extant_morethan20_sim175	0.004040276	0.003322653	0.004844624
extant_morethan20_sim183	0.001809384	0.001236202	0.002400379
extant_morethan20_sim192	0.003676195	0.002347848	0.004999239
extant_morethan20_sim195	0.004493497	0.003954978	0.004999909
extant_morethan20_sim199	0.003099113	0.001543869	0.004880604
extant_morethan20_sim201	0.0007912846	0.000668632	0.0009187337
extant_morethan20_sim202	0.001936945	0.001636246	0.002229003
extant_morethan20_sim203	0.001312383	0.000576569	0.002146835
extant_morethan20_sim207	0.002215416	0.0009836244	0.0038515
extant_morethan20_sim210	0.002603556	0.001916723	0.003413796
extant_morethan20_sim216	0.003356928	0.002863913	0.003877532
extant_morethan20_sim219	0.001334505	0.0006213927	0.002033112
extant_morethan20_sim220	0.001327656	0.0009273679	0.001828281
extant_morethan20_sim224	0.004579944	0.004054046	0.004999857
extant_morethan20_sim225	0.004683926	0.004251702	0.004999013
extant_morethan20_sim226	0.002160794	0.001805917	0.002468568
extant_morethan20_sim230	0.004427119	0.003798603	0.004999388
extant_morethan20_sim231	0.001924137	0.001421777	0.002414301
extant_morethan20_sim234	0.0002652344	0.0002139462	0.0003277472
extant_morethan20_sim235	0.003079244	0.00208478	0.004176672
extant_morethan20_sim239	0.00258742	0.002129117	0.003033087
extant_morethan20_sim242	0.004569225	0.004070882	0.004999901
extant_morethan20_sim247	0.003110732	0.002568947	0.003656706
extant_morethan20_sim248	0.00212033	0.001262024	0.003115237
extant_morethan20_sim249	0.002083597	0.001797638	0.002400713
extant_morethan20_sim254	0.003563251	0.003069677	0.004151638
extant_morethan20_sim256	0.003471852	0.002370523	0.00463949
extant_morethan20_sim259	0.004332223	0.003483436	0.004999474
extant_morethan20_sim262	0.003845416	0.002990533	0.004951681
extant_morethan20_sim268	0.002904074	0.002448945	0.003376446
extant_morethan20_sim277	0.004361973	0.003827784	0.004960357
extant_morethan20_sim278	0.002436518	0.001865385	0.00309667
extant_morethan20_sim279	0.002769856	0.002280857	0.003291629
extant_morethan20_sim280	0.002112713	0.001220014	0.003066545
extant_morethan20_sim282	0.001548119	0.0007349919	0.002612468
extant_morethan20_sim284	0.004227144	0.003664962	0.004879192
extant_morethan20_sim285	0.002355065	0.001649448	0.003017668
extant_morethan20_sim291	0.00295991	0.002473142	0.003400958
extant_morethan20_sim298	0.0007035595	0.0005821598	0.0008103535
extant_morethan20_sim301	0.0007658212	0.0004734605	0.001095653
extant_morethan20_sim306	0.0003538297	0.0001008342	0.0006661059
extant_morethan20_sim312	0.002997539	0.001658573	0.00454716
extant_morethan20_sim314	0.000504973	0.0002132721	0.000864007
extant_morethan20_sim317	0.003108452	0.001667834	0.00480725
extant_morethan20_sim325	0.002980873	0.002530381	0.003438972
extant_morethan20_sim326	0.0006613539	0.0004864386	0.0008341019
extant_morethan20_sim333	0.004537792	0.004046805	0.004996466
extant_morethan20_sim334	0.004056007	0.00331768	0.004870673
extant_morethan20_sim336	0.001344333	0.001094438	0.001601643
extant_morethan20_sim338	0.003345709	0.002812574	0.003908169
extant_morethan20_sim339	0.004620622	0.003941771	0.004999597
extant_morethan20_sim340	0.004184567	0.003556593	0.004922797
extant_morethan20_sim341	0.003313427	0.001986954	0.004936633
extant_morethan20_sim343	0.00347525	0.002099819	0.004931195
extant_morethan20_sim345	0.001337436	0.001069942	0.001634839
extant_morethan20_sim350	0.004462048	0.003916548	0.004983274
extant_morethan20_sim355	0.003060043	0.002576178	0.003563077
extant_morethan20_sim361	0.0009315008	0.0005392614	0.001375724
extant_morethan20_sim373	0.001264482	0.0009852946	0.001548302
extant_morethan20_sim375	0.003009964	0.002429375	0.003579076
extant_morethan20_sim379	0.004396286	0.003636637	0.004999813
extant_morethan20_sim403	0.001680647	0.0008103113	0.002649642
extant_morethan20_sim406	0.003228318	0.0027179	0.003763658
extant_morethan20_sim407	0.004501504	0.00370925	0.004999886
extant_morethan20_sim411	0.0009162144	0.0006574345	0.001189137
extant_morethan20_sim414	0.0009269394	0.0007781298	0.001108751
extant_morethan20_sim415	0.004534952	0.00403426	0.004999543
extant_morethan20_sim418	0.004743973	0.004344355	0.004999461
extant_morethan20_sim419	0.003773414	0.002506677	0.004999312
extant_morethan20_sim422	0.003093338	0.00263027	0.003577113
extant_morethan20_sim424	0.004268506	0.003235799	0.004997629
extant_morethan20_sim425	0.001762693	0.001176912	0.002411035
extant_morethan20_sim434	0.002497659	0.001927115	0.003147483
extant_morethan20_sim437	0.0005527413	0.0003973051	0.0007207749
extant_morethan20_sim438	0.00460779	0.004133137	0.004999356
extant_morethan20_sim441	0.001752496	0.001352157	0.002153462
extant_morethan20_sim444	0.003048826	0.002546791	0.003551518
extant_morethan20_sim452	0.003963517	0.003043004	0.004999749
extant_morethan20_sim455	0.003757172	0.002293482	0.004998555
extant_morethan20_sim459	0.001247311	0.0008253327	0.00172686
extant_morethan20_sim461	0.001499313	0.0008272102	0.002185849
extant_morethan20_sim466	0.003100168	0.002329795	0.003928801
extant_morethan20_sim470	0.004077666	0.003455993	0.004687201
extant_morethan20_sim475	0.003423777	0.002103817	0.004991852
extant_morethan20_sim478	0.004086163	0.003419666	0.004888525
extant_morethan20_sim483	0.004441381	0.003613561	0.004999102
extant_morethan20_sim487	0.001031542	0.0005045608	0.001664145
extant_morethan20_sim489	0.001401871	0.0009199199	0.001909918
extant_morethan20_sim491	0.002784595	0.001858288	0.003891596
extant_morethan20_sim497	0.0005493402	0.0003926782	0.0007135396
