sim	param_estimate	lower	upper
extant_morethan20_sim1	0.002430314	0.002028562	0.002832666
extant_morethan20_sim2	0.004575774	0.004001987	0.0049996
extant_morethan20_sim4	0.002809747	0.001828079	0.003900894
extant_morethan20_sim15	0.004030498	0.002540936	0.004973897
extant_morethan20_sim17	0.0006724632	0.0003593086	0.0009728317
extant_morethan20_sim25	0.001213931	0.0009645587	0.001490916
extant_morethan20_sim28	0.00410056	0.003233751	0.004997547
extant_morethan20_sim34	0.001493659	0.0004040279	0.002758894
extant_morethan20_sim36	0.003605148	0.002902697	0.004448774
extant_morethan20_sim37	0.001370249	0.0002435672	0.002618278
extant_morethan20_sim42	0.001567046	0.0004652857	0.002708849
extant_morethan20_sim48	0.001908045	0.001380213	0.002404645
extant_morethan20_sim51	0.004355161	0.003777602	0.004960658
extant_morethan20_sim52	0.00267917	0.001481855	0.004322176
extant_morethan20_sim54	0.003092788	0.001785976	0.004444561
extant_morethan20_sim62	0.002034964	0.0004830515	0.003745379
extant_morethan20_sim67	0.004101496	0.003074558	0.004994847
extant_morethan20_sim69	0.003545614	0.002668056	0.004499769
extant_morethan20_sim72	0.002503527	0.002008668	0.003039407
extant_morethan20_sim73	0.000235913	0.0001104162	0.0003613407
extant_morethan20_sim76	0.002340485	0.001525957	0.003160213
extant_morethan20_sim83	0.003702637	0.003117224	0.004393448
extant_morethan20_sim84	0.002301985	0.001453146	0.003130279
extant_morethan20_sim85	0.001434082	0.0004571281	0.002701252
extant_morethan20_sim94	0.0006195496	0.000361493	0.0008991824
extant_morethan20_sim96	0.004057277	0.00288301	0.004994272
extant_morethan20_sim99	0.0003490992	0.0001000438	0.0009114585
extant_morethan20_sim101	0.0002733004	0.0001003804	0.0004800082
extant_morethan20_sim102	0.001123127	0.0001197078	0.002454497
extant_morethan20_sim105	0.002208722	0.00187197	0.002640438
extant_morethan20_sim107	0.0006684298	0.0001001541	0.001377233
extant_morethan20_sim108	0.001540558	0.0005361531	0.002709677
extant_morethan20_sim119	0.002268304	0.001398416	0.003048363
extant_morethan20_sim120	0.001793274	0.001458871	0.002156306
extant_morethan20_sim124	0.004509549	0.003820457	0.004995177
extant_morethan20_sim125	0.004102447	0.003230405	0.004996528
extant_morethan20_sim132	0.002971662	0.001369172	0.004706476
extant_morethan20_sim139	0.003942097	0.002691122	0.00497664
extant_morethan20_sim141	0.002579488	0.002161469	0.003063262
extant_morethan20_sim143	0.003038371	0.001643683	0.004663282
extant_morethan20_sim144	0.002138006	0.0008425682	0.003549306
extant_morethan20_sim149	0.0002392783	0.00010038	0.0004489542
extant_morethan20_sim152	0.003814905	0.003191435	0.004507986
extant_morethan20_sim153	0.004430234	0.003689542	0.004998597
extant_morethan20_sim156	0.00396745	0.002694798	0.004997723
extant_morethan20_sim157	0.002045982	0.0008017133	0.003586593
extant_morethan20_sim160	0.003259158	0.001627076	0.004945976
extant_morethan20_sim163	0.002859238	0.001831731	0.003892045
extant_morethan20_sim175	0.001540052	0.001138602	0.002025801
extant_morethan20_sim183	0.003965445	0.003014712	0.004972321
extant_morethan20_sim192	0.0008662447	0.0001102021	0.001901497
extant_morethan20_sim195	0.001683801	0.001332188	0.002037183
extant_morethan20_sim199	0.001690505	0.0004561527	0.003331097
extant_morethan20_sim201	0.003930115	0.003276625	0.004479344
extant_morethan20_sim202	0.004257654	0.003673914	0.004845624
extant_morethan20_sim203	0.004210177	0.003115483	0.004999527
extant_morethan20_sim207	0.0005728879	0.0001005029	0.00127825
extant_morethan20_sim210	0.0001643832	0.0001008467	0.0002779037
extant_morethan20_sim216	0.001496592	0.001166411	0.001837861
extant_morethan20_sim219	0.003975934	0.002785812	0.004996656
extant_morethan20_sim220	0.003597475	0.002583579	0.004858655
extant_morethan20_sim224	0.0006752547	0.0004247965	0.0009860372
extant_morethan20_sim225	0.002347109	0.001829788	0.002930599
extant_morethan20_sim226	0.002758858	0.002269069	0.003262747
extant_morethan20_sim230	0.000905298	0.000514257	0.001320041
extant_morethan20_sim231	0.004248909	0.003379213	0.004998881
extant_morethan20_sim234	0.002431294	0.002028498	0.002854144
extant_morethan20_sim235	0.0003725351	0.0001061013	0.0006967977
extant_morethan20_sim239	0.004722536	0.004253309	0.004996597
extant_morethan20_sim242	0.003314291	0.002732892	0.003830537
extant_morethan20_sim247	0.002323323	0.001826598	0.002813995
extant_morethan20_sim248	0.003037837	0.00182529	0.004591434
extant_morethan20_sim249	0.003241745	0.002654325	0.003781887
extant_morethan20_sim254	0.001070374	0.0008221948	0.001361207
extant_morethan20_sim256	0.003579615	0.002453031	0.004721301
extant_morethan20_sim259	0.00418462	0.003178515	0.004997216
extant_morethan20_sim262	0.004536627	0.003873057	0.004999033
extant_morethan20_sim268	0.0003499784	0.0002146825	0.0004888976
extant_morethan20_sim277	0.002583237	0.002149995	0.003155267
extant_morethan20_sim278	0.003644307	0.002828962	0.004689489
extant_morethan20_sim279	0.004387785	0.003827363	0.004986105
extant_morethan20_sim280	0.002606159	0.001341047	0.003956639
extant_morethan20_sim282	0.001707434	0.0006792956	0.002885838
extant_morethan20_sim284	0.004149016	0.003513269	0.004813783
extant_morethan20_sim285	0.001661341	0.0009816617	0.002414783
extant_morethan20_sim291	0.003511101	0.002986648	0.004066181
extant_morethan20_sim298	0.002930604	0.002486947	0.003409292
extant_morethan20_sim301	0.001482755	0.000883941	0.002212013
extant_morethan20_sim306	0.002629403	0.0009017379	0.004558741
extant_morethan20_sim312	0.002334198	0.001094491	0.003761246
extant_morethan20_sim314	0.003411826	0.002015981	0.004998306
extant_morethan20_sim317	0.001799082	0.0005329522	0.003204327
extant_morethan20_sim325	0.0008433729	0.0005998271	0.001065413
extant_morethan20_sim326	0.001650945	0.001170117	0.002148387
extant_morethan20_sim333	0.002760182	0.002245692	0.003281074
extant_morethan20_sim334	0.003989561	0.00323787	0.004927102
extant_morethan20_sim336	0.004056852	0.003372217	0.004869495
extant_morethan20_sim338	0.000794432	0.0005662088	0.001055279
extant_morethan20_sim339	0.003855249	0.00267539	0.004980607
extant_morethan20_sim340	0.001991075	0.001510372	0.002445103
extant_morethan20_sim341	0.004080861	0.002827278	0.004995593
extant_morethan20_sim343	0.002360229	0.000721447	0.004102658
extant_morethan20_sim345	0.0002768763	0.0001005382	0.0004402944
extant_morethan20_sim350	0.00296133	0.00239542	0.00346116
extant_morethan20_sim355	0.004254825	0.003604878	0.00490477
extant_morethan20_sim361	0.00456758	0.003892831	0.004998408
extant_morethan20_sim373	0.003448504	0.002629182	0.004222079
extant_morethan20_sim375	0.00106432	0.0007047368	0.001360344
extant_morethan20_sim379	0.004432713	0.003701364	0.004998661
extant_morethan20_sim403	0.001626639	0.0006144353	0.003064033
extant_morethan20_sim406	0.002989125	0.002443799	0.003458102
extant_morethan20_sim407	0.000817581	0.0003339206	0.001309483
