sim_number	delta
sim8	0.00116
sim12	0.00176
sim15	0.002532
sim16	0.0026
sim23	0.002188
sim24	0.002526
sim27	0.001396
sim33	0.003192
sim40	0.003128
sim41	0.00219
sim46	0.003912
sim49	0.001386
sim52	0.002126
sim55	0.002328
sim59	0.002274
sim61	0.002614
sim62	0.002812
sim64	0.003708
sim79	0.0031
sim81	0.0031
sim86	0.002666
sim89	0.003804
sim97	0.002518
sim100	0.002844
sim102	0.002968
sim105	0.00206
sim106	0.00371
sim110	0.002708
sim112	0.001376
sim115	0.0022
sim119	0.002048
sim120	0.00265
sim126	0.002576
sim127	0.001196
sim134	0.002444
sim140	0.001814
sim142	0.00291
sim145	0.00269
sim147	0.002488
sim152	0.002746
sim154	0.00286
sim155	0.002434
sim157	0.002438
sim158	0.003046
sim162	0.003042
sim164	0.002176
sim171	0.002942
sim173	0.001542
sim175	0.001502
sim183	0.002916
sim187	0.00175
sim189	0.002446
sim192	0.003406
sim195	0.002474
sim196	0.001812
sim203	0.001806
sim205	0.002432
sim206	0.00285
sim210	0.002944
sim212	0.003432
sim215	0.001834
sim216	0.002796
sim218	0.001696
sim219	0.00208
sim221	0.001512
sim228	0.00244
sim230	0.003034
sim231	0.003266
sim234	0.00299
sim242	0.00254
sim250	0.002978
sim256	0.002242
sim259	0.002432
sim261	0.003078
sim262	0.00239
sim267	0.0031
sim269	0.002
sim272	0.002346
sim276	0.002556
sim281	0.003154
sim283	0.002184
sim284	0.002168
sim289	0.00273
sim293	0.002458
sim294	0.001728
sim298	0.002292
sim299	0.002022
sim300	0.001816
sim302	0.002262
sim304	0.003592
sim307	0.00324
sim308	0.001144
sim311	0.000906
sim313	0.002316
sim321	0.002054
sim324	0.00278
sim325	0.003424
sim328	0.00193
sim334	0.002492
sim339	0.002566
sim340	0.003572
sim344	0.001796
sim347	0.002214
sim350	0.002958
sim354	0.003276
sim355	0.002908
sim356	0.001736
sim358	0.003258
sim360	0.003254
sim363	0.002768
sim368	0.002344
sim369	0.003064
sim370	0.00314
sim378	0.003772
sim381	0.003136
sim388	0.002876
sim391	0.002876
sim393	0.001484
