sim_number	R0
sim0	2.79506
sim4	2.77364
sim5	5.73122
sim6	7.06832
sim9	6.12416
sim10	6.50174
sim14	4.10720
sim19	4.88252
sim21	5.43254
sim23	7.94834
sim26	2.83934
sim29	4.47506
sim31	3.52106
sim33	3.27260
sim39	3.64190
sim40	5.16980
sim41	2.00768
sim44	6.31406
sim49	4.55306
sim52	4.50494
sim53	7.65644
sim54	3.22646
sim56	4.41266
sim60	6.80426
sim67	3.69998
sim71	5.49266
sim74	7.17014
sim75	2.10176
sim77	6.87860
sim85	5.18774
sim91	7.90454
sim93	5.91158
sim103	5.61332
sim107	4.75796
sim118	6.05918
sim127	4.02134
sim128	5.46464
sim133	4.69850
sim136	3.07412
sim137	6.52280
sim139	4.54778
sim144	2.67512
sim150	3.39380
sim155	4.51850
sim158	3.21968
sim160	2.66558
sim163	3.30392
sim165	3.48740
sim167	4.87316
sim170	2.73830
sim172	4.59374
sim174	5.23298
sim178	3.02450
sim180	3.39800
sim182	6.85568
sim190	3.24128
sim192	3.41618
sim193	2.86280
sim194	4.58108
sim195	5.96744
sim197	2.69234
sim198	7.44440
sim212	2.78972
sim214	3.94496
sim220	3.50864
sim222	3.10616
sim224	7.97870
sim225	3.35498
sim230	4.63862
sim234	2.89778
sim236	4.63274
sim242	3.29180
sim246	5.76236
sim256	5.90168
sim257	5.58620
sim258	2.58980
sim259	7.66412
sim263	3.06218
sim266	3.96074
sim267	5.82884
sim269	6.70064
sim271	4.00064
sim273	4.24766
sim282	3.73640
sim283	3.92906
sim285	4.18940
sim288	2.47568
sim289	6.39518
sim294	5.62340
sim298	5.48714
