sim_number	delta
sim3	.00217
sim4	.00198
sim13	.00293
sim14	.00379
sim18	.00250
sim19	.00249
sim26	.00382
sim28	.00051
sim30	.00439
sim33	.00130
sim36	.00145
sim37	.00210
sim40	.00458
sim49	.00170
sim52	.00393
sim62	.00407
sim63	.00491
sim66	.00360
sim71	.00166
sim72	.00087
sim86	.00283
sim88	.00319
sim92	.00239
sim96	.00114
sim101	.00323
sim108	.00122
sim114	.00439
sim115	.00312
sim117	.00145
sim118	.00134
sim122	.00382
sim132	.00387
sim137	.00303
sim139	.00167
sim141	.00105
sim143	.00037
sim146	.00171
sim153	.00406
sim158	.00273
sim159	.00477
sim162	.00244
sim174	.00395
sim175	.00243
sim177	.00420
sim178	.00365
sim182	.00172
sim189	.00492
sim190	.00397
sim194	.00213
sim196	.00452
sim198	.00257
sim201	.00133
sim202	.00293
sim205	.00283
sim208	.00298
sim214	.00149
sim226	.00035
sim229	.00339
sim231	.00403
sim234	.00470
sim236	.00233
sim247	.00446
sim252	.00318
sim253	.00157
sim256	.00368
sim260	.00377
sim261	.00122
sim268	.00151
sim282	.00373
sim285	.00225
sim291	.00148
sim296	.00174
sim297	.00121
sim303	.00185
sim309	.00063
sim312	.00087
sim314	.00167
sim317	.00466
sim318	.00461
sim323	.00481
sim325	.00308
sim327	.00497
sim329	.00336
sim331	.00176
sim332	.00397
sim335	.00089
sim336	.00247
sim338	.00391
sim340	.00354
sim352	.00337
sim355	.00341
sim360	.00265
sim362	.00145
sim368	.00087
sim372	.00325
sim373	.00223
sim374	.00352
sim375	.00362
sim377	.00222
sim378	.00256
sim380	.00100
