Summary Statistic	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	kappa	originBDMMPrime	typeMappedTree.count_France_to_Germany	typeMappedTree.count_France_to_Hubei	typeMappedTree.count_France_to_Italy	typeMappedTree.count_France_to_OtherEuropean	typeMappedTree.count_Germany_to_France	typeMappedTree.count_Germany_to_Hubei	typeMappedTree.count_Germany_to_Italy	typeMappedTree.count_Germany_to_OtherEuropean	typeMappedTree.count_Hubei_to_France	typeMappedTree.count_Hubei_to_Germany	typeMappedTree.count_Hubei_to_Italy	typeMappedTree.count_Hubei_to_OtherEuropean	typeMappedTree.count_Italy_to_France	typeMappedTree.count_Italy_to_Germany	typeMappedTree.count_Italy_to_Hubei	typeMappedTree.count_Italy_to_OtherEuropean	typeMappedTree.count_OtherEuropean_to_France	typeMappedTree.count_OtherEuropean_to_Germany	typeMappedTree.count_OtherEuropean_to_Hubei	typeMappedTree.count_OtherEuropean_to_Italy	R0SVEpi.France	R0SVEpi.Germany	R0SVEpi.Hubei	R0SVEpi.Italy	R0SVEpi.OtherEuropean	R0AmongDemesSMEpi	becomeUninfectiousRateSVEpi	migrationRateSMEpi.France_to_Germany	migrationRateSMEpi.France_to_Hubei	migrationRateSMEpi.France_to_Italy	migrationRateSMEpi.France_to_OtherEuropean	migrationRateSMEpi.Germany_to_France	migrationRateSMEpi.Germany_to_Hubei	migrationRateSMEpi.Germany_to_Italy	migrationRateSMEpi.Germany_to_OtherEuropean	migrationRateSMEpi.Hubei_to_France	migrationRateSMEpi.Hubei_to_Germany	migrationRateSMEpi.Hubei_to_Italy	migrationRateSMEpi.Hubei_to_OtherEuropean	migrationRateSMEpi.Italy_to_France	migrationRateSMEpi.Italy_to_Germany	migrationRateSMEpi.Italy_to_Hubei	migrationRateSMEpi.Italy_to_OtherEuropean	migrationRateSMEpi.OtherEuropean_to_France	migrationRateSMEpi.OtherEuropean_to_Germany	migrationRateSMEpi.OtherEuropean_to_Hubei	migrationRateSMEpi.OtherEuropean_to_Italy	samplingProportionSVEpi.i0_endtime	samplingProportionSVEpi.i0_France	samplingProportionSVEpi.i0_Germany	samplingProportionSVEpi.i0_Hubei	samplingProportionSVEpi.i0_Italy	samplingProportionSVEpi.i0_OtherEuropean	samplingProportionSVEpi.i1_endtime	samplingProportionSVEpi.i1_France	samplingProportionSVEpi.i1_Germany	samplingProportionSVEpi.i1_Hubei	samplingProportionSVEpi.i1_Italy	samplingProportionSVEpi.i1_OtherEuropean	samplingProportionSVEpi.i2_France	samplingProportionSVEpi.i2_Germany	samplingProportionSVEpi.i2_Hubei	samplingProportionSVEpi.i2_Italy	samplingProportionSVEpi.i2_OtherEuropean	removalProbSVEpi
mean	-42562.7681	-42732.832	170.064	-42732.832	0.2642	0.1053	4.9876	0.3129	0.1844	0	0.6963	3.8137	0.4685	0	0.9817	2.7284	3.8866	4.2738	3.2023	4.9648	5.5445	1.6343	0	27.0663	2.5708	1.3895	0	0.9435	3.0153	1.8102	1.499	2.4983	2.1657	0	36.5	0.6086	0	1.3922	1.715	0.8831	0	1.9769	2.5756	0.5785	0.9552	0.8325	0.8342	0.8029	0.5736	0	4.6111	1.1634	1.107	0	1.5448	0.1079	0	0	0	0	0	0.1929	0.0565	0.0655	0.0967	4.1024E-3	0.0753	0.0565	0.0655	0	4.1024E-3	0.0753	1
stderr of mean	0.6788	0.4602	0.6003	0.4602	5.954E-4	3.6062E-3	0.0154	5.6043E-4	6.1196E-3	0	0.0337	0.0542	0.0154	0	0.0432	0.0439	0.0426	0.0325	0.0563	0.0736	0.0472	0.031	0	0.59	0.0383	0.0326	0	0.0362	7.516E-3	5.9189E-3	2.7756E-3	0.0135	0.0169	0	0	0.0167	0	0.0601	0.038	0.0277	0	0.0897	0.0804	0.0111	0.0234	0.02	0.0155	0.0162	0.0146	0	0.2381	0.028	0.0344	0	0.058	5.6043E-4	0	0	0	0	0	5.6043E-4	6.7869E-4	5.0883E-4	6.9588E-4	1.1021E-5	2.1064E-4	6.7869E-4	5.0883E-4	0	1.1021E-5	2.1064E-4	0
stdev	13.6748	7.7416	12.1115	7.7416	0.0217	0.0989	0.7569	0.0423	0.4597	0	1.0873	1.4774	0.8318	0	1.2275	1.687	1.5575	1.5586	2.0067	2.5568	1.9901	1.2509	0	8.7514	1.6147	1.1138	0	1.4513	0.2418	0.2807	0.1386	0.2343	0.2854	0	0	0.5176	0	1.4764	1.1006	0.8425	0	2.254	2.2636	0.352	0.6665	0.6105	0.5199	0.4359	0.4426	0	3.0148	0.8192	0.9317	0	1.7535	0.0423	0	0	0	0	0	0.0423	0.0182	0.0211	0.0295	7.1346E-4	0.0131	0.0182	0.0211	0	7.1346E-4	0.0131	0
variance	186.9999	59.9316	146.6874	59.9316	4.6955E-4	9.7761E-3	0.5728	1.7901E-3	0.2114	0	1.1822	2.1826	0.6918	0	1.5067	2.8458	2.4258	2.4293	4.0267	6.5374	3.9605	1.5649	0	76.5868	2.6072	1.2406	0	2.1063	0.0584	0.0788	0.0192	0.0549	0.0814	0	0	0.2679	0	2.1797	1.2112	0.7097	0	5.0806	5.1239	0.1239	0.4443	0.3727	0.2703	0.19	0.1959	0	9.0888	0.6711	0.8681	0	3.0746	1.7901E-3	0	0	0	0	0	1.7901E-3	3.3171E-4	4.4544E-4	8.6795E-4	5.0903E-7	1.7217E-4	3.3171E-4	4.4544E-4	0	5.0903E-7	1.7217E-4	0
median	-42562.4647	-42732.5886	170.1234	-42732.5886	0.2617	0.0788	4.9249	0.3063	0	0	0	4	0	0	1	2	4	4	3	5	5	1	0	26	2	1	0	0	3.0057	1.7916	1.4972	2.4847	2.1845	0	0	0.468	0	0.932	1.4849	0.6293	0	1.2797	1.9501	0.4941	0.7994	0.6771	0.7144	0.7104	0.4545	0	3.9059	0.9542	0.8587	0	0.9719	0.1013	0	0	0	0	0	0.1863	0.0559	0.0671	0.097	4.2704E-3	0.0784	0.0559	0.0671	0	4.2704E-3	0.0784	0
value range	[-42624.7482, -42517.4946]	[-42764.0651, -42704.6523]	[126.5523, 215.4809]	[-42764.0651, -42704.6523]	[0.2113, 0.3893]	[1.1402E-3, 0.9359]	[2.6608, 8.4322]	[0.2211, 0.5855]	[0, 5]	[0, 0]	[0, 9]	[0, 12]	[0, 8]	[0, 0]	[0, 11]	[0, 21]	[0, 11]	[0, 17]	[0, 17]	[0, 18]	[0, 15]	[0, 12]	[0, 0]	[5, 68]	[0, 13]	[0, 10]	[0, 0]	[0, 25]	[2.1775, 4.0188]	[0.8143, 3.6061]	[0.9241, 2.1329]	[1.6603, 3.5539]	[0.5468, 3.1064]	[0, 0]	[36.5, 36.5]	[0.0164, 7.7008]	[0, 0]	[0.0193, 20.0351]	[0.0293, 9.0426]	[0.0117, 15.0007]	[0, 0]	[0.022, 28.7555]	[0.047, 24.0297]	[0.0338, 2.6668]	[0.0334, 6.7268]	[0.0222, 6.0706]	[0.0366, 3.6629]	[0.0223, 3.5188]	[0.0184, 5.5924]	[0, 0]	[0.4862, 27.7133]	[0.026, 6.8378]	[0.0295, 10.6446]	[0, 0]	[0.0113, 23.0502]	[0.0161, 0.3805]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0.1011, 0.4655]	[9.9075E-3, 0.093]	[8.2485E-3, 0.1]	[0.0182, 0.15]	[1.1003E-3, 4.9999E-3]	[0.0178, 0.092]	[9.9075E-3, 0.093]	[8.2485E-3, 0.1]	[0, 0]	[1.1003E-3, 4.9999E-3]	[0.0178, 0.092]	[1, 1]
geometric mean	n/a	n/a	169.6302	n/a	0.2634	0.0675	4.9312	0.3102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	25.7902	n/a	n/a	n/a	n/a	3.0056	1.7885	1.4926	2.4875	2.1444	n/a	n/a	0.4517	n/a	0.9157	1.4027	0.6219	n/a	1.2341	1.8532	0.4857	0.7759	0.6512	0.6857	0.6952	0.4433	n/a	3.9333	0.9121	0.8155	n/a	0.9684	0.1	n/a	n/a	n/a	n/a	n/a	0.1886	0.0533	0.0614	0.0916	4.0288E-3	0.0739	0.0533	0.0614	n/a	4.0288E-3	0.0739	n/a
95% HPD interval	[-42589.2058, -42536.1768]	[-42748.4747, -42718.4783]	[146.1909, 193.2201]	[-42748.4747, -42718.4783]	[0.2259, 0.3072]	[1.204E-3, 0.2959]	[3.5402, 6.4454]	[0.2425, 0.3978]	[0, 1]	n/a	[0, 3]	[1, 6]	[0, 2]	n/a	[0, 3]	[0, 6]	[0, 6]	[1, 7]	[0, 7]	[0, 9]	[2, 9]	[0, 4]	n/a	[10, 45]	[0, 6]	[0, 3]	n/a	[0, 4]	[2.5392, 3.4755]	[1.2719, 2.3572]	[1.2371, 1.7803]	[2.057, 2.9748]	[1.5794, 2.7114]	n/a	n/a	[0.035, 1.6148]	n/a	[0.0332, 4.2318]	[0.1537, 3.8462]	[0.0382, 2.4659]	n/a	[0.0543, 5.791]	[0.0859, 6.8872]	[0.0731, 1.2691]	[0.1193, 2.1856]	[0.0509, 2.0818]	[0.0845, 1.8754]	[0.132, 1.6601]	[0.0389, 1.392]	n/a	[0.7777, 10.2347]	[0.0793, 2.7827]	[0.0295, 2.9661]	n/a	[0.0451, 4.8634]	[0.0375, 0.1928]	n/a	n/a	n/a	n/a	n/a	[0.1225, 0.2778]	[0.0274, 0.0925]	[0.0287, 0.0999]	[0.0478, 0.15]	[2.6969E-3, 4.9998E-3]	[0.0498, 0.092]	[0.0274, 0.0925]	[0.0287, 0.0999]	n/a	[2.6969E-3, 4.9998E-3]	[0.0498, 0.092]	n/a
auto-correlation time (ACT)	39920.7711	57252.254	39807.2552	57252.254	12232.7215	21554.069	6738.0284	2842.8123	2870.8262	n/a	15562.402	21841.5358	5525.6918	n/a	20059.4869	10957.9534	12146.7131	7027.1653	12751.3681	13420.0363	9133.0432	9923.5323	n/a	73636.2336	9112.8964	13887.2624	n/a	10070.5239	15661.0319	7201.9148	6500.8046	54072.6509	56661.3202	n/a	n/a	16823.1252	n/a	26880.7081	19295.0528	17572.3534	n/a	25652.6379	20465.1099	16093.2035	20005.2462	17364.6239	14401.6387	22411.7634	17691.1754	n/a	1.011E5	18877.3711	22125.3071	n/a	17723.5433	2842.8123	n/a	n/a	n/a	n/a	n/a	2842.8123	22500.1053	9417.8452	9039.9897	3866.2012	4175.8091	22500.1053	9417.8452	n/a	3866.2012	4175.8091	n/a
effective sample size (ESS)	405.9	283	407	283	1324.5	751.7	2404.6	5699.3	5643.7	n/a	1041.1	741.8	2932.1	n/a	807.7	1478.6	1333.9	2305.6	1270.6	1207.3	1774	1632.7	n/a	220	1777.9	1166.7	n/a	1608.9	1034.5	2249.7	2492.3	299.6	285.9	n/a	n/a	963.1	n/a	602.7	839.7	922	n/a	631.6	791.7	1006.8	809.9	933	1125	722.9	915.8	n/a	160.3	858.3	732.3	n/a	914.2	5699.3	n/a	n/a	n/a	n/a	n/a	5699.3	720.1	1720.4	1792.3	4190.7	3880	720.1	1720.4	n/a	4190.7	3880	n/a
