species	type	location	rxn	time
1	I	2	Sample_recovery	100.00000991
2	I	2	Sample_recovery	100.00000879
3	I	2	Sample_recovery	100.00000828
4	I	0	Sample_recovery	100.00000424
5	I	2	Sample_recovery	100.00000017
6	I	2	Sample_recovery	100.00000302
7	I	3	Sample_recovery	100.00000436
8	I	2	Sample_recovery	100.00000018
9	I	1	Sample_recovery	100.00000836
10	I	0	Sample_recovery	100.00000556
11	I	1	Sample_recovery	100.00000457
12	I	2	Sample_recovery	100.00000137
13	I	3	Sample_recovery	100.00000444
14	I	3	Sample_recovery	100.00000573
15	I	0	Sample_recovery	100.00000447
16	I	1	Sample_recovery	100.00000003
17	I	2	Sample_recovery	100.00000394
18	I	0	Sample_recovery	88.63747869
19	I	4	Sample_recovery	100.00000344
20	I	1	Sample_recovery	100.00000800
21	I	4	Sample_recovery	99.42485900
22	I	2	Sample_recovery	100.00000173
23	I	2	Sample_recovery	100.00000969
24	I	3	Sample_recovery	100.00000329
25	I	3	Sample_recovery	100.00000400
26	I	0	Sample_recovery	100.00000629
27	I	2	Sample_recovery	100.00000477
28	I	2	Sample_recovery	100.00000807
29	I	2	Sample_recovery	100.00000018
30	I	1	Sample_recovery	100.00000068
31	I	1	Sample_recovery	100.00000701
32	I	1	Sample_recovery	100.00000180
33	I	2	Sample_recovery	100.00000863
34	I	4	Sample_recovery	100.00000981
35	I	2	Sample_recovery	100.00000328
36	I	2	Sample_recovery	100.00000592
37	I	2	Sample_recovery	100.00000732
38	I	2	Sample_recovery	100.00000487
39	I	2	Sample_recovery	100.00000560
40	I	2	Sample_recovery	86.84048049
41	I	2	Sample_recovery	100.00000572
42	I	0	Sample_recovery	100.00000771
43	I	4	Sample_recovery	100.00000141
44	I	3	Sample_recovery	95.77401123
45	I	3	Sample_recovery	100.00000144
46	I	0	Sample_recovery	96.82757487
47	I	3	Sample_recovery	100.00000624
48	I	3	Sample_recovery	100.00000284
49	I	4	Sample_recovery	91.67484362
50	I	1	Sample_recovery	100.00000593
51	I	2	Sample_recovery	82.84372729
52	I	2	Sample_recovery	100.00000121
53	I	3	Sample_recovery	100.00000602
54	I	1	Sample_recovery	100.00000983
55	I	2	Sample_recovery	99.49837060
56	I	2	Sample_recovery	100.00000530
